        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403636860701,4.638162,-1.815817,0.689073,-174.1227749040713,-61.351910012813015,155.49179674181,0.00243693105368,-0.0973054494427,0.107740632056,-173.5924048051327,-61.73930461598193,1.6142236649230248,4.630209099671602,-1.8138129571166333,0.6866666168414901,-174.1227749040713,-61.351910012813015,155.49179674181,
1403636860901,4.642317,-1.815358,0.699657,-176.98092428334186,-61.54738908002852,158.950989984837,-0.00377197094306,-0.0998102922266,0.120280390297,-177.0234792476483,-61.49534712941954,4.8303694474932914,4.637077953976495,-1.8141591428609825,0.6991072452053826,-177.5538493465869,-61.10795252625063,158.70794252438026,
1403636861001,4.640542,-1.813174,0.742714,-177.57353000735054,-62.01454423928027,159.90196441301364,-0.00232387034473,-0.100917914729,0.164207880238,-177.68891059705692,-61.874768830418994,5.719408464495586,4.636898344898371,-1.812344427463563,0.7430347166107889,-178.2192806959955,-61.48737422725008,159.59698154138255,
1403636861101,4.63603,-1.809537,0.800072,-177.58145972267323,-63.62989648480239,159.9244246758895,0.00151128325746,-0.102345001282,0.224040755746,-177.77212965513,-63.45354757609555,5.705691424210542,4.634936271009859,-1.8091471595842834,0.8028899228580498,-178.30249975406858,-63.06615297292664,159.58326450109752,
1403636861201,4.629793,-1.804637,0.862069,-177.708749745585,-66.2027705887377,159.97042354501232,0.00749040178541,-0.104445800029,0.286686611461,-177.88775703480772,-66.04350568968269,5.775327664660268,4.631368545384989,-1.8044091529377744,0.8655755598006107,-178.4181271337463,-65.65611108651377,159.65290074154723,
1403636861301,4.624456,-1.799716,0.923626,-177.38962345851965,-69.02082513064431,159.65647980030712,0.0117422312384,-0.106739340348,0.34927839871,-177.6481370105574,-68.86083759683846,5.5163968331317434,4.629442801086047,-1.8002383508136062,0.9281851926892679,-178.178507109496,-68.47344299366955,159.3939699100187,
1403636861401,4.628783,-1.798197,0.979424,-176.3280801853768,-71.2655840592597,158.36650941945496,0.0131049073468,-0.10902084611,0.399614851931,-176.77899507648087,-71.12635029166445,4.339341947368899,4.6299391717549705,-1.7973717933522186,0.9785077238464739,-177.30936517541946,-70.73895568849554,158.21691502425585,
1403636861501,4.627604,-1.794285,1.005275,-175.85284676810136,-72.64696209620514,157.59811251816714,0.0222402558584,-0.111595646358,0.429022070518,-176.4529239129506,-72.47562929365922,3.686264319555918,4.623229719532565,-1.7909974931230381,1.0079902651418342,-176.9832940118892,-72.08823469049031,157.5638373964429,
1403636861701,4.626201,-1.790791,0.958711,-175.95110444252478,-71.2621683908227,157.66438785616978,0.0191175339783,-0.118722726241,0.376450884082,-176.30958121050566,-70.96363846699491,3.6672241285763616,4.62832545798257,-1.7861304218643728,0.9553155902980346,-176.83995130944425,-70.576243863826,157.5447972054633,
1403636861801,4.626909,-1.792359,0.905987,-176.67753466438253,-69.90859215360837,158.5622683637652,0.0146605100688,-0.115933618804,0.326246280008,-176.98590225283723,-69.61316060748317,4.5567813276352345,4.630408180930158,-1.7907824865970605,0.9050944093929766,-177.51627235177583,-69.22576600431425,158.4343544045222,
