        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403636859701,4.614772,-1.828672,0.816032,-175.61166586118196,-70.10370611916873,158.29279169811738,0.0140897969781,-0.0710060352826,0.235108699252,-177.83276997651194,-70.7721974454408,4.283745572252332,4.610297483029604,-1.832009717512449,0.8144260722428855,127.4918575104151,58.4717127626268,129.1235434269322,
1403636859801,4.610965,-1.825128,0.863199,-178.01594681888108,-71.42623021413937,159.9129542894962,0.0174447937012,-0.0720734422901,0.279016382691,179.7394865055143,-72.23173758172783,6.226469601877328,4.608377993672269,-1.8294132911130934,0.8583561775952623,125.92213100546206,59.91275214391609,127.41538114784859,
1403636859901,4.609292,-1.823567,0.906944,179.5351540093922,-72.1706218446726,161.7924177470485,0.0178944852175,-0.0728744123885,0.319300351894,177.35567111973347,-73.10394191509647,8.263551249835455,4.608914446583393,-1.8283199228583653,0.8986322091083139,125.09974723263086,60.96161709604741,126.46143758633337,
1403636860001,4.610414,-1.822605,0.940993,179.04682210951862,-72.39519274044954,161.92627597187087,0.0170822311962,-0.0742042379781,0.351640632841,177.14504180424245,-73.37340154488687,8.479221244303773,4.610699420046495,-1.827325159764122,0.9309454615064727,124.66651923931612,61.14141582346839,126.09632708516169,
1403636860101,4.61224,-1.818754,0.951655,179.42405733263217,-71.9999031295135,161.09190736367657,0.0199713499957,-0.0795604715226,0.363811871852,178.91305111018806,-72.92157897553032,7.479190496653037,4.6105683833827875,-1.821194004356737,0.9430931801008011,124.97675337378558,60.475153171469124,127.05923835908291,
1403636860201,4.614639,-1.814363,0.929578,-179.59433408835721,-71.15183565792637,160.0289171409399,0.0229123239747,-0.0877285503909,0.345078682077,-177.82468760133503,-72.02360395501213,6.210716012099158,4.611137023821617,-1.8126364642557784,0.9243116893462868,125.4847565248987,59.169178364657036,129.34092221767972,
1403636860301,4.618533,-1.813117,0.881456,-177.52574989122695,-69.58907124299691,158.21661340779053,0.022281771966,-0.0913140514655,0.297624400119,-175.0815711392829,-70.397340725222,4.388773951989489,4.612538795283649,-1.8098767206919673,0.8768187304768793,127.05134953444481,57.5114205763811,131.4498396117021,
1403636860401,4.623504,-1.812416,0.822097,-176.44046623793415,-67.09614103467007,157.0040041984122,0.0200137888789,-0.0936612174375,0.239234215496,-173.5385750863295,-67.71023026824112,3.4573818252654456,4.614725729804877,-1.808986084549995,0.818385087082393,130.1953311876349,55.38828931488303,134.58073671913024,
1403636860501,4.629125,-1.81338,0.765,-175.4323328641002,-64.37504677143355,155.93630211689253,0.0147625317065,-0.0950803498492,0.182487112466,-172.76975407631488,-64.98828608578042,2.634164247834361,4.619233571291832,-1.8102064302346004,0.7615694777612864,133.26724266754417,53.31432187925444,136.95883041684206,
1403636860601,4.634025,-1.814767,0.71997,-174.47831154856547,-62.22645770473472,155.25531314346122,0.00930578058928,-0.0959296945232,0.137145845389,-172.31395373693803,-62.834755990295264,1.9593897224410646,4.623852232812956,-1.8119795191506929,0.7161618557058727,135.51451240233453,51.63943817267469,138.47609210736616,
1403636860701,4.638162,-1.815817,0.689073,-174.1227749040713,-61.35196743785242,155.49179674181,0.00335574396106,-0.0972255006726,0.107495421219,-172.72612993802537,-61.89910660764254,1.9406622194889889,4.629341275539375,-1.8134920478629175,0.686432873722677,136.76319690970757,51.08792418196577,139.06759518659265,
1403636860801,4.641532,-1.816127,0.681114,-175.69186342651332,-61.41865510767439,157.31317162479843,-0.000867153845776,-0.098695855393,0.0998995903592,-174.95756097815152,-61.76354250261872,3.482564054092717,4.6336731828524265,-1.8140090399779727,0.6787739734409417,138.14063211288232,51.71199520169839,139.71882550863742,
1403636860901,4.642317,-1.815358,0.699657,-176.98092428334186,-61.547557743592385,158.950989984837,-0.00305130533373,-0.0999064767919,0.119723823766,-176.69407349328216,-61.59588373849792,4.896328477322319,4.636460018409245,-1.813765515847536,0.6985580730069627,139.28974155438763,52.16460447054694,140.50866041773983,
1403636861001,4.640542,-1.813174,0.742714,-177.57353000735054,-62.01504923095983,159.90196441301364,-0.00166546502556,-0.10098282253,0.163939452277,-177.39843621023164,-61.95145140345041,5.781243300198289,4.636327512999446,-1.8120044982719177,0.7427732529516962,139.2678296039128,52.65165861444042,140.7556035831493,
1403636861101,4.63603,-1.809537,0.800072,-177.58145972267323,-63.63160330756126,159.9244246758895,0.00252650506045,-0.102243753805,0.222401940466,-177.50954336424815,-63.468047104788,5.721431309156878,4.633951509119633,-1.8088102473020704,0.8012640766117884,137.51280192519926,53.74602010658887,139.19165460202427,
1403636861201,4.629793,-1.804637,0.862069,-177.708749745585,-66.2080385237787,159.97042354501232,0.0081752721561,-0.104117949636,0.28553648885,-177.77364948623992,-65.99364594234997,5.705832496814769,4.630592231736317,-1.8044165116042128,0.864436877099378,134.40471018525582,55.522955416708484,136.40207507651968,
1403636861301,4.624456,-1.799716,0.923626,-177.38962345851965,-69.03131986753915,159.65647980030712,0.0128395453738,-0.106547689068,0.348028875016,-177.42376385931385,-68.83238677837001,5.408026597416303,4.628350904258772,-1.7999461679717677,0.9269504747084063,130.27579498924052,57.211494256025524,132.98883398585167,
1403636861401,4.628783,-1.798197,0.979424,-176.3280801853768,-71.26786925778069,158.36650941945496,0.0161734314904,-0.109689734728,0.399124745506,-176.43211182636048,-71.08716563541444,4.169770932061992,4.627447255949831,-1.7954532519930626,0.9780461922827871,126.49875263910116,58.27820367478229,129.4877347924605,
1403636861501,4.627604,-1.794285,1.005275,-175.85284676810136,-72.64712741931886,157.59811251816714,0.0183599071453,-0.112659581688,0.423895661242,-176.15097523149748,-72.48203982446948,3.5064005699945837,4.627114627848396,-1.7917237831587123,1.0028086508423697,124.19351749344568,58.99528657917054,127.12291695455437,
1403636861601,4.626729,-1.791286,0.996793,-176.18382325329722,-72.51144666483465,157.69147544702162,0.019506372038,-0.114952700179,0.415277367875,-176.6106767848913,-72.3164245132954,3.678378083590102,4.626934554205559,-1.789198441634773,0.9941809061547784,124.61077675627875,59.01950694158764,127.21440159160655,
1403636861701,4.626201,-1.790791,0.958711,-175.95110444252478,-71.26331874188628,157.66438785616978,0.0203959175977,-0.115731402745,0.377254643249,-176.26294208895263,-70.98914475069486,3.6164560307330484,4.625899681914555,-1.788280416540268,0.9561649683623094,126.58989592837685,58.17658392904675,129.1718947374773,
1403636861801,4.626909,-1.792359,0.905987,-176.67753466438253,-69.9108827545626,158.5622683637652,0.0193345050289,-0.115042974716,0.323927375816,-176.80288664931805,-69.5763544516649,4.437608482837942,4.625770051496915,-1.7895918666599628,0.902838977736711,128.9313210455628,57.487054757424104,131.46682564756813,
1403636861901,4.628704,-1.796927,0.848892,-176.1004891091346,-68.32453127509017,158.44213632852762,0.0151491258059,-0.112217081033,0.266138976342,-176.19515320952334,-67.99443131975067,4.335047887043597,4.627478864352858,-1.7941939245628618,0.8450384309417516,130.9607353483687,56.33652394863039,133.6313130639075,
1403636862001,4.630693,-1.803164,0.791048,-175.11283243110287,-65.92783784164598,157.7847511125676,0.0102135306677,-0.107906281897,0.207623828452,-175.18632312194273,-65.59980148915525,3.7002494161977126,4.629217552229548,-1.80046232459217,0.7865179238806559,133.6909195230486,54.46823666209711,136.1717662395504,
1403636862101,4.633934,-1.809455,0.73636,-174.10894173308262,-63.96118051600124,156.92397950413923,0.00525099447071,-0.102525637678,0.154652689471,-174.12518838137532,-63.631016308499106,2.8680554408295262,4.630604127357445,-1.8076842996748983,0.7335515180371264,135.56062236420436,52.77893161188387,137.80398100113237,
1403636862201,4.635776,-1.814168,0.698114,-173.64146886956343,-62.925070942638854,156.82309479507379,0.00135498664455,-0.0991605123016,0.116139513785,-173.68135288430926,-62.63990823721231,2.781757914827018,4.632106922134051,-1.8125646217939588,0.6950327990673227,136.46398772408733,51.931509537512795,138.8289554089728,
1403636862301,4.637736,-1.81545,0.685514,-175.50825134987568,-62.15025134338182,158.74085459403182,-0.00120728840696,-0.0989009835312,0.103323500425,-175.52746610833836,-61.873938831747154,4.677194685909735,4.634119299938525,-1.813954643076751,0.6821914212802082,138.33033500025775,51.97824829357639,140.5602796820556,
1403636862401,4.63762,-1.814467,0.705423,-176.20065311335406,-61.465139371744414,159.62142902323282,-0.00106536334449,-0.099416849024,0.123536322586,-176.1979283984473,-61.16772421287643,5.524876064483481,4.634512965336858,-1.813339003068708,0.702398114591507,139.49603521672663,51.69173277707406,141.73514688655692,
1403636862501,4.635914,-1.811737,0.75248,-176.49166625216597,-61.93397318357508,159.86652842829267,0.00133806950996,-0.100544579552,0.171049035753,-176.4073038457031,-61.60270104352421,5.755777844521912,4.633532426904067,-1.8110805071211409,0.7499212028597992,139.1230738858516,52.07417250655418,141.48881521296795,
1403636862601,4.631163,-1.804926,0.813834,-178.66157702095649,-63.298488736277314,160.96623725848877,0.00813976249857,-0.104008416536,0.233062207299,-178.52760541503085,-62.93897244131671,6.814847766664787,4.6297969822430485,-1.8047611649284692,0.8119696275520754,138.69556362407195,53.71485043711125,140.32992545446018,
1403636862701,4.625753,-1.799112,0.881327,179.70483477117247,-65.00457657671029,161.70012373116816,0.0149546824669,-0.106198025386,0.301162121433,179.93309272996987,-64.62740059462325,7.534695871654584,4.6255935490041145,-1.7995603951281058,0.8801174005798005,137.33068038659772,55.35372474739325,138.5568773359724,
1403636862801,4.62046,-1.795582,0.949483,-178.96908583790224,-66.098430101638,159.90762823078364,0.0207539698009,-0.106629369217,0.370004863856,-178.71099981521036,-65.68674868341779,5.7543990597081285,4.621564320272781,-1.7963803051399299,0.9490143767028503,135.25843026896854,55.61435450062213,136.29954630361271,
1403636862901,4.617215,-1.792812,1.013461,-176.89610658215778,-66.80209349163704,157.35469824766292,0.02406272697,-0.107302965833,0.434689975895,-176.67291826617677,-66.37654844602571,3.2244354180285946,4.619826656465549,-1.7940681777081797,1.0137229535465386,133.38083391924863,55.43646656774015,134.0840924872783,
1403636863001,4.621799,-1.796206,1.058924,-175.0526825396387,-67.91286878549283,155.5788451429253,0.0234234578915,-0.107956421714,0.479187079357,-174.90728182879866,-67.51924119154414,1.477660697613162,4.621346053821623,-1.7935567520264852,1.058200563211375,131.0527524155496,55.65771026766271,132.04226297749412,
1403636863101,4.623306,-1.79436,1.068581,-177.2923266439855,-69.16773419651453,157.68287025685657,0.0220257490292,-0.109929791495,0.488140444069,-177.17092024717226,-68.8520437482022,3.563167756035257,4.623588070565702,-1.7923345910607595,1.0671162909727823,130.144237110367,57.15123692556482,131.26921461472097,
1403636863201,4.624184,-1.793525,1.043863,179.50988489478468,-69.64553660044669,160.6636422257665,0.0202027515877,-0.110737902035,0.461936042538,179.52247709942708,-69.43355060877299,6.559840532199497,4.625191569343478,-1.7925018673383137,1.0408856250980643,130.57468035398693,58.44389015836846,131.54006773042858,
1403636863301,4.624419,-1.794742,0.992567,177.35014761083306,-69.32063490222953,162.64193723497115,0.018735331697,-0.10973038614,0.409823692082,177.2940832565691,-69.14198986729099,8.545864988310052,4.625309850519349,-1.7942703972010159,0.9887730182629477,131.89584373706626,58.928259136789116,132.57041949580858,
1403636863401,4.625146,-1.795897,0.92905,175.9801419812784,-68.84565509517293,163.49307054867305,0.0178950934465,-0.109511482386,0.345813431165,176.02012738542794,-68.67352955407907,9.363896106774801,4.6250229804483745,-1.7951097675080674,0.9247630144753869,133.14704776438302,59.04677319352485,133.27219323748665,
1403636863501,4.627184,-1.798257,0.860584,177.09955425661332,-67.9449376763277,162.02171987559566,0.0152726809404,-0.108840859492,0.276685599968,177.2465896816782,-67.8007410394971,7.889548676568084,4.626075936144282,-1.7971442569671536,0.8556201481379087,134.02319853817443,58.17485289054659,133.68488358001676,
1403636863601,4.631419,-1.802784,0.793104,-179.30884255573469,-66.3766208934561,159.18561589837145,0.00946714655309,-0.107530262216,0.208697433411,-179.15324477954323,-66.27103609667364,5.066622130951819,4.629746375729818,-1.8011174835438095,0.787586670861321,134.66850271753583,56.12841161979998,134.71948258014172,
