        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403636859701,4.614772,-1.828672,0.816032,-175.61166586118196,-70.10370611916873,158.29279169811738,0.0158233760073,-0.0720359383468,0.238105349934,-177.92985060900662,-70.47141946069421,4.105783386111464,4.609218010731571,-1.8303225024118577,0.817431726355417,127.99726285012689,58.32553585254565,129.28446210184714,
1403636859801,4.610965,-1.825128,0.863199,-178.01594681888108,-71.42623021413937,159.9129542894962,0.0202670524146,-0.0726870151663,0.28458038255,179.14142684927032,-71.63313523171814,5.896880538428692,4.606174811702047,-1.8276237804335702,0.8639457528103109,127.13114242248261,59.758899282230495,127.56252252244168,
1403636859901,4.609292,-1.823567,0.906944,179.5351540093922,-72.1706218446726,161.7924177470485,0.0204573939297,-0.0722205249274,0.328008072614,175.85880644663763,-72.44886532838332,7.958115449555743,4.606448609014211,-1.827772742693006,0.9073752468507361,126.72260972036244,61.04279988326841,126.14567177360331,
1403636860001,4.610414,-1.822605,0.940993,179.04682210951862,-72.39519274044954,161.92627597187087,0.0209343798815,-0.0735783830842,0.360543650059,176.0602856738318,-72.6665393918214,8.102054834180674,4.607084050675416,-1.8261986725151178,0.9398983711013686,126.26687536658386,61.09199271686526,126.08297220122735,
1403636860101,4.61224,-1.818754,0.951655,179.42405733263217,-71.9999031295135,161.09190736367657,0.0234250570274,-0.0788195869261,0.369451354099,177.7961068408025,-72.24509727266329,7.09177487137624,4.607215020614197,-1.8203567002023753,0.9487795358895018,126.50417426465755,60.4302441381891,126.93486237158857,
1403636860201,4.614639,-1.814363,0.929578,-179.59433408835721,-71.15183565792637,160.0289171409399,0.0246817286363,-0.0847802212396,0.347118888362,179.32376133512713,-71.26301140579933,5.877004585280785,4.608304579216607,-1.8145315274872842,0.9264025915999559,127.69132970777014,59.51359473584811,128.19885760615074,
1403636860301,4.618533,-1.813117,0.881456,-177.52574989122695,-69.58907124299691,158.21661340779053,0.0218476343082,-0.0884761186463,0.299238895206,-178.53042499594864,-69.7716175853294,3.974840959098732,4.611737643622285,-1.8126193303500617,0.8784573826233033,129.30405684487488,58.08598294127464,129.69943851949674,
1403636860401,4.623504,-1.812416,0.822097,-176.44046623793415,-67.09614103467007,157.0040041984122,0.0172717023888,-0.0910929192665,0.241143797348,-177.5876691724367,-67.31526706367558,2.59796784193082,4.616129193871642,-1.812474032291635,0.8202893469986661,132.5133419477896,56.31608342621364,131.8983658618843,
1403636860501,4.629125,-1.81338,0.765,-175.4323328641002,-64.37504677143355,155.93630211689253,0.010922672179,-0.0932270470002,0.184748556141,-176.81066594563202,-64.73827431428964,1.2588968242416783,4.621940476606293,-1.8135179755293194,0.7638054812308305,135.57498142735156,54.38914055582665,133.78870937153303,
1403636860601,4.634025,-1.814767,0.71997,-174.47831154856547,-62.22645770473472,155.25531314346122,0.00550740688013,-0.0946688498385,0.139457125417,-175.7666687615484,-62.72736244422014,0.41989774373451055,4.626776532884168,-1.8147378925601279,0.7184420383189026,137.48029204282716,52.66436595326178,135.4184031055258,
1403636860701,4.638162,-1.815817,0.689073,-174.1227749040713,-61.35196743785242,155.49179674181,0.000121443397442,-0.0956336587889,0.109971639083,-175.29651383135945,-61.807335128871124,0.669372616001101,4.631616574128447,-1.8163066724629535,0.6888879135023852,138.27835956610386,51.85460538675659,136.7151635934262,
1403636860801,4.641532,-1.816127,0.681114,-175.69186342651332,-61.41865510767439,157.31317162479843,-0.00391156428202,-0.0967367229651,0.102067132899,-177.0279489492665,-61.7876973799698,2.4751207078756545,4.635614837015694,-1.8170753162861597,0.6809263684205674,139.2542230850456,52.41237060349749,137.76540620418672,
1403636860901,4.642317,-1.815358,0.699657,-176.98092428334186,-61.547557743592385,158.950989984837,-0.0060456393975,-0.097479337509,0.121279816469,-178.65545279624013,-61.601792803741255,4.001064753192697,4.638146605481202,-1.8172357338329939,0.700104412574443,140.36974187276962,52.82641303868314,138.74484699793175,
1403636861001,4.640542,-1.813174,0.742714,-177.57353000735054,-62.01504923095983,159.90196441301364,-0.00468048752426,-0.0979558867074,0.165098117762,-179.4243211440608,-61.880490891885046,4.888637853878773,4.637769605651133,-1.8160271202060683,0.7439282804001903,140.46276363234307,53.28144757071316,139.02952681584858,
1403636861101,4.63603,-1.809537,0.800072,-177.58145972267323,-63.63160330756126,159.9244246758895,-0.00043655240599,-0.0984382291947,0.223257996858,-179.59301411958614,-63.39991525889014,4.991134300638404,4.635008204531117,-1.8135151853567402,0.8021251877337556,138.6806543683792,54.38089259994054,137.5434169716753,
1403636861201,4.629793,-1.804637,0.862069,-177.708749745585,-66.2080385237787,159.97042354501232,0.0053485966547,-0.0993266967502,0.286097522481,-179.9046594827208,-65.96728097439593,5.260063499186631,4.631098547390827,-1.8099546191505098,0.8650147755373951,135.436793081007,56.16897256174858,134.86389167994278,
1403636861301,4.624456,-1.799716,0.923626,-177.38962345851965,-69.03131986753915,159.65647980030712,0.0100689579407,-0.100828790443,0.348170699291,-179.62885361569613,-68.79401539122017,5.279445891899182,4.6284024294478145,-1.8062999746482578,0.9271194605218419,131.22495100147526,57.82527340264104,131.60486910114753,
1403636861401,4.628783,-1.798197,0.979424,-176.3280801853768,-71.26786925778069,158.36650941945496,0.0132235429597,-0.103676995931,0.399142383093,-178.76530449786745,-71.02914317646534,4.306826210486383,4.627532844265826,-1.8021499496680835,0.97809197610652,127.41522319653511,58.86861680880601,128.1999581949131,
1403636861501,4.627604,-1.794285,1.005275,-175.85284676810136,-72.64712741931886,157.59811251816714,0.0155458742609,-0.106295130459,0.423556267897,-178.56809380775573,-72.39209945534638,3.819775803878305,4.626921339317981,-1.7986814562155453,1.0025026548592848,125.11596715287591,59.55913816099445,125.92481025024155,
1403636861601,4.626729,-1.791286,0.996793,-176.18382325329722,-72.51144666483465,157.69147544702162,0.0169226640419,-0.108547010545,0.414248098948,-178.9995005507829,-72.27659901023789,3.9985667498533726,4.626505285376811,-1.7960975772504715,0.9931882041606229,125.44653947482075,59.608832493737175,125.9776142713516,
1403636861701,4.626201,-1.790791,0.958711,-175.95110444252478,-71.26331874188628,157.66438785616978,0.0170227391645,-0.1095402785,0.376446007837,-178.73872010232617,-71.09168335249427,3.877487193128137,4.626278789118376,-1.7953234808405814,0.9553815359284439,127.30542812216916,58.896295628365195,127.70176778416574,
1403636861801,4.626909,-1.792359,0.905987,-176.67753466438253,-69.9108827545626,158.5622683637652,0.0151496738794,-0.10956230762,0.323796084027,-179.28172795728034,-69.81536899622846,4.601874523438276,4.627197065597655,-1.796338442731093,0.9027160827668922,129.5221853719934,58.32272471177412,129.8068027386291,
1403636861901,4.628704,-1.796927,0.848892,-176.1004891091346,-68.32453127509017,158.44213632852762,0.0110287366342,-0.107328629204,0.266841645052,-178.6373864978056,-68.28357355256183,4.356021093911311,4.629114095326349,-1.8003742551117201,0.845744012614495,131.57883489385773,57.228599637611964,131.90273711681394,
1403636862001,4.630693,-1.803164,0.791048,-175.11283243110287,-65.92783784164598,157.7847511125676,0.00646163001928,-0.103776948129,0.208461240522,-177.38878585367965,-65.88771581336297,3.475878443733216,4.630847572807651,-1.8057982748211836,0.7873546334399381,134.36502721496393,55.334986698407256,134.49087363179237,
1403636862101,4.633934,-1.809455,0.73636,-174.10894173308262,-63.96118051600124,156.92397950413923,0.00192640075376,-0.0991547149496,0.155294895541,-176.16777027850802,-63.938463131406344,2.479875244409499,4.6321706019974265,-1.8121527223259377,0.7341901323761022,136.2453066641673,53.639425761586466,136.13160458708822,
1403636862201,4.635776,-1.814168,0.698114,-173.64146886956343,-62.925070942638854,156.82309479507379,-0.00124711022232,-0.0957145770477,0.116447311743,-175.4757806342836,-62.90141141353441,2.324174499805919,4.632983678999323,-1.8167922944808588,0.6953461654874038,137.1222860298004,52.69340808367063,137.29672964192218,
1403636862301,4.637736,-1.81545,0.685514,-175.50825134987568,-62.15025134338182,158.74085459403182,-0.00376837071593,-0.0955665597646,0.104080659205,-177.21148830491785,-62.18917340374354,4.212356607538174,4.635013525106293,-1.8180620195903607,0.682953414319214,138.8879373859545,52.757458424454775,139.04967702744807,
1403636862401,4.63762,-1.814467,0.705423,-176.20065311335406,-61.465139371744414,159.62142902323282,-0.00361792471155,-0.0958672430208,0.124571147858,-177.82703038652824,-61.530679827963844,5.04418787199502,4.635311324883909,-1.8176358735103118,0.7034400656920086,139.9931809309828,52.49704767293789,140.2170680152714,
1403636862501,4.635914,-1.811737,0.75248,-176.49166625216597,-61.93397318357508,159.86652842829267,-0.00130129918185,-0.0965410948771,0.171628916591,-178.16173439381475,-62.03154576496951,5.284041164474543,4.634207743578768,-1.815826597515179,0.7505119581223538,139.59133295414773,52.96255287962874,139.84220551961144,
1403636862601,4.631163,-1.804926,0.813834,-178.66157702095649,-63.298488736277314,160.96623725848877,0.00465584278658,-0.0994073241119,0.233327092504,179.6037506798303,-63.35421899867654,6.449433586635887,4.630974092230695,-1.8104107858328,0.8122418552892053,139.15661056352698,54.615945125043986,138.67111895617046,
1403636862701,4.625753,-1.799112,0.881327,179.70483477117247,-65.00457657671029,161.70012373116816,0.0105971883284,-0.100805949643,0.301263633124,177.8504864178152,-65.00328563337945,7.272034146249477,4.627217976461851,-1.8063000044267685,0.8802243704103696,137.84037532291373,56.27272769389762,136.83117132124846,
1403636862801,4.62046,-1.795582,0.949483,-178.96908583790224,-66.098430101638,159.90762823078364,0.0156928739909,-0.10024202185,0.36997073356,179.0481785221545,-66.09294026719823,5.54646864891676,4.6233953299743265,-1.8043213859340888,0.9489878935890228,135.74718320983473,56.57789773796051,134.45189077751627,
1403636862901,4.617215,-1.792812,1.013461,-176.89610658215778,-66.80209349163704,157.35469824766292,0.0181032231214,-0.100258160928,0.434097669124,-178.76331298637385,-66.88270061116376,3.0442463701256735,4.622178816108609,-1.8029910245971552,1.0131347886109792,133.6403487670477,56.39692574642955,132.19989682095783,
1403636863001,4.621799,-1.796206,1.058924,-175.0526825396387,-67.91286878549283,155.5788451429253,0.0168740317679,-0.100479293188,0.477954963353,-176.96096992476907,-68.03719416685743,1.3504981895670982,4.624036087800219,-1.8031260141911112,1.0569703265639012,131.22754247712322,56.58609472883682,130.15901763326576,
1403636863101,4.623306,-1.79436,1.068581,-177.2923266439855,-69.16773419651453,157.68287025685657,0.0154253196114,-0.103075450819,0.486826646464,-179.1401379527437,-69.32145947139014,3.5468446158411338,4.626590090378855,-1.8013635438717437,1.065797349379158,130.22918662474237,57.99519855121025,129.48506937705227,
1403636863201,4.624184,-1.793525,1.043863,179.50988489478468,-69.64553660044669,160.6636422257665,0.0147050004881,-0.104806884352,0.461579408727,177.78210123945502,-69.74155027272735,6.534793651805616,4.627607910847977,-1.8002195123647802,1.040526912729371,130.74232220256258,59.118960377963134,130.02727780935828,
1403636863301,4.624419,-1.794742,0.992567,177.35014761083306,-69.32063490222953,162.64193723497115,0.0137745712196,-0.105140153721,0.409847753556,175.8636120718111,-69.43596016056742,8.437287246047104,4.627821941280408,-1.800544881533789,0.9887872834332008,131.96014292377598,59.512416423106984,131.179043073085,
1403636863401,4.625146,-1.795897,0.92905,175.9801419812784,-68.84565509517293,163.49307054867305,0.0128169928189,-0.105839370872,0.346209259778,174.81549943150986,-69.07979671861983,9.218492549161564,4.628040394422554,-1.8006036438981878,0.9251381469381978,132.9478004943937,59.63257827272424,131.83169615843318,
1403636863501,4.627184,-1.798257,0.860584,177.09955425661332,-67.9449376763277,162.02171987559566,0.010574005353,-0.10536402059,0.277472895389,176.0297427062294,-68.16388411601554,7.704958694533709,4.628840228088011,-1.8022972422377597,0.8563890616289955,133.95870856361742,58.75693698714954,132.31721449198932,
1403636863601,4.631419,-1.802784,0.793104,-179.30884255573469,-66.3766208934561,159.18561589837145,0.00553251088967,-0.104387718126,0.209430279955,-179.9989685058454,-66.63139773824251,4.740724526635637,4.631963155836625,-1.8056409476741564,0.7883065065634298,134.5501154625814,56.6180291389722,133.51970930251784,
1403636863701,4.637223,-1.805265,0.73251,-176.63072053153948,-64.55522008743452,157.1236883698809,0.000224815282056,-0.103602600618,0.150571112927,-176.9538751043177,-64.81888306371208,2.602828861759262,4.635545091819004,-1.8088858335258118,0.7294012433365982,135.54353786849381,54.48857535293662,134.97750545054512,
1403636863801,4.640755,-1.806875,0.694019,-175.40840321196953,-62.835891125610914,156.0028620210582,-0.00333297737206,-0.104251315518,0.112756500141,-175.76261245699308,-63.1229923045475,1.4478414509465964,4.6384744583674875,-1.8099923697123081,0.6915433769276353,137.0139030971856,52.9419039056115,136.0784486043102,
1403636863901,4.643955,-1.80712,0.68861,-175.55033433373382,-61.60290856529624,156.31813049735302,-0.00619621984482,-0.10587298319,0.107890857579,-175.96171563582556,-61.92117801790131,1.711060553537308,4.641683808742593,-1.8097773538843933,0.6866284731238032,138.5151317260874,52.15479205296065,137.3568446707429,
1403636864001,4.645099,-1.805807,0.720157,-175.41030931928114,-61.364008342042204,156.6418836856193,-0.00663642801781,-0.107458396923,0.13955585517,-175.9088964930552,-61.72480028361385,2.000746409628695,4.643232332884969,-1.8083950693551816,0.7182681753164467,138.70903635819002,51.996731755109984,137.84604715712152,
