        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715530162,0.834792,2.153868,1.382883,172.48059409215807,-71.17761664340966,-10.910320805528556,0.189665313,0.159858362128,0.220641585012,129.6073004512325,-67.93611223506299,11.80654652888772,0.7826246960549844,2.2044281313581418,1.4179039888213467,172.48059409215807,-71.17761664340966,-10.910320805528558,
1403715530262,0.864036,2.177628,1.422437,170.21910979465449,-70.3957168085072,-8.858016813938708,0.232536075794,0.184123514087,0.255727933306,129.18524037302365,-67.11828137353888,11.917784837253432,0.8250439933028985,2.2224808303791637,1.457050572552116,172.0585340139492,-70.35978578188555,-10.799082497162846,
1403715530362,0.893599,2.20816,1.475806,170.39202160102278,-69.77399688710608,-9.158973017540536,0.282454884215,0.222926876048,0.305682838052,129.86404428504684,-67.04789325854523,10.857892430829677,0.8745603230263244,2.253020464880952,1.5128048966628873,172.7373379259724,-70.2893976668919,-11.858974903586601,
1403715530462,0.924487,2.245461,1.541009,173.325221403565,-69.5719684158304,-11.751757603750118,0.33756491482,0.267236666058,0.365586364343,132.41585891400132,-67.70676697581032,8.894778044239654,0.929086440226867,2.2876976306745718,1.5792375854664078,175.2891525549269,-70.948271384157,-13.822089290176624,
1403715530562,0.9568,2.28751,1.608051,174.98674616381686,-69.47800068682224,-12.47123240637946,0.389280720461,0.31961811369,0.426101600388,134.26586737592396,-68.02626181803535,8.393167444427506,0.980606116430817,2.3305119473566,1.647009937156421,177.13916101684953,-71.26776622638202,-14.323699889988772,
1403715530662,0.988997,2.332073,1.664157,176.0804850256482,-69.5885269827385,-12.656737989573276,0.444940888695,0.367780090226,0.474415484594,135.56452432776464,-68.23779894143033,8.53682380656267,1.0363970004115297,2.370200859222132,1.7023636114549063,178.4378179686902,-71.479303349777,-14.18004352785361,
1403715530762,1.021135,2.378709,1.708639,177.16671366261502,-69.64180855346049,-12.619907087592054,0.490044999025,0.415140977618,0.507055487484,137.50654941658178,-68.36765189508448,8.683162711716129,1.0823206796300098,2.4113205629422585,1.7416445211297717,180.37984305750734,-71.60915630343115,-14.03370462270015,
1403715530862,1.054027,2.427734,1.75016,178.14059888525995,-69.62213935140596,-11.73182064744641,0.527665016997,0.461571889697,0.530637455164,140.01927432134994,-68.29559143539274,9.387197967433732,1.1211379469316036,2.452879481026796,1.7715323219060297,182.8925679622755,-71.53709584373941,-13.329669366982547,
1403715530962,1.087424,2.477037,1.790593,178.09185861231893,-69.43283592121517,-10.0049969410938,0.554578483757,0.5078283887,0.548270458626,142.08008620889115,-67.96152482098358,10.527483345026798,1.149531997541375,2.4954785647974598,1.7950698909397431,184.9533798498167,-71.20302922933026,-12.18938398938948,
1403715531062,1.121152,2.525826,1.826511,178.74015563428216,-67.81092214555149,-9.343775093940199,0.584034332559,0.550928550188,0.565786867518,146.13416914276044,-66.55832511555394,8.739645704587202,1.1803084938523347,2.5348160156426673,1.8182532419751745,189.007462783686,-69.79982952390061,-13.977221629829076,
