        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715529262,0.598429,2.036416,1.158659,179.32270149490003,-69.09272615305012,-27.133917598932598,-0.00658880488218,0.0375298055079,0.0947465914863,178.123096131391,-71.16543500127024,-1.835934974545607,0.5863072874324392,2.1069721501218663,1.271988565584771,-178.44510909168292,-73.60485455170574,-11.830769737843616,
1403715529362,0.61596,2.048048,1.197336,178.91264476688423,-68.32898252235304,-24.478901577275092,-0.0147522537652,0.043785890689,0.102136836047,179.6616599787071,-69.29501872648922,1.182905136898042,0.5781459207317653,2.1128569789993645,1.2796799306642288,-177.76995988571298,-71.67399434489256,-8.008332436003315,
1403715529462,0.636248,2.059395,1.228895,178.3098613630861,-68.21002653878502,-21.639891358125407,-0.0229023915179,0.0581567539011,0.0977195327853,168.38553196135467,-69.11556847893111,3.262851956812208,0.5709387422234643,2.1280384943402844,1.2765117777547879,169.40696889624726,-72.08153289065918,-4.282292525494071,
1403715529562,0.659287,2.07023,1.252363,177.8905278186489,-68.33727456118598,-19.563670539573813,-0.0220732229532,0.0701161678864,0.105174609081,166.73199871471428,-69.17103193875325,5.396516640610107,0.572034448647953,2.1390851953915644,1.2852331933090528,167.52612786245166,-72.21259448919068,-1.9035367916879593,
1403715529662,0.684245,2.080816,1.268489,177.46899449663476,-68.66337186534132,-17.97456153656011,0.00407199178691,0.0856249483075,0.118751657192,158.72439867122563,-67.86377780451907,5.9741211958134866,0.5982920394254961,2.151621447575798,1.3014138010571303,157.7647859516888,-71.23928327287551,0.49224391537440043,
1403715529762,0.711914,2.092386,1.282884,176.29493516695453,-68.8346756110663,-15.902606114315521,0.0299654541846,0.111744314487,0.140220953602,145.1574077883104,-67.24363965274091,6.185656031742408,0.6244791210815762,2.173878608642124,1.326562934412084,141.64771027452016,-70.99447913391928,3.4161472891079914,
1403715529862,0.741538,2.105394,1.300957,176.44922808452458,-69.02896613079211,-15.40103467956747,0.0720240562778,0.134628063067,0.1573664864,134.71069785583524,-68.1097571694151,5.235716159146303,0.6668254902251061,2.1924881623643033,1.3477060369435314,129.2302333411809,-71.98088725136998,4.578301065092832,
1403715529962,0.772285,2.120046,1.323772,177.22630223875433,-69.54301896761987,-15.728510370766282,0.119429061477,0.15218187298,0.182395657516,131.76123097642682,-68.3068872687086,5.196704451408197,0.7138822496052917,2.204683570449752,1.3763200821908679,125.67475796149,-72.18445233796416,5.183652551804358,
1403715530062,0.803927,2.13547,1.351244,175.62774018594888,-70.53142570336615,-13.957966463508711,0.153756543654,0.148012479818,0.198102368467,131.7473514869023,-68.02889084686062,8.444376626816636,0.7472140279942292,2.1970068559720852,1.3928282996933419,125.65783360613854,-71.90645695161362,8.434540880572518,
1403715530162,0.834792,2.153868,1.382883,172.48059409215807,-71.17750246812777,-10.910320805528556,0.189745042227,0.157663228469,0.221323965959,129.15996781595206,-67.96090977124106,11.75954117078133,0.7825627127867314,2.202172435272771,1.4183496406274054,122.54324761052007,-71.83388716914057,12.310783690509817,
1403715530262,0.864036,2.177628,1.422437,170.21910979465449,-70.39589990224768,-8.858016813938708,0.232549055507,0.177949050846,0.254213564855,129.34939214667014,-66.90941423522692,11.741278914970737,0.8248133263138622,2.2165081950522607,1.4548844939328613,122.79967197793367,-70.78308951266719,12.224541713020624,
1403715530362,0.893599,2.20816,1.475806,170.39202160102278,-69.77395938820504,-9.158973017540536,0.281979514098,0.212272327762,0.302883437562,130.2496689819673,-66.75716583722782,10.66211602821354,0.8736740379916786,2.2427611115161685,1.5088625386877514,123.87481290675736,-70.63325175883412,10.958290556632827,
1403715530462,0.924487,2.245461,1.541009,173.325221403565,-69.57193682972307,-11.751757603750118,0.338735166844,0.261750211512,0.364455324488,132.31788970224758,-67.49639421384659,8.76181599835731,0.9300278883877149,2.282304272126889,1.577571667288594,126.34124885422061,-71.37369367887706,8.631455628669134,
