        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715524962,0.515098,1.996129,0.970804,175.19879175801663,-70.51021422199615,-25.74762088058883,-3.21028136395e-05,2.89564608867e-05,-3.4656686678e-05,174.45543228471476,-70.89957507742538,0.04920457468794243,0.5952195927366162,2.079327598970066,1.1740644182447466,177.24099293805136,-73.54286128808474,-9.276302459117373,
1403715525062,0.51475,1.995386,0.970449,175.24207614818533,-70.51099489635521,-25.77825765770438,-0.000488804050948,0.000416154471854,-0.000464927870876,174.41457461674707,-70.93145917607784,0.11793160504673755,0.5948028433796083,2.079782358794044,1.1736605060169836,177.2126822746843,-73.57648951521877,-9.219034274826065,
1403715525162,0.514438,1.994892,0.970253,175.30864438872663,-70.50749971534499,-25.84763101110431,-0.000524238488221,0.000224672580292,-0.000512082502953,174.5089014908435,-70.92430738383872,-0.00308401486374893,0.594759943630437,2.0795991264810283,1.1735917309891366,177.3161073583267,-73.56442932103934,-9.350102867094058,
1403715525262,0.514361,1.99479,0.970204,175.3769364748948,-70.50477231350249,-25.968388790059073,-0.000385259395616,-0.00010705443496,-0.000440996425373,174.57691671002218,-70.91941923745792,-0.08408459348421082,0.5948786578480919,2.079254632055687,1.1736322495859823,177.39081086189685,-73.55599405422922,-9.438473501294823,
1403715525362,0.514541,1.994839,0.970203,175.42070873332398,-70.47521508746024,-26.005270818342055,-0.000101669020846,-0.000226866917062,-0.000586792631046,174.56772739647616,-70.89563027667867,-0.0741286439435841,0.5951621088364085,2.0791353806815636,1.1734857241202428,177.36670115153095,-73.53300914015169,-9.414079200519156,
1403715525462,0.514691,1.995037,0.97021,175.45141347080926,-70.45051991495325,-26.003476743993012,-0.00011033702058,2.02213148114e-05,-0.000720996937651,174.5716469970341,-70.87666479788808,-0.07532820034806642,0.595171973598913,2.0793952957307544,1.173378554263818,177.36031983349238,-73.51408664040133,-9.405455966675584,
1403715525562,0.514775,1.995062,0.970223,175.4504221788381,-70.44257647066482,-26.011031494779015,-5.51842190734e-05,7.78417793671e-05,-0.000873358874614,174.56047493758095,-70.87146001267077,-0.07838472564257379,0.5952367638164543,2.0794654761967655,1.173235540141487,177.3446207152707,-73.50954398282647,-9.40401431786367,
1403715525662,0.514686,1.994916,0.970291,175.41635745758208,-70.42490677144892,-26.03687515766968,0.000235764604166,-0.000528741028923,-0.000854448642202,174.5043223699996,-70.85223635243321,-0.058533886363851456,0.5954955698445771,2.0788451864375914,1.1732007324926372,177.26969319697932,-73.49355406854991,-9.365369980754467,
1403715525762,0.514657,1.995018,0.970431,175.39883007774188,-70.431794647179,-25.986288847221317,0.000223101164463,-0.000426446293884,-0.000800407956333,174.4454238526199,-70.86314356490907,0.040464021583134904,0.5954856690212611,2.078941781824582,1.1732648907045893,177.20879362069854,-73.50744073723337,-9.263622049851103,
1403715525862,0.514832,1.99526,0.970579,175.36752996371368,-70.42809443092656,-25.907947913088687,-1.97950586133e-06,5.35983953205e-05,-0.000624296218275,174.41580913277892,-70.86322582103347,0.09246504368170737,0.595277417892619,2.079412325664779,1.173482467169172,177.1750906909639,-73.50909115423896,-9.207282777898506,
