        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1413394889155,-1.453128,0.090371,1.814088,-170.75767125843535,-72.44407686615448,175.30571570605613,-0.344279767171,0.174115371683,-0.0224484676283,-2.350979895712495,-86.69366499511987,114.84557677222702,-0.704147024377646,0.2673674966570382,1.586008690482797,-170.75767125843535,-72.44407686615448,175.30571570605613,
1413394889255,-1.493433,0.072089,1.829528,-172.42245413198452,-74.61124527768398,176.77769793983538,-0.388891863232,0.156693472522,-0.0509959261368,8.158858205423982,-84.980156377063,111.73926932424577,-0.664458827564308,0.2933128057182158,1.5566759946630775,-160.24783315729888,-70.7305682480976,172.19940825807487,
1413394889355,-1.527451,0.056498,1.852462,-172.87571019316988,-79.64842301800458,177.12185977107433,-0.455752676656,0.0862698235765,-0.0860043583618,9.509973958494584,-80.75482267198193,124.0893947103425,-0.614378253844806,0.3756412831667004,1.5196704955269993,-158.89671740422827,-66.50523454301653,184.54953364417162,
1413394889455,-1.545773,0.043213,1.87889,-169.39488616832915,-85.19010933778088,173.5573319030458,-0.548101637436,0.140729372505,-0.0876663015039,4.896475229647827,-74.38254464914318,116.2107612047407,-0.5125522435101955,0.34208913124451956,1.518042059966125,-163.51021613307503,-60.132956520177785,176.67090013856983,
1413394889555,-1.541368,0.032079,1.901051,-176.3931570820194,-85.65074469335897,-179.59239561678274,-0.613710567174,0.273496979353,-0.106583046946,5.9449885541894005,-73.12127328021373,101.86091560321746,-0.4202604247726123,0.22599578807634887,1.5008907272546836,-162.46170280853346,-58.87168515124833,162.32105453704656,
1413394889655,-1.514912,0.022157,1.917907,-178.14598425949748,-79.64787743893525,-177.93402240533217,-0.639816203848,0.448072101237,-0.132891657483,8.590634536612153,-78.56292563772334,85.7203823201005,-0.3576935443992194,0.06049614526024494,1.4775374802975798,-159.8160568261107,-64.31333750875794,146.1805212539296,
1413394889755,-1.474344,0.012758,1.93586,-179.289107631249,-71.81425732333784,-177.00533262590366,-0.687732983545,0.559927735259,-0.149475608277,25.42833764825,-85.0438888114606,71.93137427827133,-0.28713133548236514,-0.038892655867388354,1.4625185274007153,-142.97835371447286,-70.7943006824952,132.39151321210045,
1413394889855,-1.433018,0.002365,1.955179,-178.89991815099265,-65.09478520540249,-177.48173540781212,-0.756409456515,0.631474422142,-0.155126864469,114.53361512813534,-87.28629324440355,-10.52233917324893,-0.20481414651555185,-0.09426125474965596,1.4574666269170025,-53.873076234587515,-73.03670511543815,49.937799760580184,
1413394889955,-1.403406,-0.008826,1.9736,-178.10776806172126,-60.09878666684588,-178.3835292522632,-0.8440486153,0.700513814259,-0.177587454664,160.70899661542668,-83.28059353913605,-53.81625727224157,-0.10461237484602359,-0.14348095558537918,1.4353631445609418,-7.697694747296168,-69.03100541017065,6.6438816615875425,
1413394890055,-1.392651,-0.020631,1.982656,-178.2407205687079,-56.32841502960818,-178.43459768909267,-0.914397251679,0.795852235903,-0.212723893908,168.91718878916168,-79.47724398196655,-62.708585179927546,-0.015775084241086423,-0.22233178886690738,1.4012545454474665,0.5104974264388318,-65.22765585300115,-2.248446246098432,
1413394890155,-1.405284,-0.032978,1.984744,-176.69420203018007,-55.74814942498802,179.9367529166474,-0.985412668872,0.87783211871,-0.251858735759,175.19667424063633,-79.17576817054496,-70.2580344045168,0.07083942251910891,-0.2880727611463244,1.362894692824013,6.789982877913474,-64.92618004157956,-9.797895470687692,
1413394890255,-1.444573,-0.045032,1.98504,-173.93175806509518,-60.547387463977685,177.1942382058108,-1.05615027075,0.945216260148,-0.321673200762,-179.27311869297156,-82.61535534500716,-74.43169101284496,0.15387494201770613,-0.34023802024421856,1.2935954965423133,-347.6798100556944,-68.36576721604176,-13.97155207901585,
