        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1413394888905,-1.344074,0.153614,1.794894,-173.7997203772857,-71.423900157385,178.0689284295803,0.316539286868,0.25753334332,0.446132032749,-178.46506896198517,-70.45896934875341,-2.5923973851332267,-1.328984417867653,0.05457573891675542,2.0629845442126116,-173.7997203772857,-71.423900157385,178.0689284295803,
1413394889005,-1.388841,0.125303,1.80052,-171.85200937607755,-71.88805756994878,176.28806886089944,0.358450178628,0.286760007676,0.452052376928,-175.40093681021176,-70.82019624413313,-4.213677627453325,-1.3636599059201133,0.01721576129032043,2.0698848219440147,-170.7355882255123,-71.78512705276472,176.4476481872602,
1413394889105,-1.432076,0.101204,1.80866,-170.12023543720687,-72.21288604288283,174.62481030999757,0.401676557327,0.312588644038,0.461150500453,-173.0165818151042,-70.98532820394784,-5.704279027361033,-1.4003250580735682,-0.017040789325847877,2.0799132555640703,-168.35123323040472,-71.95025901257944,174.9570467873525,
1413394889205,-1.473618,0.08088,1.820889,-172.21714701937339,-73.12494285336301,176.65074995922132,0.445183825648,0.332324318371,0.471666604429,-174.81521548297016,-71.72856194795294,-3.8749981992712805,-1.4385549937823492,-0.04537668727520061,2.091249771081375,-170.1498668982707,-72.69349275658453,176.78632761544225,
1413394889305,-1.511667,0.064012,1.840329,-172.78979909977542,-76.76495889498776,177.0869211976101,0.484554174973,0.348751502319,0.490069395218,-175.70235990430305,-75.2142945156208,-2.834838592092372,-1.4733987157245667,-0.06943920810901327,2.110366507716937,-171.03701131960358,-76.17922532425239,177.82648722262115,
1413394889405,-1.539046,0.049474,1.865579,-170.49192692415775,-82.57683831841804,174.75237667956435,0.516444808436,0.361388804309,0.513516622552,-176.66846918561566,-80.90990710185912,-2.0843531711052488,-1.5017111117539113,-0.08810346699737405,2.1343777560213453,-172.0031206009162,-81.87483791049071,178.5769726436083,
1413394889505,-1.546424,0.037402,1.890832,-168.96838577413828,-86.42742456901604,173.10568574264914,0.528228320774,0.372756773435,0.538026925554,178.87811575889887,-84.81732098974521,2.0858406078743132,-1.5106432866839505,-0.10122157698536696,2.1592166022039168,183.54346434359834,-85.7822517983768,182.74716642258784,
1413394889605,-1.530661,0.027033,1.90932,-176.89786825371047,-83.03099585909887,-179.09105292387846,0.515313198376,0.38387842899,0.556054494324,176.3960349950562,-81.56967932222571,4.228693465898349,-1.4955392189735595,-0.10896754224682653,2.1773094738766128,181.06138357975567,-82.5346101308573,184.89001928061188,
1413394889705,-1.495669,0.017503,1.926855,-178.6618872897331,-75.83926994838382,-177.5062288669916,0.481806133925,0.396263551636,0.573921742253,177.7278720218004,-74.34137940409326,2.66449515059025,-1.4600489059413044,-0.11356296429103309,2.1950484974332927,182.39322060649988,-75.30631021272485,183.3258209653038,
1413394889805,-1.452811,0.007581,1.945143,-178.99859222806398,-68.23328648596963,-177.31713426829006,0.439008572785,0.409526467054,0.592689974623,178.5484979577144,-66.64534543312693,1.632960415460859,-1.4152890864162289,-0.11701782079818321,2.2136066555802922,183.21384654241388,-67.61027624175853,182.2942862301744,
1413394889905,-1.416142,-0.002955,1.965189,-178.60601085062586,-62.36329102370615,-177.9003691196093,0.401816400096,0.423243665932,0.614089775098,179.50636847114552,-60.689178632074785,0.5458158958715714,-1.3758919947989603,-0.12205749744842001,2.2348632203572834,184.171717055845,-61.65410944070638,181.20714171058512,
1413394890005,-1.395279,-0.014505,1.979463,-178.31395871665907,-58.061140480853574,-178.31543128653445,0.378942712487,0.435275667282,0.630054177143,-179.82101916899128,-56.34193666769059,-0.21852047641798722,-1.350877624041058,-0.12861248111510631,2.250805309890673,-175.1556705842918,-57.30686747632218,180.44280533829556,
1413394890105,-1.39559,-0.026816,1.983746,-177.5351018567939,-55.24250114675041,-179.17695736096684,0.377841846203,0.44686606563,0.635907936152,-179.04906315804777,-53.55289395887059,-1.2172051042568357,-1.347293174231509,-0.13958086619294943,2.256860223872142,-174.3837145733483,-54.517824767502184,179.4441207104567,
1413394890205,-1.421978,-0.039127,1.985696,-175.97316677040976,-57.855891284528504,179.19323075227533,0.405080100353,0.458062766489,0.638425384101,-177.8010956806334,-56.09344880748197,-2.9102637261956636,-1.3715005023047326,-0.1562712158095171,2.259870811966504,-173.13574709593394,-57.05837961611356,177.75106208851787,
1413394890305,-1.472043,-0.050058,1.981965,-171.74004358638206,-63.66344466562338,175.03608210815432,0.458245582863,0.466769757354,0.636753296637,-174.52983027202163,-62.19132686923252,-7.18799359939307,-1.421595660406875,-0.17613945792099456,2.2589199244586213,-169.86448168732215,-63.15625767786411,173.47333221532045,
1413394890405,-1.535681,-0.05678,1.971147,-165.02315599785376,-70.37107012408542,168.45285347766824,0.533241421668,0.467657442588,0.628256810222,-169.91727156025493,-69.47408756335302,-17.08118861372334,-1.4947294220361007,-0.19315998267315496,2.2512317028397297,-165.25192297555546,-70.43901837198462,163.58013720099018,
1413394890505,-1.598698,-0.056977,1.955329,-156.10049339776248,-76.60249144246622,159.78743873405995,0.603297155783,0.44970171936,0.613877520607,-165.4486126725579,-76.30730193116844,-25.39539692813431,-1.567092697379371,-0.19084053352191208,2.2372619359807953,-160.78326408785844,-77.27223273980003,155.26592888657922,
1413394890605,-1.648729,-0.048921,1.938469,-146.12987264775484,-81.41335627979485,149.88506038700862,0.654441183032,0.419850207509,0.595914259112,-164.52013976760634,-82.05885324255712,-28.944473932813576,-1.6235393378537086,-0.1729438122261416,2.2192900915402,-159.85479118290687,-83.02378405118871,151.71685188189997,
1413394890705,-1.677894,-0.033342,1.923605,-142.12375352159205,-84.62804346635203,145.89396083015302,0.68062934711,0.388144449584,0.581722892265,-178.39838387877708,-85.39913322642336,-16.118021297291723,-1.6559761829747506,-0.14784139360050458,2.204792175341728,-173.7330352940776,-86.36406403505495,164.5433045174218,
