        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1413394882805,-1.053469,0.427944,1.332831,-175.29286501216728,-74.47952209602175,-179.7412823435179,8.06189576921e-05,0.000214510174503,0.000279685291063,-176.23314708362173,-74.12212272726214,0.170579137279711,-1.0775199095767147,0.364318317326159,1.6091469936386524,-143.7492934367538,70.95600590932408,-139.2211682902702,
1413394882905,-1.054811,0.427514,1.332834,-175.26992991731848,-74.47791148174151,-179.79596695174283,0.000132718008005,0.000485918791743,0.000512005753755,-176.24022612450466,-74.11818541279136,0.17228718789955927,-1.07751145312941,0.364046811693671,1.6093848232540653,-143.75263931218518,70.9517559492104,-139.22943183699647,
1413394883005,-1.055394,0.4272,1.332795,-175.2301709989599,-74.46342903480065,-179.84071754306052,0.000972083777814,0.00102532846402,0.00127995539823,-176.1942096923846,-74.08814471532203,0.18708354415936718,-1.0782115806132457,0.363356625092242,1.6101714033886403,-143.84181395700458,70.93713833772057,-139.2546669757723,
1413394883105,-1.0556,0.427055,1.332795,-175.2120008449204,-74.46274069746,-179.8493073023071,0.00109404369482,0.000984355690467,0.00122600947761,-176.17789411455985,-74.08810060369225,0.19243241830827135,-1.0783398129343142,0.36336956487787486,1.610117997530709,-143.85230726221002,70.94001347047123,-139.24354561021144,
1413394883205,-1.055665,0.427151,1.332809,-175.22188540767922,-74.47623586799114,-179.85358114493928,0.00111693217248,0.00100088807809,0.0013813782622,-176.19000085379446,-74.09806449394927,0.20868157162596876,-1.0783576616538018,0.3633516909197701,1.6102738776330614,-143.82474051219992,70.94542391511088,-139.2128837189901,
1413394883305,-1.055595,0.427246,1.332856,-175.18478247795755,-74.46877349937374,-179.89415865499302,0.00115991722674,0.000870577611469,0.00167863869934,-176.16522412654464,-74.08676466154753,0.20352258092693934,-1.078425558102164,0.363475852906307,1.610569116813199,-143.863048917279,70.94125760343711,-139.23042376391166,
1413394883405,-1.055499,0.427288,1.332923,-175.15186650006734,-74.46309546193217,-179.90870631961747,0.00101405838859,0.000899635117309,0.00143728386918,-176.13636082985968,-74.08853232097327,0.1891170946158724,-1.0782783942757013,0.36347365293909656,1.6103268168716411,-143.877938177907,70.94774724186979,-139.23114530128993,
1413394883505,-1.055372,0.427417,1.332969,-175.17161328792994,-74.46945534147558,-179.89022383157283,0.00102835089618,0.00101209655573,0.00145326932381,-176.13563436926222,-74.0880608781893,0.19323079702343987,-1.0782682728924031,0.36336107693904174,1.6103450264151955,-143.8793410411789,70.94751873475168,-139.22765898767332,
1413394883605,-1.055385,0.427431,1.333094,-175.35125397754385,-74.41401389417267,-179.69855011138796,0.00140342326879,0.00141807403891,0.00178299726163,-176.31331030183074,-74.03841945895137,0.3855207393421307,-1.0785460367382975,0.3628912750193561,1.6106861289169412,-143.8644896767947,70.87808739730109,-139.19218122231263,
1413394883705,-1.055191,0.427347,1.333108,-175.02580224859594,-74.4456907463763,179.99438965746342,0.00192082302774,0.00123340931478,0.0025080580262,-176.09718443554706,-74.04295013736228,0.17761529676809787,-1.079086298180191,0.36297611791730383,1.6114130649115714,-143.99366402598002,70.92010019531799,-139.31435338629768,
1413394883805,-1.055115,0.427204,1.332946,-175.22305800040758,-74.43525544370478,-179.82711834806358,0.00141982538901,0.00116749065257,0.00195086216297,-176.202334221509,-74.03957776733215,0.27418622397097947,-1.0786144335104935,0.3631359612189634,1.6108495003753853,-143.93312924160884,70.89876482580276,-139.26167422972625,
1413394883905,-1.055015,0.427281,1.33284,-175.08207342910785,-74.46166116432846,-179.98127377477442,0.00133593723476,0.000814900394252,0.00192202373917,-176.13193992016082,-74.05431987179267,0.20134935869605278,-1.0786078526043268,0.3634976696687673,1.6108132725354551,-143.94885169884685,70.92253938017905,-139.28168574713635,
1413394884005,-1.054982,0.427284,1.33274,-175.15316389409887,-74.46024953843795,-179.91811558295274,0.00133700620242,0.000908668862056,0.00203897664635,-176.1567434901109,-74.04756031088317,0.23410753466415035,-1.0785881570901072,0.36340821992089967,1.6109319421611816,-143.9464303518368,70.91297291286536,-139.27048806727038,
1413394884105,-1.055117,0.427305,1.332692,-175.1576884425271,-74.45895225509426,-179.91563011213032,0.00117804430425,0.000688293829855,0.00176751280802,-176.13514141527492,-74.05190426240206,0.2112428720615115,-1.0784815765600544,0.3636518522148368,1.610654794995631,-143.9516068169399,70.92013150477258,-139.27747430645644,
1413394884205,-1.05514,0.427362,1.332751,-175.1173981353127,-74.4647499565065,-179.96119160780492,0.0011118459996,0.000739685315765,0.00176354622017,-176.1219170172015,-74.05569786303259,0.20995759152167123,-1.0784059680260691,0.36361567775363385,1.610651081220325,-143.95251668904288,70.92537584536635,-139.26690396328675,
1413394884305,-1.055148,0.427328,1.332832,-175.11381154170516,-74.44091787794623,-179.95325958302442,0.00142527413978,0.00093371931484,0.00226291942259,-176.13027646253045,-74.03100127858349,0.241501322573854,-1.0786676277186753,0.3633694849277671,1.6111572267378453,-143.9962248947572,70.90510353807073,-139.2847034129947,
1413394884405,-1.055112,0.427226,1.332906,-175.08756524927438,-74.44091734735049,-179.96526450125674,0.00159430777148,0.000886821845016,0.00242144623064,-176.1213531014552,-74.02441413911552,0.24447605659213006,-1.0788417634847354,0.36338249232987535,1.6113166319845007,-144.01500250344125,70.90168603216945,-139.29089405026554,
1413394884505,-1.055212,0.427208,1.332975,-175.12304344802462,-74.41189775540751,-179.94385873861302,0.0016267232804,0.000845068160213,0.0022674450172,-176.1658326734018,-74.00875885242492,0.2608344093976459,-1.07888331534089,0.3634132459037636,1.6111622358378606,-144.01754979821902,70.8818264616232,-139.31970269770903,
1413394884605,-1.055172,0.427262,1.33296,-175.11005240904,-74.42808115721729,-179.96996079811555,0.0014432301572,0.000632360539964,0.00188589295785,-176.12239052682511,-74.02096716891575,0.23979252605339213,-1.0787518326971914,0.3636523821162436,1.6107749085624787,-144.02117458729907,70.89887811247435,-139.30240724511432,
1413394884705,-1.055148,0.42732,1.332977,-175.14222311740292,-74.43353780884763,-179.94043980097112,0.00150227688833,0.000721988815148,0.00203562270542,-176.12296272404637,-74.0178992353705,0.2501624802674795,-1.078789454715891,0.36355528707388207,1.6109268818428102,-144.02689106442892,70.89644145263537,-139.2979890780756,
1413394884805,-1.055175,0.427337,1.333035,-175.09286670666535,-74.43374741436521,-179.97490105885947,0.00167887229604,0.00072998020327,0.00224230617056,-176.10792281866011,-74.00984731054504,0.24359779401710693,-1.0789589667342774,0.3635140436554669,1.6111355263038694,-144.05248118586775,70.89300102195321,-139.31427606186443,
1413394884905,-1.055178,0.427569,1.332993,-175.07977077781632,-74.43545209243352,179.9903016690442,0.00157599513612,0.000659540561593,0.00209302397017,-176.09669682197685,-74.01532695393595,0.22814099228534773,-1.0788744285022869,0.36360174382431976,1.6109838932064888,-144.0488080579142,70.8991768925807,-139.3154702272355,
1413394885005,-1.055089,0.427506,1.332872,-175.08643458797272,-74.45765333636183,-179.99939873379262,0.00128998959428,0.000560838665815,0.00176001120235,-176.05017701327571,-74.03783651993514,0.1944990693727928,-1.078618172785916,0.3637523462886823,1.6106461201417255,-144.03389196557058,70.92460864545515,-139.29029253641826,
1413394885105,-1.05509,0.427473,1.332816,-175.04503657309098,-74.45136027315509,179.9702895153498,0.00120077357476,0.000450832268963,0.00137976224103,-176.0292074611438,-74.02547817315661,0.18305298663353714,-1.078556886459231,0.3638710984918097,1.610262985598143,-144.0718701583801,70.91895944618288,-139.317470375678,
1413394885205,-1.055133,0.427373,1.332804,-175.03403155162493,-74.44747706629303,179.9717493325425,0.00145942958956,0.000809391479176,0.00167996989745,-176.02488599352358,-74.02116942708048,0.1880427015740591,-1.078731214247689,0.36347182415532114,1.6105724724388761,-144.08319571876925,70.91645530141187,-139.31902933568017,
1413394885305,-1.055082,0.427361,1.332853,-175.05094719505146,-74.46026220564036,179.97885068137793,0.0018594795664,0.0011837619802,0.00206970084586,-176.04156701123398,-74.02834771635364,0.2171713987276437,-1.0790397398085938,0.36302879160456014,1.6109732437020547,-144.05825799089868,70.91893258148129,-139.28237004956938,
1413394885405,-1.055088,0.427374,1.332915,-175.0305228370547,-74.46691746951852,179.95093861064643,0.00159829067557,0.00108609834539,0.00144547154726,-176.0028909345666,-74.03753193128964,0.1830853278397994,-1.0788093581144282,0.363167182577492,1.6103446005178141,-144.0647500968907,70.93282651019179,-139.2854078339144,
1413394885505,-1.05505,0.427284,1.332853,-174.9793307475797,-74.44242691883694,179.92379062023832,0.00206675298269,0.00148934482139,0.00201316274063,-175.99581788727173,-74.01304003130267,0.2005394736435316,-1.079177432183835,0.3626849762222857,1.6109245457351038,-144.11795797497655,70.9154698971476,-139.31143983974582,
1413394885605,-1.054909,0.427453,1.332864,-175.04211051128507,-74.46783942269322,179.9679222040845,0.0014535073546,0.000669597022815,0.00212848410369,-175.98547850646796,-74.02385375671854,0.22066155840419024,-1.0787523910531591,0.36361874114380055,1.6110182408737181,-144.10309534232815,70.92554151380207,-139.2673318189107,
1413394885705,-1.054887,0.427366,1.332835,-175.01328513505914,-74.45051704375409,179.95786255711317,0.00138061715623,0.000378434381182,0.00185621553438,-175.96280681072844,-74.00549000917026,0.2055343266136085,-1.0787450015578106,0.363913162771686,1.6107398883290431,-144.1541043870135,70.91563214523248,-139.30887095410702,
1413394885805,-1.055007,0.427336,1.332836,-174.98148582808662,-74.45585921794324,179.91547057440422,0.00204562297325,0.00116245626172,0.00250780469579,-175.9449437100074,-74.00947254779848,0.1849685456607982,-1.079223357535567,0.3630188273694757,1.6114128156861909,-144.1576426730568,70.92185659592924,-139.31560885593052,
1413394885905,-1.055242,0.427415,1.332854,-175.0730619564817,-74.43365959562065,179.99162463671215,0.00208535043655,0.00105822482604,0.00250899997836,-176.00386599902214,-73.98568165384756,0.2542729850277728,-1.079284390834943,0.36311220151712253,1.6114125040083251,-144.16706677241257,70.89321470099983,-139.31184916899568,
1413394886005,-1.055475,0.42735,1.332991,-174.9585565143266,-74.42769988176411,179.84457519538108,0.00210861686426,0.000796376551843,0.00287810602834,-175.9184197298697,-73.96969177419672,0.1630276383429968,-1.0793606176457156,0.36337051214980953,1.611776935362424,-144.25359718431375,70.89634000363694,-139.40273170555608,
1413394886105,-1.055797,0.4271,1.333171,-175.04555703718992,-74.41450784812795,179.97372773565624,0.00225584635312,0.000355831349697,0.00305940199898,-175.9658832941744,-73.94300357114233,0.2403682882831313,-1.0795972549934045,0.36377315138386174,1.6119516043046396,-144.27591100790406,70.86751432459299,-139.3920891025647,
1413394886205,-1.055712,0.427117,1.33338,-175.04333130947234,-74.41012170070918,179.95695788559522,0.0023444331072,0.000419163839094,0.00313844075122,-175.97299606571573,-73.90682677732795,0.21583719795014975,-1.0796697937817907,0.36369401349685837,1.6120327280409157,-144.34272099584965,70.83866202124008,-139.48656896060677,
1413394886305,-1.055669,0.427171,1.333364,-175.0795484349256,-74.36932661479285,-179.992340475652,0.00260703219738,0.000369651484399,0.00331465975975,-176.03466655426493,-73.85459598254488,0.2621055131734588,-1.0799357859355723,0.3636899961163072,1.6122107587382075,-144.40561182208157,70.78773056522834,-139.55894398976162,
1413394886405,-1.055526,0.427344,1.333292,-175.10193433591584,-74.2530927626511,-179.9614874422474,0.00273685547268,0.000240519672381,0.00320708168355,-176.12162818357774,-73.730485179908,0.24540133530624453,-1.0800908418850557,0.3637862876714937,1.6121021873833614,-144.59131631411145,70.67710701523399,-139.83445663723563,
1413394886505,-1.055473,0.427214,1.333262,-175.01387770035743,-74.20579992788326,179.96989743017645,0.00386070598501,0.000670959765278,0.00404188843007,-176.04999311201743,-73.67165436498074,0.20944707453485423,-1.0810917177755552,0.3631432800633222,1.6129565933871577,-144.75180931734832,70.64485026904696,-139.95309209646734,
1413394886605,-1.055695,0.427264,1.333517,-174.89937121879439,-74.04305618636846,179.89036182094193,0.00409455084405,0.000350821695815,0.0035272017254,-176.00818357283697,-73.51264605027065,0.17748203478157168,-1.0813917202543082,0.36339572382519064,1.6124385732471835,-145.08474536941114,70.53005375763395,-140.25895909624282,
