        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715529262,0.598429,2.036416,1.158659,179.32270149490003,-69.09272615305012,-27.133917598932598,-0.00658880488218,0.0375298055079,0.0947465914863,178.123096131391,-71.16543500127024,-1.835934974545607,0.5863072874324392,2.1069721501218663,1.271988565584771,-178.44510909168292,-73.60485455170574,-11.830769737843616,
1403715529362,0.61596,2.048048,1.197336,178.91264476688423,-68.32898252235304,-24.478901577275092,-0.0138287650698,0.0441720477922,0.101511459916,179.6856401728762,-68.72115190789862,1.173104215321444,0.5791149266285925,2.113255304701529,1.279136415999278,-178.02649631657863,-71.10593081239651,-7.752618608763009,
1403715529462,0.636248,2.059395,1.228895,178.3098613630861,-68.21002653878502,-21.639891358125407,-0.0224354681323,0.0573702466673,0.0952653141366,168.6815822061161,-69.15257688810453,3.3208211094474933,0.5714752965828572,2.1274895622837415,1.2740076644847493,169.76279308945823,-72.10431564665367,-4.286275972371967,
1403715529562,0.659287,2.07023,1.252363,177.8905278186489,-68.33727456118598,-19.563670539573813,-0.0217664700815,0.0683251452932,0.101611240681,166.87021876098274,-69.16103757881685,5.420919864094162,0.5724103800471649,2.1376641015207016,1.2815131635509658,167.68151161556884,-72.19642687996206,-1.8979002183352935,
1403715529662,0.684245,2.080816,1.268489,177.46899449663476,-68.66337186534132,-17.97456153656011,0.00458648745328,0.0849694372647,0.116374739112,157.77518935438454,-68.35492191771526,6.177158172080189,0.5988791934996567,2.1511918556839262,1.2990024029198224,156.80192576285734,-71.76190489364475,0.7276193429571738,
1403715529762,0.711914,2.092386,1.282884,176.29493516695453,-68.8346756110663,-15.902606114315521,0.0465077459652,0.135224734384,0.154717421079,130.90723703768754,-71.10522656035154,5.9626007249734885,0.6415168925492364,2.1947617626288407,1.3441337433914264,124.60991910221745,-74.98232804988595,6.170059844376972,
1403715529862,0.741538,2.105394,1.300957,176.44922808452458,-69.02896613079211,-15.40103467956747,0.0780387884758,0.156095409199,0.171358392068,128.90250708852042,-69.11005110138666,5.147973772451449,0.6732808616571341,2.2120042549772547,1.3641452487976387,122.19180780952111,-72.98198333569083,5.794620582988797,
1403715529962,0.772285,2.120046,1.323772,177.22630223875433,-69.54301896761987,-15.728510370766282,0.105311523852,0.136053451121,0.174581399617,132.01858793787386,-69.10978025471682,6.616613163245519,0.6993342613459473,2.190265604864529,1.3662716100305572,125.9890302018776,-72.9872758070822,6.543482544318069,
1403715530062,0.803927,2.13547,1.351244,175.62774018594888,-70.53142570336615,-13.957966463508711,0.136052969181,0.136422749511,0.191557899432,130.3167504341273,-69.44763825144624,10.176832911069082,0.7292602428280985,2.1871594257184084,1.384386843168102,123.90843047418176,-73.32382007689516,10.503289125375044,
1403715530162,0.834792,2.153868,1.382883,172.48059409215807,-71.17750246812777,-10.910320805528556,0.173582757867,0.14867273447,0.216256021501,127.22154843525877,-69.16934753643211,13.486342502454994,0.766211497724619,2.1946661314433347,1.4117144580435075,120.14086275115893,-73.03247964698843,14.52362286045621,
1403715530262,0.864036,2.177628,1.422437,170.21910979465449,-70.39589990224768,-8.858016813938708,0.216458210421,0.169031545375,0.250212542268,127.180042993419,-68.17262187761474,13.388520386404213,0.8084890735590418,2.2089584057566176,1.4493198883999605,120.14933488385141,-72.03564296873166,14.379054830194159,
1403715530362,0.893599,2.20816,1.475806,170.39202160102278,-69.77395938820504,-9.158973017540536,0.264717327318,0.202494626633,0.299169016872,128.2530992929897,-67.98456005650091,12.198310906064185,0.8561248005160058,2.234391500217792,1.5034442987895478,121.45095862155718,-71.8536785240256,12.946786317764461,
1403715530462,0.924487,2.245461,1.541009,173.325221403565,-69.57193682972307,-11.751757603750118,0.321656581608,0.25086895696,0.361283800614,130.3436326352979,-68.76715770398187,10.25686138857949,0.9125816905646018,2.2727717852045326,1.5725816560096482,123.95406148952401,-72.64340299586412,10.564798647829683,
1403715530562,0.9568,2.28751,1.608051,174.98674616381686,-69.47801355655938,-12.47123240637946,0.379776635768,0.302977667296,0.424800608205,131.87692707601053,-69.1029458105049,9.756018146054407,0.9703421501102478,2.3146479820995864,1.6435588120647977,125.8163684075909,-72.98049140534157,9.71564479572894,
1403715530662,0.988997,2.332073,1.664157,176.0804850256482,-69.58854890829072,-12.656737989573276,0.431457724959,0.357661826264,0.476536527357,132.8798975244384,-69.47238235386027,10.022136713327168,1.0223384150486399,2.3606725532087593,1.7028548898371185,127.044710276895,-73.34894823100957,9.744210961133133,
1403715530762,1.021135,2.378709,1.708639,177.16671366261502,-69.64195176688264,-12.619907087592054,0.485516983813,0.406131689438,0.514451517621,134.33713870811883,-69.60316696147446,10.234762627670595,1.0770154238906111,2.4018471343322254,1.747847735535867,128.83277192802686,-73.47571394869615,9.608478085450308,
1403715530862,1.054027,2.427734,1.75016,178.14059888525995,-69.62228020093706,-11.73182064744641,0.533216536263,0.454169664998,0.544246777156,136.3917074585651,-69.50962690210828,10.922481210016247,1.1256907686813538,2.4437951577174535,1.7844773142143908,131.34299004583193,-73.37132073988354,9.815462031206742,
1403715530962,1.087424,2.477037,1.790593,178.09185861231893,-69.43304326645998,-10.0049969410938,0.570784300606,0.500328243432,0.566304734858,138.24033988741166,-69.10515222343044,11.97633581699852,1.1645107140129043,2.4852465627892704,1.8128198201161223,133.56566460488784,-72.9520369040979,10.471306407697714,
1403715531062,1.121152,2.525826,1.826511,178.74015563428216,-67.8109025745043,-9.343775093940199,0.596329274214,0.546520103641,0.578833943289,142.8481901523173,-67.84144713705116,9.941669937240675,1.191765749655724,2.5283926287149656,1.831226197199971,138.98102031486528,-71.6313404799462,7.564190044524965,
1403715531162,1.156476,2.574474,1.856772,179.80930598146986,-65.31766659455891,-9.47690927181871,0.624467803799,0.5863470167,0.589466662822,148.17074793697222,-65.87415747619482,6.500154960270868,1.221372360571068,2.565275153869324,1.8471680447725731,144.98615936449607,-69.56482096568591,3.3525948009451527,
1403715531262,1.198487,2.621906,1.885683,-175.5064380590172,-64.61413467037556,-13.194966172710464,0.659667415275,0.624591512557,0.601060342274,154.156854881859,-66.34507482249398,2.439606328296016,1.257900762423549,2.600097270114329,1.8641728556499746,152.05556034653586,-69.87719594436389,-1.866108907401627,
1403715531362,1.24887,2.664049,1.91848,-171.40016805435025,-66.41351536288151,-16.623297063845495,0.713906157196,0.654227815115,0.617576029094,156.36581909432252,-68.65160452481418,1.8274693969464235,1.3127686571950843,2.624808208427734,1.8858938850139184,155.2331747908436,-72.10553913646085,-3.441990238148134,
1403715531462,1.302495,2.698842,1.94814,-170.12138044284072,-68.06114332906338,-17.583594252938813,0.773122107972,0.676897898707,0.632691999922,155.63607104430804,-70.25897552685825,3.6105726817243045,1.3723136168783185,2.642475348249085,1.9056732691626148,154.8844407017922,-73.72993420993915,-2.008907472861256,
1403715531562,1.355882,2.726861,1.963992,-169.91291797969302,-68.98391906285701,-17.618811108393405,0.835291517709,0.692989202714,0.636498884053,154.71163998892396,-71.08495421007068,5.180179134338193,1.434981887722495,2.6546351978598963,1.9136283823185007,154.0677548017551,-74.58206801279918,-0.5259734692648834,
1403715531662,1.408177,2.750171,1.966657,-168.79708250909815,-68.88552597617219,-18.550750634880774,0.910229777286,0.719611650205,0.645299684027,155.7092330167583,-71.47219388147238,4.152477251991516,1.5106968241894048,2.676025495785167,1.9281767530005796,155.4304877292513,-74.93440869417172,-1.9236662787783065,
