        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403636860701,4.638162,-1.815817,0.689073,-174.1227749040713,-61.351910012813015,155.49179674181,-0.000249110180717,-0.0953701318644,0.10959948092,-175.43820226313338,-61.73691689089518,0.6299124423454632,4.6318326940086365,-1.816705325200881,0.6885142474958496,-174.1227749040713,-61.351910012813015,155.49179674181,
1403636860901,4.642317,-1.815358,0.699657,-176.98092428334186,-61.54738908002852,158.950989984837,-0.00642761263265,-0.0973780087234,0.121471836411,-178.81858574388158,-61.431161997702986,3.916647767346768,4.638451001562597,-1.8174902980524656,0.7002930466569522,-177.5031583848195,-61.04615511962082,158.7785320668113,
1403636861001,4.640542,-1.813174,0.742714,-177.57353000735054,-62.01454423928027,159.90196441301364,-0.00501624231341,-0.09789644715,0.165210330986,-179.48967568868449,-61.78976273572671,4.855381569622114,4.638049037396833,-1.8162243680603716,0.744037217678153,-178.1742483296224,-61.404755857644545,159.71726586908665,
1403636861101,4.63603,-1.809537,0.800072,-177.58145972267323,-63.62989648480239,159.9244246758895,-0.000739260875226,-0.0983839463373,0.223380282709,-179.58767513777906,-63.406659938130474,4.994565992506583,4.635260150027446,-1.813693553035228,0.802244524708162,-178.27224777871697,-63.02165306004831,159.8564502919711,
1403636861201,4.629793,-1.804637,0.862069,-177.708749745585,-66.2027705887377,159.97042354501232,0.00595640218786,-0.0989444436381,0.287136103075,-179.69647562114514,-65.9834941592777,5.308592807564851,4.630401052747021,-1.8100345687149166,0.8660642058338409,-178.38104826208306,-65.59848728119553,160.17047710702937,
1403636861301,4.624456,-1.799716,0.923626,-177.38962345851965,-69.02082513064431,159.65647980030712,0.0117559685551,-0.0998613045607,0.349344124463,-179.56248777158143,-68.76646886562474,5.300627818826985,4.626481161470339,-1.8064449436181051,0.9283222380309208,-178.24706041251935,-68.38146198754258,160.16251211829152,
1403636861401,4.628783,-1.798197,0.979424,-176.3280801853768,-71.2655840592597,158.36650941945496,0.0101477697803,-0.102747220025,0.407902550628,-178.83444375023257,-71.00022135502668,4.353632476609382,4.630042387909435,-1.8042709306413551,0.9868251902650989,-177.51901639117048,-70.61521447694452,159.2155167760739,
1403636861501,4.627604,-1.794285,1.005275,-175.85284676810136,-72.64696209620514,157.59811251816714,0.0197338635995,-0.103112018639,0.422037448799,-178.68038403103654,-72.40939677255528,3.9006815286060723,4.621750762502089,-1.7997665697904084,1.001065320196828,-177.36495667197445,-72.02438989447312,158.7625658280706,
1403636861701,4.626201,-1.790791,0.958711,-175.95110444252478,-71.2621683908227,157.66438785616978,0.0195636569178,-0.11103201998,0.377032736712,-178.72301800947696,-71.17467645309135,3.8719419204000682,4.624632376394768,-1.7928833064624699,0.9559821028213845,-177.40759065041487,-70.78966957500919,158.7338262198646,
1403636861801,4.626909,-1.792359,0.905987,-176.67753466438253,-69.90859215360837,158.5622683637652,0.0216337471668,-0.105751152643,0.322507821931,-179.3862183104354,-69.8621348098197,4.651315112295768,4.619686673526827,-1.7970047422671134,0.9015422924304992,-178.0707909513733,-69.47712793173753,159.5131994117603,
1403636861901,4.628704,-1.796927,0.848892,-176.1004891091346,-68.32092094681575,158.44213632852762,0.0116143777164,-0.106708558465,0.267546766752,-178.59429472653454,-68.26647142709614,4.366003890746419,4.628329653520494,-1.8006799939381963,0.8464622289005432,-177.27886736747246,-67.88146454901397,159.22788819021093,
1403636862001,4.630693,-1.803164,0.791048,-175.11283243110287,-65.92167272617395,157.7847511125676,0.00755111769554,-0.103042889546,0.206720505572,-177.31251934179045,-65.87119905496056,3.490250368930936,4.629522784374759,-1.8060015516524586,0.7856342853053764,-175.99709198272836,-65.48619217687839,158.35213466839545,
1403636862101,4.633934,-1.809455,0.73636,-174.10894173308262,-63.960987693736556,156.92397950413923,0.00385394376443,-0.0977800715329,0.154465009384,-175.99987722032134,-63.93061606501046,2.483299036357898,4.629827647770379,-1.812571069942242,0.733396830178617,-174.68444986125925,-63.545609186928296,157.3451833358224,
1403636862201,4.635776,-1.814168,0.698114,-173.64146886956343,-62.92495498594964,156.82309479507379,-0.00221934368038,-0.0962636122316,0.115569314748,-175.38047088163898,-62.99007509802123,2.3282444809389133,4.63408425637268,-1.8167173411563238,0.6944513651198602,-174.0650435225769,-62.605068219939064,157.19012878040343,
1403636862301,4.637736,-1.81545,0.685514,-175.50825134987568,-62.15007893943027,158.74085459403182,-0.012936354063,-0.096935899983,0.107394928576,-177.1698939953031,-62.230570368733,4.196166874179231,4.643930819582202,-1.8207439471202596,0.6861472390958322,-175.85446663624103,-61.84556349065083,159.05805117364375,
1403636862401,4.63762,-1.814467,0.705423,-176.20065311335406,-61.46470036351518,159.62142902323282,-0.00522104777054,-0.0981573780412,0.122575560791,-177.84855948758158,-61.56962728913047,5.004784843505094,4.637711924590706,-1.8162638057750917,0.7014025081164788,-176.5331321285195,-61.18462041104831,159.8666691429696,
1403636862501,4.635914,-1.811737,0.75248,-176.49166625216597,-61.93332764713797,159.86652842829267,-0.00350231959696,-0.0997236341201,0.169323358596,-178.152592643086,-62.01138706423178,5.258534582447516,4.637526543915313,-1.8139063209975093,0.7481483280770398,-176.8371652840239,-61.62638018614962,160.12041888191203,
1403636862601,4.631163,-1.804926,0.813834,-178.66157702095649,-63.29618198309044,160.96623725848877,0.00227416381074,-0.103458496922,0.230264373765,179.58943694304972,-63.31490773266916,6.4129273107539335,4.63481739100017,-1.8077867264632976,0.8091100811994358,180.9048643021118,-62.929900854587,161.27481161021845,
