        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403636859701,4.614772,-1.828672,0.816032,-175.61166586118196,-70.10370611916873,158.29279169811738,0.0142114426314,-0.0711518062068,0.234993422629,-177.68461321742015,-70.79375050418095,4.303382535977225,4.610248422462978,-1.831826362081131,0.8143107059838336,127.40475704755949,58.444027454069676,129.20884978367582,
1403636859801,4.610965,-1.825128,0.863199,-178.01594681888108,-71.42623021413937,159.9129542894962,0.0172083488885,-0.0722665380813,0.278780958852,179.90783019451305,-72.33640472342071,6.267371734849065,4.608670878018357,-1.8293413489824848,0.8581160534447454,125.69056353584968,59.92309209671125,127.41626635973844,
1403636859901,4.609292,-1.823567,0.906944,179.5351540093922,-72.1706218446726,161.7924177470485,0.0174806499001,-0.0732047173724,0.319000737898,177.58238685627921,-73.25052133868606,8.325339379767735,4.609425451426995,-1.8282004312861935,0.8983244341695831,124.76965958931325,60.97295114065433,126.45162933226293,
1403636860001,4.610414,-1.822605,0.940993,179.04682210951862,-72.39519274044954,161.92627597187087,0.0173847494256,-0.0754155802179,0.351110297021,178.07963648799486,-73.52638342892911,8.489505164427925,4.610937878037547,-1.826103520202586,0.9304061490263547,124.13011047693278,60.97740465205889,126.53306440271987,
1403636860101,4.61224,-1.818754,0.951655,179.42405733263217,-71.9999031295135,161.09190736367657,0.0198806204139,-0.0805311945076,0.36286603735,179.66611670258953,-73.13254885034321,7.561659369076139,4.611052640330558,-1.8203602525147862,0.9421363671878584,124.38471784418464,60.38863427146405,127.34703760799155,
1403636860201,4.614639,-1.814363,0.929578,-179.59433408835721,-71.15183565792637,160.0289171409399,0.0228230802521,-0.0880918712966,0.344868838418,-177.61959342757478,-72.16074970420222,6.308576124627528,4.611370349414348,-1.8123474949382534,0.9240970809003435,125.19329412070151,59.19125111213046,129.38363723640782,
1403636860301,4.618533,-1.813117,0.881456,-177.52574989122695,-69.58907124299691,158.21661340779053,0.0222853745531,-0.0915495134868,0.297436031359,-174.95114446904947,-70.52216540857519,4.487532637608739,4.6126337373441055,-1.8096633148635557,0.8766279895808748,126.81677778918575,57.55175437198633,131.47360800515776,
1403636860401,4.623504,-1.812416,0.822097,-176.44046623793415,-67.09614103467007,157.0040041984122,0.0197621267986,-0.0936302524079,0.239102699581,-173.73437705327225,-67.88122119262866,3.529393370520077,4.614937796967127,-1.8091226038674915,0.8182510010418718,130.05316818792534,55.55627818620345,134.3543448444309,
1403636860501,4.629125,-1.81338,0.765,-175.4323328641002,-64.37504677143355,155.93630211689253,0.0145364705668,-0.0950718997136,0.182386202853,-173.0810234141538,-65.17853887651047,2.6346989433369346,4.6194326278167495,-1.8103114942433451,0.7614660570301736,133.19145855133826,53.540935820760836,136.6162048471449,
1403636860601,4.634025,-1.814767,0.71997,-174.47831154856547,-62.22645770473472,155.25531314346122,0.00912221595976,-0.0960056293897,0.137073972773,-172.7606316833278,-62.99771804435082,1.863812362400852,4.624049533107781,-1.8119900000861795,0.7160870861014497,135.57045858147723,51.897733520720436,138.0267646793077,
1403636860701,4.638162,-1.815817,0.689073,-174.1227749040713,-61.35196743785242,155.49179674181,0.00319507168524,-0.0973446851411,0.107444618799,-173.16299622554845,-62.01454935316717,1.8333887893101914,4.629536763599663,-1.8134535482549785,0.6863789886403282,136.87713676211212,51.31245321949642,138.6635438289709,
1403636860801,4.641532,-1.816127,0.681114,-175.69186342651332,-61.41865510767439,157.31317162479843,-0.00106540574824,-0.0987567396806,0.0998533672192,-175.3298821613526,-61.837071329020475,3.419211644264651,4.633877674660422,-1.8140393044478618,0.67872483634392,138.2632846966504,51.88694552372092,139.42373069061938,
1403636860901,4.642317,-1.815358,0.699657,-176.98092428334186,-61.547557743592385,158.950989984837,-0.00337973068804,-0.0998878080306,0.119664000284,-177.04894435263887,-61.62806569630719,4.855935703073434,4.6367477596592135,-1.8139235474053463,0.6984946570404849,139.44948547189074,52.305782426140034,140.28235319069412,
1403636861001,4.640542,-1.813174,0.742714,-177.57353000735054,-62.01504923095983,159.90196441301364,-0.00204145826785,-0.100844471248,0.163853368833,-177.73713167080123,-61.9767716451823,5.760314794240974,4.636606492084617,-1.8122911599562326,0.742684269225136,139.4236788135545,52.78231725438517,140.55972621105724,
1403636861101,4.63603,-1.809537,0.800072,-177.58145972267323,-63.63160330756126,159.9244246758895,0.00211748387703,-0.101963728217,0.222289968395,-177.84694249293838,-63.49639738490338,5.73207505863653,4.634199165893546,-1.8092391640324876,0.8011502918860618,137.65311725862847,53.87498550529634,139.0136390065286,
1403636861201,4.629793,-1.804637,0.862069,-177.708749745585,-66.2080385237787,159.97042354501232,0.00777570672653,-0.10367887264,0.285378566302,-178.0532140870685,-66.03722096545808,5.784706435084559,4.630762442382094,-1.8049852408829594,0.8642789023683242,134.47700670898806,55.63759783841662,136.28516212743222,
1403636861301,4.624456,-1.799716,0.923626,-177.38962345851965,-69.03131986753915,159.65647980030712,0.0123630516249,-0.106002587605,0.347854076644,-177.753882284754,-68.8730961807475,5.522110065992327,4.628544869430149,-1.8006437457771047,0.9267758348322234,130.34999374207965,57.33079063868164,132.85744918921523,
1403636861401,4.628783,-1.798197,0.979424,-176.3280801853768,-71.26786925778069,158.36650941945496,0.0156321253888,-0.109046325127,0.398934269255,-176.80614604802147,-71.13124001700075,4.321957974955318,4.62765735992589,-1.7962675049119607,0.9778561451418095,126.56300038904058,58.40258366789871,129.34072044188346,
1403636861501,4.627604,-1.794285,1.005275,-175.85284676810136,-72.64712741931886,157.59811251816714,0.0177699717025,-0.111985892932,0.423687531124,-176.53871623737993,-72.53224757779716,3.6840294895543106,4.62735540431954,-1.7925863277513485,1.0026007036632394,124.23698977777339,59.12020651521475,126.96802159719071,
1403636861601,4.626729,-1.791286,0.996793,-176.18382325329722,-72.51144666483465,157.69147544702162,0.0189209356624,-0.114294902661,0.41508483351,-176.99209455270486,-72.36218200750609,3.8517759196386776,4.6271783152370585,-1.7900446332747653,0.9939884403806811,124.6602986672858,59.14131000835005,127.06684213741163,
1403636861701,4.626201,-1.790791,0.958711,-175.95110444252478,-71.26331874188628,157.66438785616978,0.0198945458542,-0.115143200979,0.377108290424,-176.62888683815177,-71.0257597907895,3.7658782634421044,4.626098053162955,-1.7890274744534906,0.9560189292778467,126.66430829883674,58.29486210063171,129.0385607785935,
1403636861801,4.626909,-1.792359,0.905987,-176.67753466438253,-69.9108827545626,158.5622683637652,0.0187624369795,-0.114503546526,0.323781420747,-177.20003991692522,-69.63944379007924,4.581362479899093,4.62605320312628,-1.7903251978868866,0.9026920152452891,128.99201623298086,57.63561681919703,131.2895404482832,
1403636861901,4.628704,-1.796927,0.848892,-176.1004891091346,-68.32453127509017,158.44213632852762,0.0147193276538,-0.111778905162,0.266022590138,-176.58846677885427,-68.03941835351655,4.453132958488133,4.627677385833145,-1.794774628311472,0.8449216290917186,131.06572040501476,56.479094943162394,133.4721326852348,
1403636862001,4.630693,-1.803164,0.791048,-175.11283243110287,-65.92783784164598,157.7847511125676,0.00986797193611,-0.107588832091,0.207519783379,-175.55731167120462,-65.64214633339687,3.779814898741475,4.62939195424246,-1.8008977833955147,0.7864131853394932,133.81480564238026,54.60993077129338,136.01432896149572,
1403636862101,4.633934,-1.809455,0.73636,-174.10894173308262,-63.96118051600124,156.92397950413923,0.00498440462559,-0.102329186304,0.154550438967,-174.47999893843559,-63.67420327419651,2.9187077144868923,4.630759130315173,-1.8079765750726449,0.7334482338253441,135.69373711685904,52.92105602111331,137.64278050479328,
1403636862201,4.635776,-1.814168,0.698114,-173.64146886956343,-62.925070942638854,156.82309479507379,0.00114462183006,-0.0990484466888,0.11603794753,-174.02081720232184,-62.684772802239394,2.8181090123085872,4.63224734775897,-1.8127565479593772,0.6949299751800383,136.59531130968497,52.07214808350212,138.6672419285895,
1403636862301,4.637736,-1.81545,0.685514,-175.50825134987568,-62.15025134338182,158.74085459403182,-0.00139257602469,-0.0988013923789,0.103221625428,-175.85293112875675,-61.91690846332096,4.707411788316756,4.6342424215817095,-1.8141245437218818,0.6820884492175995,138.46031303729433,52.115956316354506,140.40589733232093,
1403636862401,4.63762,-1.814467,0.705423,-176.20065311335406,-61.465139371744414,159.62142902323282,-0.00127786214343,-0.0992456602336,0.123427732122,-176.50531088422449,-61.208828183619104,5.552483858732782,4.634629854131279,-1.8135852802771646,0.70228885445827,139.6225286129294,51.82403462615125,141.5927717557643,
1403636862501,4.635914,-1.811737,0.75248,-176.49166625216597,-61.93397318357508,159.86652842829267,0.00109037288296,-0.100269663358,0.170929789933,-176.72348900291198,-61.6469741275448,5.7872174901991835,4.633636456431564,-1.8114356268385527,0.7498019554612845,139.24770615760826,52.210881447710875,141.3404599156186,
1403636862601,4.631163,-1.804926,0.813834,-178.66157702095649,-63.298488736277314,160.96623725848877,0.00780106743641,-0.103591128411,0.232932087559,-178.84910394023166,-62.97857678051945,6.869762076697117,4.629921973292571,-1.805283975220248,0.8118399297977201,138.81691109253143,53.84823444511463,140.19638697914905,
1403636862701,4.625753,-1.799112,0.881327,179.70483477117247,-65.00457657671029,161.70012373116816,0.0145315481339,-0.105634735646,0.301017367656,179.60246352456656,-64.66329147687486,7.616256343780707,4.625731964440269,-1.8002513770154862,0.8799736061110107,137.44629184043444,55.48421577595704,138.43484225959855,
1403636862801,4.62046,-1.795582,0.949483,-178.96908583790224,-66.098430101638,159.90762823078364,0.020255852231,-0.10591730139,0.369839235569,-179.07814032714828,-65.735460592506,5.844076778242675,4.621706335550581,-1.7972379369949407,0.9488503837295613,135.36635846439944,55.76090818381239,136.1437277048624,
1403636862901,4.617215,-1.792812,1.013461,-176.89610658215778,-66.80209349163704,157.35469824766292,0.0234746148921,-0.106448782369,0.43450346477,-177.03794671867286,-66.43426008022968,3.320448911314875,4.619988687594924,-1.795092881875383,1.0135385114447262,133.47196063372533,55.58484189573456,133.92070308158998,
1403636863001,4.621799,-1.796206,1.058924,-175.0526825396387,-67.91286878549283,155.5788451429253,0.0227645308279,-0.106987366967,0.478977938195,-175.28779203801253,-67.5832746671096,1.5882905883716427,4.621522437573308,-1.7947156982948744,1.0579938645839027,131.13350527918223,55.809845550655744,131.86795358263,
1403636863101,4.623306,-1.79436,1.068581,-177.2923266439855,-69.16773419651453,157.68287025685657,0.0213621301744,-0.108941888494,0.487935170768,-177.5773534896172,-68.90788039781695,3.702348068641491,4.623760664911061,-1.793512558484259,1.066913600585596,130.22734492914728,57.301371866363745,131.09914092104842,
1403636863201,4.624184,-1.793525,1.043863,179.50988489478468,-69.64553660044669,160.6636422257665,0.0195004946104,-0.109749279927,0.461739801421,179.0603439067461,-69.49042283824969,6.727290643497376,4.625398888066032,-1.7936970217214314,1.0406915270342225,130.66246564293374,58.6094789652368,131.34962836045102,
1403636863301,4.624419,-1.794742,0.992567,177.35014761083306,-69.32063490222953,162.64193723497115,0.0181796368228,-0.108945850677,0.409674108675,176.8809166701975,-69.18349897013293,8.69708467689925,4.625473025364932,-1.7952181196068657,0.9886251531460829,131.98796523355043,59.07342081326731,132.4144599943636,
1403636863401,4.625146,-1.795897,0.92905,175.9801419812784,-68.84565509517293,163.49307054867305,0.0174575445892,-0.108935533041,0.345693816517,175.6589036765532,-68.70624116490177,9.49509554272686,4.625169359022966,-1.795818258439877,0.9246443206381798,133.23625242214862,59.1740746186172,133.14341849150682,
1403636863501,4.627184,-1.798257,0.860584,177.09955425661332,-67.9449376763277,162.02171987559566,0.0148980977396,-0.108394864382,0.276589867655,176.89209789093744,-67.83648392716717,8.006002722881322,4.6262215399064415,-1.7977082438366307,0.8555247162579087,134.11630054783845,58.304420199744555,133.55224113984104,
1403636863601,4.631419,-1.802784,0.793104,-179.30884255573469,-66.3766208934561,159.18561589837145,0.00916093822961,-0.107220205371,0.208618524363,-179.47525385742753,-66.31066951657431,5.153909201556764,4.629888780760308,-1.8015292713751707,0.7875074432677075,134.76172687050823,56.2534897872231,134.5893981904723,
1403636863701,4.637223,-1.805265,0.73251,-176.63072053153948,-64.55522008743452,157.1236883698809,0.00329265845347,-0.106924643394,0.14991379462,-176.68591543464316,-64.5471867541255,3.0617820172070638,4.634189327061713,-1.8045717841926172,0.728745059246319,135.75377803740633,54.220364149666814,135.8495327772953,
1403636863801,4.640755,-1.806875,0.694019,-175.40840321196953,-62.835891125610914,156.0028620210582,-0.000243437689347,-0.107541033452,0.111992035594,-175.4844125117179,-62.846900596532194,1.9172347625265418,4.637083638489896,-1.8056986807485822,0.6907806445166053,137.1904513047056,52.657649068741264,136.93631349629015,
1403636863901,4.643955,-1.80712,0.68861,-175.55033433373382,-61.60290856529624,156.31813049735302,-0.00311216898911,-0.109219934554,0.107120277654,-175.7041122271283,-61.61364049672747,2.1810488629307536,4.640322404757857,-1.805434349003628,0.68585897047248,138.7211400014231,51.8492691980324,138.2161332518571,
1403636864001,4.645099,-1.805807,0.720157,-175.41030931928114,-61.364008342042204,156.6418836856193,-0.00368749519796,-0.110827548742,0.138754709254,-175.59167869522815,-61.350111758114004,2.4773613635157483,4.642002037395537,-1.804090115820446,0.7174663202131781,138.95326388450235,51.62197128881612,138.79349275486976,
1403636864101,4.644357,-1.803665,0.779092,-176.36006293280954,-62.17442879352069,157.85971122752952,-0.00237502329924,-0.11200450172,0.198021447582,-176.60837611185548,-62.142345676124755,3.658506110258714,4.64220277667996,-1.8022035914477166,0.776728912144073,138.61438682768588,52.525210221568635,138.8117280599505,
1403636864201,4.641219,-1.800086,0.851183,-178.3888989145884,-63.21813799307822,159.35644777244076,0.00146408291606,-0.113111059118,0.270895349556,-178.6904846239578,-63.157938997360176,5.127509757288236,4.640293579412189,-1.7992368752223464,0.849626939246008,138.5118046977975,53.91887760069538,138.3490798602181,
1403636864301,4.636454,-1.798673,0.920787,-178.67542517212297,-63.89146211929399,159.50729570435288,0.00566470848263,-0.11159614455,0.341361892459,-179.00131941459222,-63.80529574968415,5.26012127547137,4.6368976199815695,-1.7984935452701691,0.9201491967972732,137.86147376519375,54.46067933776287,137.67615473301794,
1403636864401,4.632069,-1.798726,0.981839,-177.93243854938245,-64.75412830620803,158.6887730243435,0.00887235464934,-0.109106252992,0.403204499868,-178.30505790477386,-64.65184679910719,4.440567782179988,4.633852089330752,-1.7990947907115147,0.9820471765059788,136.42611825087994,54.80427291593744,136.31313309847988,
1403636864501,4.630243,-1.800023,1.034793,-176.3332190723685,-66.84857047682233,156.56084383305537,0.0120385573676,-0.107417437115,0.454786589384,-176.81282726855923,-66.74402568153369,2.3494554754150294,4.631035014758058,-1.7990352898031206,1.0336771043390676,132.95148909825264,55.71794701079793,132.7265850036494,
1403636864601,4.626264,-1.800529,1.064615,-173.96138435612363,-69.1709711514731,154.03742851087281,0.0151665106462,-0.104529173502,0.483567082245,-174.5177971531847,-69.08723094684949,-0.09629552516738803,4.6273989257895245,-1.8001757835194558,1.0625201461139786,128.72674003712692,56.55047683331784,128.89937926831178,
1403636864701,4.625174,-1.800089,1.061938,-175.92131636149134,-70.30582157167417,155.77373600784168,0.0157858400083,-0.104473670548,0.479939661719,-176.4936290565506,-70.21807512484294,1.6843536165392183,4.6267617885770695,-1.7999761370865925,1.0589008883746822,127.85163413865543,57.78553589078571,128.09200534978314,
1403636864801,4.625575,-1.800157,1.027695,-178.51169529597308,-69.78963999521952,158.32234976014777,0.0155640419853,-0.105000437241,0.444737536527,-179.00450695821857,-69.68838104645288,4.206889124540607,4.626664579330161,-1.799750095718225,1.0236949833130704,129.61340068543512,58.17097984947369,129.7494696197509,
1403636864901,4.625808,-1.801982,0.973576,-179.05539850638132,-68.72978887470492,158.7802664563266,0.0153484193827,-0.104185854268,0.389898859883,-179.36870918025244,-68.60059721571021,4.604873361741233,4.625694431331439,-1.8008192643743433,0.9688688382193544,131.4107116038642,57.63420854728658,131.3297349248539,
1403636865001,4.62618,-1.80238,0.91293,179.45461259614808,-67.46148363668257,159.6671844112815,0.0150378354623,-0.104559114345,0.328813352506,179.19394702768417,-67.31531594819681,5.464344156714937,4.625226661563427,-1.8008836603207599,0.9077832258252037,133.92136131479137,57.28872816628207,132.97348600012793,
1403636865101,4.625654,-1.801612,0.850895,179.53062350881183,-65.979865059901,159.49219684842558,0.0151613198244,-0.104770041789,0.266976909839,179.4016489787165,-65.82953330459313,5.255321723669385,4.624286038334705,-1.8009117558172356,0.8459534609941113,135.95222423746904,56.299929001542374,134.65441947434678,
1403636865201,4.62516,-1.80349,0.79536,-175.6971678853433,-64.84459318478646,155.25127559019762,0.0143387478167,-0.103803046862,0.211736571163,-175.8176212900332,-64.71025942078907,1.0239566766830897,4.623792748341071,-1.8023807610483318,0.7907202697994222,135.11743423378718,54.0589705799973,134.08053282799037,
1403636865301,4.625906,-1.805338,0.752092,-171.9236762037343,-64.18281802400524,152.12322715263903,0.0131015071405,-0.102888883083,0.16919294523,-171.97869002103775,-64.06248739446174,-2.093019576863519,4.623885465639939,-1.8039241851328418,0.7481769293918972,133.95424761196477,52.41941391107828,133.49354906809467,
1403636865401,4.626396,-1.805835,0.724771,-172.1092325622372,-63.97592067320686,152.21081164585894,0.0124155933082,-0.102828294071,0.142512889087,-172.14567011213413,-63.837785687783544,-1.991828374624323,4.624082247730376,-1.8043903795825593,0.721492786457351,134.2973624474864,52.310003191635126,133.716440766779,
1403636865501,4.626216,-1.80592,0.718216,-174.7076678739425,-63.09651058070435,154.7185518920326,0.0123421588293,-0.10291370622,0.136628157242,-174.804519462071,-62.94078099496724,0.4889411244720432,4.62409769951696,-1.8043705817718583,0.7156070302583204,136.72011115002013,52.505651430018204,135.73968304743997,
1403636865601,4.625038,-1.806422,0.739837,-176.2129340458123,-61.92331188055766,156.4795921195422,0.0132301808561,-0.101334144139,0.159322916164,-176.25473010651226,-61.72361337061279,2.2176023173318704,4.622955592217689,-1.805316692018585,0.7383256602419596,138.90127884005975,52.11015965997336,137.9099345586312,
1403636865701,4.623387,-1.809705,0.785906,-175.72535369122932,-62.025186915248305,156.57492471249148,0.0135020830206,-0.0972803109857,0.206574762044,-175.730872786076,-61.80614545571136,2.276253871842234,4.62167386545973,-1.8086542316469887,0.7856169114290015,138.51886630408427,51.99643355749506,138.12854775482737,
1403636865801,4.62043,-1.811956,0.846423,-174.95753493821613,-63.47781002993613,155.95296510053606,0.0154934422671,-0.0936007093954,0.268188594217,-174.9264603708726,-63.23714925480077,1.6454464092197973,4.619213195928448,-1.8108529490267964,0.847284407258621,136.43974796811105,52.754494743130216,136.56463733852388,
1403636865901,4.616975,-1.811858,0.913432,-173.74663261557765,-65.57186397402641,154.69866960439637,0.0188139633395,-0.0918855532801,0.336374975665,-173.74307517424322,-65.32233218606268,0.3994641193484138,4.616492361483303,-1.8106781027577508,0.9155186854798243,133.33964399273725,53.8406004848634,133.89914161686005,
