time,ins1000_lon,ins1000_lat,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_vel_x,align_vel_y,align_vel_z,algo_lon,algo_lat,algo_alt
1571103792,120.4017507,31.50769096,729.9711493,-0.810586738,-0.464869824,7.319657441,0,0,0,1.040842725,-0.008329299,0.042759955,0.357175304,-3.291287328,-0.62203919,1.243045144,-0.010370459,-0.040790147,1.040842725,-0.008329299,0.042759955,-0.810586738,0.464869824,-6.695391818,1.774533723,0.004817269,-0.023137392,120.4017507,31.50769096,12.74040001
1571103792,120.401751,31.50769326,729.7534253,-0.755222925,-0.490818839,7.411091029,0.255020443,0.034198102,0.003800005,1.321850707,-0.013492471,0.048770357,0.352059799,-3.318895569,-0.707752384,1.412521371,-0.016346533,-0.031777888,1.296220629,-0.039746854,0.03895995,-0.755222925,0.490818839,-6.786825407,1.892300697,-0.032666661,-0.011221926,120.4017508,31.50769349,12.74641041
1571103792,120.4017514,31.50769551,729.5013239,-0.617683055,-0.487746527,7.502713127,0.504496963,0.072195992,0.00820002,1.523998404,-0.018755505,0.061429822,0.415622821,-3.669551121,-0.777765487,1.486541024,-0.048796781,-0.045195017,1.546096339,-0.075024373,0.034559935,-0.617683055,0.487746527,-6.878447504,1.995820982,-0.024104923,-0.022072148,120.4017508,31.50769532,12.75906989
1571103793,120.4017502,31.50769969,727.816828,-0.642212699,-0.679132464,5.747501575,0.967968894,-0.04844731,0.037600074,1.856826483,-0.025206306,0.069318836,0.489219071,-3.576200293,-0.910288005,1.679750747,0.000259391,-0.058148746,2.008226319,0.050661422,0.005159882,-0.642212699,0.679132464,-5.123235953,2.092847717,0.066076561,-0.006854198,120.401751,31.50769832,12.76695894
1571103793,120.4017504,31.50770219,727.6277519,-0.876145158,-0.758708821,5.818165557,1.245165025,-0.031348258,0.040900122,2.117837204,-0.023749333,0.086246832,0.203075305,-3.835157819,-0.983774797,1.763472142,0.04219146,-0.053108473,2.285592295,0.036583513,0.001859833,-0.876145158,0.758708821,-5.193899934,2.155546064,0.087346827,0.007479871,120.401751,31.50770067,12.78388697
1571103793,120.4017506,31.50770474,727.3985688,-1.082077763,-0.736100275,5.88856959,1.52790508,-0.012349314,0.044900183,2.419699322,-0.02222815,0.105114387,-0.090029191,-3.998856785,-1.049928433,1.859216387,0.015726765,-0.024033052,2.568522566,0.020666228,-0.002140227,-1.082077763,0.736100275,-5.264303967,2.214406334,0.060213983,-0.006916253,120.401751,31.50770339,12.80275459
1571103793,120.4017508,31.50770759,727.0719829,-1.14888715,-0.685907597,5.98005128,1.843908669,0.014249208,0.050600268,2.74381803,-0.024896844,0.122540165,-0.181547242,-4.114479055,-1.145014099,1.99822323,0.01357937,-0.046970859,2.884797197,-0.002487769,-0.007840312,-1.14888715,0.685907597,-5.355785658,2.308938179,0.026304858,-0.017336902,120.401751,31.50770632,12.82018044
1571103793,120.4017512,31.50771034,726.7740448,-0.973991013,-0.625636508,6.047154189,2.148824413,0.046547409,0.055800364,3.086637973,-0.028241553,0.141501105,-0.121525284,-4.248655095,-1.218866611,2.143967846,-0.022242807,-0.050542243,3.190046741,-0.031461913,-0.013040409,-0.973991013,0.625636508,-5.422888567,2.403929695,-0.027907854,-0.013928218,120.4017511,31.50770941,12.83914149
1571103793,120.4017516,31.5077132,726.4474589,-0.7814289,-0.657901786,6.172809372,2.465936787,0.083595344,0.061500481,3.325054602,-0.037895547,0.158703454,0.107693543,-4.461960089,-1.318364186,2.17541694,-0.039981509,-0.083871192,3.50754394,-0.065052623,-0.018740525,-0.7814289,0.657901786,-5.548543749,2.504070702,-0.008216544,-0.023763336,120.4017513,31.50771156,12.85634392
1571103793,120.401752,31.5077164,725.9776335,-0.652925827,-0.606975339,6.263322356,2.820747832,0.121593223,0.069700628,3.706773673,-0.043043884,0.166033074,0.303062813,-4.344966204,-1.436161321,2.324032859,0.010955487,-0.075417606,3.862747922,-0.099182482,-0.026940672,-0.652925827,0.606975339,-5.639056733,2.615147319,0.021288636,-0.026457007,120.4017514,31.507715,12.86367368
