time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_roll_by_manual,align_pitch_by_manual,align_yaw_by_manual,align_vel_x,align_vel_y,align_vel_z,algo_lat,algo_lon,algo_alt
1571105542,31.50827824,120.4020036,714.9138185,1.294664873,1.085194233,-177.6382363,0,0,0,1.218751485,0.028462261,0.011860313,2.532090806,-1.727375089,-0.073997987,1.368686057,0.032142107,-0.024972095,1.218751485,0.028462261,0.011860313,1.294664873,-1.085194233,1.931354296,1.094664873,-1.785194233,-0.073997987,1.291047149,-0.003234259,-0.005680651,31.50827824,120.4020036,12.47760001
1571105543,31.50827651,120.4020035,715.0570579,1.284138398,1.119550558,-177.6150357,-0.191819733,-0.008549472,-0.002499996,1.265715724,0.027646004,0.015214243,2.562063432,-2.081892013,-0.098515997,1.383858806,0.021680519,-0.048620518,1.410673002,0.034296202,0.014360309,1.284138398,-1.119550558,1.908153644,1.084138398,-1.819550558,-0.097198639,1.460677214,-0.005539276,-0.009519681,31.50827782,120.4020036,12.48095394
1571105543,31.5082747,120.4020035,715.1945678,1.273495286,1.142328922,-177.5805139,-0.392509745,-0.017098946,-0.004899987,1.493266117,0.030226088,0.012871597,2.52800698,-2.051360311,-0.132381791,1.60427887,0.034394614,-0.045705966,1.611439908,0.04079416,0.016760301,1.273495286,-1.142328922,1.873631821,1.073495286,-1.842328922,-0.131720462,1.625299733,-0.00718768,-0.013048208,31.50827577,120.4020034,12.4786113
1571105543,31.50827256,120.4020033,715.3492664,1.284793493,1.118794109,-177.5462929,-0.629789648,-0.029448182,-0.007599968,1.731319981,0.030346604,0.013356914,2.498581968,-2.00881058,-0.173311104,1.682949697,0.004562025,-0.067052186,1.848978486,0.046242099,0.019460281,1.284793493,-1.118794109,1.83941081,1.084793493,-1.818794109,-0.165941473,1.759645353,-0.011604078,-0.014404009,31.50827363,120.4020032,12.47909663
1571105543,31.50827045,120.4020032,715.5383424,1.317841795,1.037339463,-177.5010779,-0.863743197,-0.040847481,-0.010899941,1.96584354,0.031693042,0.013311791,2.6223629,-2.091658962,-0.224088488,1.81947699,0.017240193,-0.077169373,2.083128932,0.052388302,0.022760254,1.317841795,-1.037339463,1.794195874,1.117841795,-1.737339463,-0.211156409,1.847646468,-0.009210761,-0.011042721,31.50827152,120.4020031,12.47905153
1571105543,31.50826823,120.4020031,715.6815819,1.295281711,1.049167273,-177.4896913,-1.109893377,-0.052246778,-0.013399903,2.213514354,0.036244375,0.017091434,2.518522096,-2.082974396,-0.227818113,1.924382571,0.041741164,-0.057975381,2.329441787,0.059447533,0.025260217,1.295281711,-1.049167273,1.782809263,1.095281711,-1.749167273,-0.22254302,1.94264081,-0.005036251,-0.013862571,31.50826929,120.4020029,12.4828312
1571105543,31.5082657,120.402003,715.8362805,1.261370613,1.06112693,-177.466956,-1.390415879,-0.06459602,-0.016099848,2.469943462,0.040671323,0.020833274,2.520262513,-2.162195167,-0.243403531,2.020637502,0.035657891,-0.06019598,2.610101631,0.068132562,0.027960161,1.261370613,-1.06112693,1.760073967,1.061370613,-1.76112693,-0.245278316,2.073269467,-0.001498347,-0.019370122,31.50826698,120.4020028,12.48657309
1571105543,31.50826318,120.4020028,715.9451425,1.252046103,1.141221748,-177.4429965,-1.669829596,-0.078845144,-0.01799978,2.734434053,0.045121483,0.026013577,2.513057869,-2.263848449,-0.265475977,2.178029423,0.042851626,-0.056290995,2.889798025,0.074840036,0.029860093,1.252046103,-1.141221748,1.736114477,1.052046103,-1.841221748,-0.269237806,2.239941577,-0.01531847,-0.029190486,31.5082646,120.4020026,12.49175345
1571105544,31.5082603,120.4020026,713.3840211,1.285983398,1.152663715,-177.5000722,-1.989159545,-0.100693802,0.026700313,3.043957005,0.049394039,0.026636584,2.478850179,-2.267491079,-0.284032607,2.325236435,0.032074921,-0.096068476,3.209867543,0.076957388,-0.01484,1.285983398,-1.152663715,1.793190192,1.085983398,-1.852663715,-0.212162091,2.38506807,-0.012752563,-0.03010656,31.50826181,120.4020024,12.49237654
1571105544,31.5082572,120.4020024,713.5043423,1.26187958,1.084042381,-177.466699,-2.332882766,-0.117792752,0.02460043,3.353037612,0.05587612,0.024177183,2.400476189,-2.183853333,-0.327166519,2.44553214,0.054262511,-0.086156164,3.553906332,0.085637175,-0.012740116,1.26187958,-1.084042381,1.759816945,1.06187958,-1.784042381,-0.245535338,2.522240304,-0.015561721,-0.038091626,31.50825903,120.4020022,12.48991723
1571105544,31.50825416,120.4020022,713.5272606,1.240588286,1.141476191,-177.4431079,-2.669953279,-0.134891705,0.024200562,3.691126821,0.062392925,0.025088729,2.279646179,-2.198961157,-0.346511095,2.611329609,0.050257253,-0.092281482,3.89131108,0.093818944,-0.012340249,1.240588286,-1.141476191,1.736225832,1.040588286,-1.841476191,-0.269126451,2.685616147,-0.015816154,-0.052180918,31.50825598,120.402002,12.4908289
1571105544,31.50825092,120.402002,713.5845564,1.229053025,1.118335656,-177.3976392,-3.029199485,-0.152940601,0.023200723,4.053158648,0.067384786,0.024273438,2.234997779,-2.158635204,-0.386410357,2.749243141,0.065697277,-0.101833666,4.250900409,0.102713484,-0.01134041,1.229053025,-1.118335656,1.690757206,1.029053025,-1.818335656,-0.314595077,2.831348561,-0.012982613,-0.038798461,31.50825272,120.4020018,12.49001376
1571105544,31.50824754,120.4020018,713.7106071,1.228316635,1.095662922,-177.4208052,-3.403968673,-0.171939442,0.021000915,4.442804312,0.07426066,0.023809926,2.138963512,-2.084360678,-0.367452235,2.877619807,0.075155595,-0.093686461,4.626040278,0.11182278,-0.009140602,1.228316635,-1.095662922,1.713923197,1.028316635,-1.795662922,-0.291429086,2.946174485,-0.022652494,-0.042768185,31.50824921,120.4020016,12.48955044
1571105544,31.50824374,120.4020016,713.7621733,1.217486304,1.11871388,-177.409206,-3.825306814,-0.193788106,0.020101156,4.841474282,0.080799058,0.022954183,2.067305231,-2.085801202,-0.374952923,3.004816485,0.064530889,-0.110862423,5.047831769,0.121576351,-0.008240843,1.217486304,-1.11871388,1.702323928,1.017486304,-1.81871388,-0.303028355,3.077711595,-0.014381695,-0.056907416,31.50824562,120.4020013,12.48869491
1571105544,31.50824007,120.4020014,713.8137395,1.194157386,1.096199308,-177.3982105,-4.232230756,-0.213736891,0.019201414,5.261391203,0.087442536,0.022122077,1.979941231,-2.066047701,-0.386382267,3.113528959,0.07709397,-0.119637789,5.45510728,0.132145438,-0.007341101,1.194157386,-1.096199308,1.691328454,0.994157386,-1.796199308,-0.314023829,3.187215441,-0.0223251,-0.04772892,31.50824184,120.4020011,12.48786306
1571105544,31.50823647,120.402001,715.544072,1.228899474,1.10675858,-177.3863071,-4.631393226,-0.246034921,-0.010998306,5.707252763,0.094731492,0.018198247,1.94076923,-1.962134024,-0.392067646,3.212653605,0.072254452,-0.130987219,5.855567551,0.129818916,0.02285862,1.228899474,-1.10675858,1.679425058,1.028899474,-1.80675858,-0.325927225,3.247971173,-0.025941243,-0.033793623,31.50823783,120.4020008,12.48393952
1571105545,31.50823233,120.4020008,715.7847143,1.238882873,1.03763745,-177.3755002,-5.090430048,-0.269783478,-0.015197956,6.160679061,0.101799486,0.013544025,1.846853852,-1.862349344,-0.40483001,3.289774214,0.075438642,-0.140058463,6.315094167,0.140500009,0.027058269,1.238882873,-1.03763745,1.668618193,1.038882873,-1.73763745,-0.33673409,3.304955129,-0.029241261,-0.019925899,31.50823374,120.4020005,12.47928564
1571105545,31.50822847,120.4020005,716.1055707,1.257207726,0.854276201,-177.4119793,-5.518420901,-0.293532035,-0.020797597,6.60773188,0.109566646,0.008156255,1.782552851,-1.696444734,-0.370018832,3.271610635,0.068515273,-0.14512834,6.743661927,0.148857033,0.03265791,1.257207726,-0.854276201,1.705097286,1.057207726,-1.554276201,-0.300254997,3.28242111,-0.028850329,-0.005307806,31.50822972,120.4020002,12.47389823
1571105545,31.50822466,120.4020003,716.3634017,1.268064083,0.831229345,-177.4236102,-5.940867832,-0.315380711,-0.025297213,7.018945731,0.116065572,0.011424598,1.701230159,-1.702328779,-0.364422603,3.22330326,0.08204601,-0.070917483,7.166559097,0.158693595,0.037157527,1.268064083,-0.831229345,1.716728154,1.068064083,-1.531229345,-0.288624129,3.237285466,-0.019705532,-0.013332512,31.50822602,120.402,12.47716694
1571105545,31.50822058,120.4020001,716.6155031,1.23490257,0.889406019,-177.4346806,-6.393251946,-0.338179332,-0.029696774,7.390942875,0.122543122,0.017490463,1.549959046,-1.815433657,-0.365944761,3.163027631,0.074601197,-0.085702282,7.619380562,0.169823944,0.041557087,1.23490257,-0.889406019,1.727798599,1.03490257,-1.589406019,-0.277553684,3.230890935,-0.015723595,-0.0142175,31.50822267,120.4019998,12.48323316
1571105545,31.50821679,120.4019999,716.8676045,1.18950372,0.913459472,-177.4462402,-6.813481309,-0.35907807,-0.034096336,7.804484184,0.128601442,0.019421929,1.355615405,-1.82645406,-0.350330902,3.140056338,0.078605633,-0.105790117,8.039995274,0.180441774,0.045956649,1.18950372,-0.913459472,1.739358123,0.98950372,-1.613459472,-0.26599416,3.22607798,-0.013168216,-0.018863915,31.50821894,120.4019995,12.48516504
1571105545,31.50821301,120.4019996,717.0394919,1.155534067,0.94904829,-177.4919801,-7.232601885,-0.379976808,-0.037095872,8.220603875,0.134244891,0.020260075,1.25966957,-1.904731237,-0.321376692,3.17302971,0.066064503,-0.072413912,8.459504311,0.190976601,0.048956185,1.155534067,-0.94904829,1.785098044,0.955534067,-1.64904829,-0.220254239,3.251825187,-0.023689244,-0.038096135,31.5082152,120.4019992,12.48600363
1571105545,31.50820885,120.4019994,717.1655426,1.136567185,1.144661325,-177.5245687,-7.693856274,-0.403725376,-0.039295328,8.607864947,0.141218647,0.018443195,1.152379788,-1.992851857,-0.280516411,3.217395631,0.05851779,-0.098231211,8.921242274,0.201823688,0.051155641,1.136567185,-1.144661325,1.817686663,0.936567185,-1.844661325,-0.18766562,3.348054973,-0.028545359,-0.036431694,31.50821171,120.401999,12.48418718
1571105546,31.50820545,120.4019989,716.6212327,1.14956129,1.107681214,-177.2954036,-8.070843019,-0.452172438,-0.029794856,8.999709599,0.146696585,-0.007528021,1.117055696,-1.621016674,-0.263090564,3.173174647,0.068967451,-0.136832368,9.300797941,0.181733394,0.041655169,1.14956129,-1.107681214,1.588521513,0.94956129,-1.807681214,-0.41683077,3.312683016,-0.031645072,-0.015110176,31.50820818,120.4019987,12.45821644
1571105546,31.50820158,120.4019986,716.9249003,1.147560792,1.027597599,-177.3076823,-8.499942659,-0.47592101,-0.035094296,9.400330215,0.153919711,-0.032491661,1.084517198,-1.284413439,-0.254445984,3.15501438,0.053551068,-0.087521866,9.730471376,0.190173406,0.046954609,1.147560792,-1.027597599,1.60080023,0.947560792,-1.727597599,-0.404552053,3.315640079,-0.022837443,-0.032717211,31.50820457,120.4019985,12.4332533
1571105546,31.50819733,120.4019984,717.0967877,1.105552311,1.200736992,-177.3293035,-8.971176109,-0.50061953,-0.038093647,9.82105291,0.160081203,-0.045819091,0.966092948,-1.278511914,-0.219451716,3.263563949,0.07427826,-0.094648176,10.20223151,0.200820228,0.04995396,1.105552311,-1.200736992,1.622421457,0.905552311,-1.900736992,-0.382930826,3.416352628,-0.010734818,-0.036798479,31.50820079,120.4019982,12.41992643
1571105546,31.50819328,120.4019981,717.4119144,1.036452108,1.202635046,-177.3643832,-9.420233873,-0.522468224,-0.043592994,10.27738178,0.171193391,-0.074119954,0.735731817,-0.971244188,-0.176615753,3.347649724,0.06421977,-0.110799863,10.65166485,0.212648831,0.055453308,1.036452108,-1.202635046,1.657501156,0.836452108,-1.902635046,-0.347851127,3.519411706,-0.016082739,-0.032988635,31.50819667,120.401998,12.3916262
1571105546,31.50818909,120.4019979,717.6812046,1.036861309,1.225650198,-177.3756284,-9.88481462,-0.547166745,-0.048292286,10.77769066,0.18475963,-0.113443863,0.591816274,-0.560146648,-0.158131016,3.499476563,0.077722305,-0.12599856,11.11679095,0.222797638,0.060152599,1.036861309,-1.225650198,1.668746317,0.836861309,-1.925650198,-0.336605966,3.629425623,-0.032474528,-0.039861546,31.50819217,120.4019977,12.35230303
