time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_roll_by_manual,align_pitch_by_manual,align_yaw_by_manual,algo_lat,algo_lon,algo_alt
1570519589,31.50769499,120.4017452,719.1938132,-0.792150303,-0.961411,0.167090972,0,0,0,2.51445397,0.136043726,-0.017971962,1.011198693,5.78878706,0.042612106,2.51445397,0.136043726,-0.017971962,-0.792150303,0.961411,5.600302718,0.358349697,5.78878706,0.042612105,31.50769499,120.4017452,12.55230001
1570519590,31.50769834,120.4017455,717.1655426,-0.688438463,-0.973427638,0.097531258,0.371442807,0.032298206,0.035400011,2.956144933,0.160541402,-0.026403029,0.972374901,5.883482875,0.012190081,2.887262205,0.14123534,-0.053371972,-0.688438463,0.973427638,5.669862432,0.462061537,5.800803698,0.112171819,31.50769898,120.4017454,12.54386895
1570519590,31.50770136,120.4017457,717.4061849,-0.791775315,-1.064944632,0.110501778,0.706295725,0.048447308,0.031200041,3.252752204,0.170958828,-0.025144103,1.036475978,5.779806676,0.02710893,3.222042942,0.158817389,-0.049172002,-0.791775315,1.064944632,5.656891912,0.358724685,5.892320692,0.099201299,31.50770165,120.4017456,12.54512791
1570519590,31.5077045,120.4017458,717.6525567,-1.078202403,-0.984467854,0.11240648,1.054454059,0.061746567,0.026900088,3.576257707,0.190836075,-0.025442005,0.958881038,5.771583728,-0.012386968,3.569775362,0.180571918,-0.044872049,-1.078202403,0.984467854,5.65498721,0.072297597,5.811843914,0.097296597,31.50770457,120.4017457,12.54483005
1570519590,31.50770764,120.4017461,717.893199,-0.986401633,-0.869955247,0.110632079,1.402612393,0.085495243,0.022700154,3.87849287,0.217909402,-0.016232579,0.630156783,5.567014909,-0.038704578,3.918557845,0.191929925,-0.040672116,-0.986401633,0.869955247,5.656761611,0.164098367,5.697331307,0.099070998,31.5077073,120.4017458,12.55403954
1570519590,31.50771094,120.4017463,718.2197849,-0.952172924,-0.927188166,0.122308086,1.768511279,0.109243917,0.017000248,3.999531219,0.220847196,-0.005070003,0.646327213,5.237714938,-0.035140548,4.28499108,0.205070683,-0.034972209,-0.952172924,0.927188166,5.645085604,0.198327076,5.754564226,0.087394991,31.50770839,120.4017459,12.56520214
1570519591,31.50771516,120.4017466,717.635368,-0.791000224,-0.973819597,0.029643472,2.236418337,0.137742323,0.027200394,4.225564483,0.230539958,-0.011335527,0.6429966,5.41679026,-0.077603856,4.753393426,0.223736564,-0.045172356,-0.791000224,0.973819597,5.737750218,0.359499776,5.801195657,0.180059605,31.50771043,120.401746,12.55893667
1570519591,31.50771875,120.4017469,718.0077905,-0.676293952,-0.962450492,0.017141208,2.634471976,0.165290782,0.020700548,4.661117384,0.251336887,-0.017475714,0.717872096,5.510668565,-0.031975014,5.152200489,0.236328007,-0.03867251,-0.676293952,0.962450492,5.750252482,0.474206048,5.789826552,0.192561869,31.50771436,120.4017463,12.55279662
1570519591,31.50772247,120.4017472,718.3401061,-0.630567595,-1.031150511,0.028595471,3.046939814,0.191889291,0.014900734,5.196755186,0.274315017,-0.014414548,0.802969725,5.390604064,-0.040552946,5.565253326,0.251313075,-0.032872695,-0.630567595,1.031150511,5.738798219,0.519932405,5.858526571,0.181107606,31.50771918,120.4017466,12.55585799
1570519591,31.5077261,120.4017474,718.4604272,-0.66520309,-1.122690968,0.052359156,3.449428591,0.214688011,0.012800939,5.738561851,0.301157886,-0.012109174,0.841988995,5.378679437,-0.058913573,5.967995773,0.269075901,-0.0307729,-0.66520309,1.122690968,5.715034534,0.48529691,5.950067028,0.157343921,31.50772407,120.4017469,12.55816361
