time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_roll_by_manual,align_pitch_by_manual,align_yaw_by_manual,align_vel_x,align_vel_y,align_vel_z,algo_lat,algo_lon,algo_alt
1570520513,31.50709272,120.4032355,723.1128445,0.708639672,-0.216449073,112.6725565,0,0,0,0.299476098,0.036217092,-0.01590977,2.538372523,5.02476933,-0.014705352,0.671031785,0.071081515,0.042938632,0.299476098,0.036217092,-0.01590977,0.708639672,0.216449073,3.995999214,1.808639672,5.02476933,-0.014705352,0.857843561,-0.026475173,0.031670795,31.50709272,120.4032355,12.62070001
1570520513,31.50709202,120.4032373,723.4394304,0.711824938,-0.200559702,112.6726492,-0.077614906,0.169091704,-0.005699998,0.501817216,0.058641888,-0.018149373,2.516875844,5.107986338,0.008268759,0.86806212,0.093462277,0.058595732,0.485415255,0.042752226,-0.010209772,0.711824938,0.200559702,3.995906529,1.811824938,5.008879959,-0.014798037,0.993190319,-0.028741453,0.034636532,31.50709208,120.4032375,12.6184604
1570520514,31.50709102,120.4032396,721.7835824,0.661073189,-0.165383351,112.6411597,-0.188493342,0.392330747,0.023200015,0.8256264,0.055970678,0.00159561,2.44651649,5.316106651,0.077107941,1.080752356,0.077534484,0.108138802,0.734671065,0.043865356,-0.039109784,0.661073189,0.165383351,4.027396076,1.761073189,4.973703608,0.01669151,1.15768617,-0.035600696,0.032854708,31.50709075,120.4032406,12.63820541
1570520514,31.50709008,120.403242,722.0987092,0.689655346,-0.1462717,112.6316976,-0.292719065,0.61841966,0.017700036,1.070146703,0.071597222,-0.014449677,2.443317402,6.0912256,0.100224365,1.242116295,0.070878209,0.113418444,0.983487642,0.05220257,-0.033609806,0.689655346,0.1462717,4.036858161,1.789655346,4.954591957,0.026153595,1.325717982,-0.053955603,0.029836143,31.50708989,120.4032429,12.62216015
1570520514,31.50708901,120.4032447,722.4367543,0.683311363,-0.136588684,112.6063379,-0.411358978,0.87585704,0.011800073,1.35297939,0.085673973,-0.029736509,2.443530504,6.42631766,0.157118901,1.4078866,0.094187942,0.1282762,1.266787269,0.061729097,-0.027709842,0.683311363,0.136588684,4.062217872,1.783311363,4.944908941,0.051513306,1.504205453,-0.044610563,0.034320457,31.50708885,120.4032457,12.60687335
1570520514,31.50708782,120.4032478,722.7977177,0.635709802,-0.126875878,112.5746644,-0.543304295,1.166542799,0.00550013,1.674937212,0.106412278,-0.049209537,2.386596121,6.845290941,0.182067023,1.59256479,0.094156037,0.142158094,1.585770087,0.074288502,-0.0214099,0.635709802,0.126875878,4.093891352,1.735709802,4.935196135,0.083186786,1.690629587,-0.064108043,0.035957309,31.50708772,120.4032488,12.58740039
1570520514,31.50708645,120.4032512,723.1815994,0.680238482,-0.110723017,112.5333927,-0.695207719,1.491426891,-0.001199787,2.039942916,0.126057764,-0.084220053,2.499380903,7.507875343,0.231680247,1.791051107,0.098323743,0.159422279,1.944270916,0.084362179,-0.014709982,0.680238482,0.110723017,4.135163057,1.780238482,4.919043274,0.124458491,1.89566486,-0.079671684,0.039112034,31.5070864,120.4032523,12.55238996
1570520515,31.50708487,120.4032553,721.6575317,0.693077363,-0.170698131,112.4662769,-0.870395588,1.87995787,0.025400336,2.438093616,0.14737651,-0.116089362,2.616021036,7.91822233,0.278028518,1.94833637,0.116834226,0.174101025,2.370098466,0.102195006,-0.041310106,0.693077363,0.170698131,4.202278821,1.793077363,4.979018388,0.191574255,2.063196451,-0.075156741,0.042859189,31.50708496,120.4032562,12.52052077
1570520515,31.50708328,120.4032594,722.0013064,0.690058338,-0.227660795,112.4246213,-1.046692232,2.264689056,0.019400488,2.855939633,0.167108416,-0.151580503,2.845302858,8.272834028,0.357899368,2.041242768,0.119758323,0.184302684,2.793028101,0.117331555,-0.035310258,0.690058338,0.227660795,4.243934412,1.790058338,5.035981052,0.233229846,2.16364462,-0.078072778,0.038240406,31.50708343,120.4032602,12.48502979
1570520515,31.50708163,120.4032636,722.3336219,0.636254865,-0.2911234,112.3925808,-1.229641565,2.669369281,0.013600678,3.265750957,0.188437286,-0.184008269,2.840786921,8.44651762,0.363081195,2.139765332,0.14355215,0.19048071,3.236770472,0.135476843,-0.029510447,0.636254865,0.2911234,4.275974911,1.736254865,5.099443657,0.265270345,2.269663446,-0.068015189,0.040990573,31.50708194,120.4032641,12.4526022
