        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1.40364E+12,4.614772,-1.828672,0.816032,-175.6116659,-70.10370612,158.2927917,0.014150296,-0.071078921,0.235048911,-177.7578215,-70.78324122,4.2937455,4.610273214,-1.831918188,0.814366236,127.447567,58.45777603,129.1665637
1.40364E+12,4.610965,-1.825128,0.863199,-178.0159468,-71.42623021,159.9129543,0.017501134,-0.072151493,0.278965853,179.8082111,-72.24107333,6.231285014,4.608359833,-1.82931884,0.858305497,125.884541,59.89965547,127.4531215
1.40364E+12,4.609292,-1.823567,0.906944,179.535154,-72.17062184,161.7924177,0.017870748,-0.073004684,0.319205442,177.454039,-73.13692182,8.275832892,4.608990353,-1.828212852,0.898535689,125.0120722,60.95203473,126.4911988
1.40364E+12,4.610414,-1.822605,0.940993,179.0468221,-72.39519274,161.926276,0.017462625,-0.074925879,0.351402807,177.7318424,-73.43634748,8.469317277,4.610661841,-1.82651116,0.930704591,124.3898283,61.0224689,126.4065909
1.40364E+12,4.61224,-1.818754,0.951655,179.4240573,-71.99990313,161.0919074,0.019866383,-0.080269453,0.363011114,179.4934649,-73.09320431,7.546490614,4.610955388,-1.820602149,0.942283971,124.5042639,60.41264887,127.2706074
1.40364E+12,4.614639,-1.814363,0.929578,-179.5943341,-71.15183566,160.0289171,0.023007121,-0.088118507,0.344939049,-177.5613772,-72.11123758,6.26398305,4.61121659,-1.812244167,0.924169133,125.2551555,59.14923595,129.4475736
1.40364E+12,4.618533,-1.813117,0.881456,-177.5257499,-69.58907124,158.2166134,0.022534018,-0.091629533,0.297489755,-174.8404502,-70.45873873,4.450443266,4.612444281,-1.809484123,0.87668375,126.8695404,57.48402944,131.5853659
1.40364E+12,4.623504,-1.812416,0.822097,-176.4404662,-67.09614103,157.0040042,0.020069739,-0.093722965,0.239135512,-173.5748944,-67.79153639,3.513009988,4.614700213,-1.808906739,0.818286402,130.1032445,55.45207218,134.5269313
1.40364E+12,4.629125,-1.81338,0.765,-175.4323329,-64.37504677,155.9363021,0.014753216,-0.095117144,0.182412419,-172.9387665,-65.0948374,2.641376736,4.619256657,-1.81017752,0.761494305,133.2226489,53.4397473,136.7770238
1.40364E+12,4.634025,-1.814767,0.71997,-174.4783115,-62.2264577,155.2553131,0.009328188,-0.096012403,0.137080408,-172.5481194,-62.93314695,1.917913389,4.623866497,-1.811895484,0.716095829,135.5298225,51.78429095,138.2382052
1.40364E+12,4.638162,-1.815817,0.689073,-174.1227749,-61.35196744,155.4917967,0.003379798,-0.097345047,0.107448979,-172.9817049,-61.97220441,1.882277123,4.629370136,-1.813373949,0.686385478,136.8240602,51.22336164,138.8310892
1.40364E+12,4.641532,-1.816127,0.681114,-175.6918634,-61.41865511,157.3131716,-0.000866286,-0.098780234,0.099857445,-175.1733411,-61.8110333,3.451243606,4.633707964,-1.813932636,0.67873097,138.206387,51.81690056,139.5490085
1.40364E+12,4.642317,-1.815358,0.699657,-176.9809243,-61.54755774,158.95099,-0.003164855,-0.099955122,0.11967963,-176.9097506,-61.60874408,4.873654886,4.636582787,-1.813770486,0.69851207,139.3945492,52.2456059,140.3790826
1.40364E+12,4.640542,-1.813174,0.742714,-177.57353,-62.01504923,159.9019644,-0.001806278,-0.100959341,0.163880189,-177.6018774,-61.95880673,5.771206741,4.636443743,-1.812086383,0.742712613,139.3706737,52.72457585,140.6478108
1.40364E+12,4.63603,-1.809537,0.800072,-177.5814597,-63.63160331,159.9244247,0.0024055,-0.102123923,0.222323562,-177.6909963,-63.48734381,5.739548698,4.634008238,-1.808970747,0.80118555,137.5833337,53.81813814,139.1043183
1.40364E+12,4.629793,-1.804637,0.862069,-177.7087497,-66.20803852,159.9704235,0.008060219,-0.103908895,0.285429722,-177.9085518,-66.01952005,5.766357033,4.630604891,-1.804655176,0.864330958,134.4331735,55.58143085,136.3628259
1.40364E+12,4.624456,-1.799716,0.923626,-177.3896235,-69.03131987,159.6564798,0.012680746,-0.10628575,0.347914628,-177.5873983,-68.85481304,5.484952838,4.628380281,-1.800251404,0.926837118,130.3093936,57.27199454,132.94141
1.40364E+12,4.628783,-1.798197,0.979424,-176.3280802,-71.26786926,158.3665094,0.015980548,-0.109376048,0.399002842,-176.6198512,-71.11128066,4.265640453,4.627485108,-1.795819887,0.977925322,126.5280606,58.34178738,129.4309259
1.40364E+12,4.627604,-1.794285,1.005275,-175.8528468,-72.64712742,157.5981125,0.01813874,-0.112333862,0.423762322,-176.3418426,-72.51066,3.61411152,4.627172695,-1.792113473,1.002676144,124.2087798,59.05894918,127.0616841
1.40364E+12,4.626729,-1.791286,0.996793,-176.1838233,-72.51144666,157.6914754,0.019338012,-0.11466872,0.415153549,-176.7768031,-72.34052776,3.777024467,4.62696297,-1.78952773,0.994058097,124.6257456,59.07486755,127.1675979
1.40364E+12,4.626201,-1.790791,0.958711,-175.9511044,-71.26331874,157.6643879,0.020223861,-0.115451046,0.377148359,-176.4397317,-71.01273024,3.710725142,4.625933251,-1.788607941,0.956059611,126.6168541,58.23714009,129.1219183
1.40364E+12,4.626909,-1.792359,0.905987,-176.6775347,-69.91088275,158.5622684,0.019153334,-0.114779315,0.323827432,-177.0015623,-69.60557593,4.530458339,4.62581911,-1.789908193,0.902739682,128.9653924,57.55998764,131.4022143
1.40364E+12,4.628704,-1.796927,0.848892,-176.1004891,-68.32453128,158.4421363,0.015013024,-0.112000567,0.266051815,-176.3942874,-68.02053309,4.416190781,4.627507627,-1.794448272,0.844951949,131.0093764,56.41079946,133.568314
1.40364E+12,4.630693,-1.803164,0.791048,-175.1128324,-65.92783784,157.7847511,0.010117736,-0.107750055,0.207543071,-175.3787773,-65.62620221,3.762483456,4.629235864,-1.800644895,0.786437686,133.7496462,54.54471462,136.1065315
1.40364E+12,4.633934,-1.809455,0.73636,-174.1089417,-63.96118052,156.9239795,0.005198685,-0.102434981,0.154573249,-174.317212,-63.66087167,2.915448325,4.630611308,-1.807788979,0.733472421,135.6251369,52.8604029,137.7307088
1.40364E+12,4.635776,-1.814168,0.698114,-173.6414689,-62.92507094,156.8230948,0.001332128,-0.099115372,0.116059625,-173.8632203,-62.66834523,2.821719999,4.632107018,-1.812615554,0.694953123,136.5294533,52.01000454,138.7589408
1.40364E+12,4.637736,-1.81545,0.685514,-175.5082513,-62.15025134,158.7408546,-0.00121805,-0.098862493,0.103242303,-175.7008293,-61.90071437,4.714414909,4.634111303,-1.813994385,0.682110507,138.3952323,52.05437288,140.4957408
1.40364E+12,4.63762,-1.814467,0.705423,-176.2006531,-61.46513937,159.621429,-0.001093597,-0.099338701,0.123452212,-176.3604354,-61.19316472,5.561247884,4.634503695,-1.813422075,0.702314497,139.5588159,51.76433971,141.6784273
1.40364E+12,4.635914,-1.811737,0.75248,-176.4916663,-61.93397318,159.8665284,0.00129272,-0.100415488,0.170960552,-176.5774271,-61.63052426,5.792732993,4.633516699,-1.811216958,0.749833542,139.1856421,52.15057863,141.4254781
1.40364E+12,4.631163,-1.804926,0.813834,-178.661577,-63.29848874,160.9662373,0.008037785,-0.103799754,0.232966695,-178.6995504,-62.9630847,6.864973458,4.629798168,-1.804993817,0.811875108,138.7569323,53.78819016,140.2764052
1.40364E+12,4.625753,-1.799112,0.881327,179.7048348,-65.00457658,161.7001237,0.014801283,-0.105906998,0.301057619,179.761557,-64.64815062,7.600653469,4.625605716,-1.799889546,0.88001415,137.3879075,55.42280867,138.5149313
1.40364E+12,4.62046,-1.795582,0.949483,-178.9690858,-66.0984301,159.9076282,0.02055813,-0.106255427,0.369887052,-178.9128162,-65.71730908,5.822375373,4.621579058,-1.796802618,0.948898186,135.3127746,55.69736193,136.2284537
1.40364E+12,4.617215,-1.792812,1.013461,-176.8961066,-66.80209349,157.3546982,0.023812387,-0.106851307,0.434559037,-176.8719671,-66.41231524,3.295589401,4.619857089,-1.79458413,1.013593813,133.424925,55.52018071,134.0091804
1.40364E+12,4.621799,-1.796206,1.058924,-175.0526825,-67.91286879,155.5788451,0.023128752,-0.107442144,0.479041376,-175.1146993,-67.5589782,1.556441995,4.621389479,-1.794148366,1.058056795,131.0904183,55.74378106,131.9604774
