        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715530162,0.834792,2.153868,1.382883,172.48059409215807,-71.17761664340966,-10.910320805528556,0.208136029186,0.185383673931,0.255108552322,135.71686902468352,-66.03453069659031,11.627682627661667,0.8007912919389903,2.2251387402850566,1.4556097736093117,172.48059409215807,-71.17761664340966,-10.910320805528556,
1403715530262,0.864036,2.177628,1.422437,170.21910979465449,-70.3957168085072,-8.858016813938708,0.251178649315,0.210438744999,0.290032879453,135.33645057020763,-65.21183351783401,11.981082331917928,0.8434292246859744,2.2439833536136837,1.4946868717475206,172.10017563768218,-70.35491946465336,-10.556921101272295,
1403715530362,0.893599,2.20816,1.475806,170.39202160102278,-69.77399688710608,-9.158973017540536,0.30040633001,0.251900009645,0.339760389037,135.9679330219598,-65.28262084692291,11.17308966211835,0.8924004348687079,2.27722403219495,1.5504731073507299,172.73165808943435,-70.42570679374226,-11.364913771071873,
1403715530462,0.924487,2.245461,1.541009,173.325221403565,-69.5719684158304,-11.751757603750118,0.348722254666,0.302332116065,0.39862066977,138.45854562485826,-66.03958892547881,9.294569286402373,0.9405040447951871,2.3184634637024475,1.6162584444880406,175.2222706923328,-71.18267487229816,-13.24343414678785,
1403715530562,0.9568,2.28751,1.608051,174.98674616381686,-69.47800068682224,-12.47123240637946,0.393646125188,0.354832740035,0.455851854864,140.5775066455041,-66.41339078658068,8.80355874101087,0.9854010934858752,2.362114399606255,1.6805136312107334,177.34123171297864,-71.55647673340003,-13.734444692179354,
1403715530662,0.988997,2.332073,1.664157,176.0804850256482,-69.5885269827385,-12.656737989573276,0.439530303096,0.404615175246,0.501225227798,141.97535080822746,-66.65141713659104,8.890543219708805,1.0316524695399871,2.4042586299973663,1.7327349455094019,178.739075875702,-71.79450308341039,-13.647460213481418,
1403715530762,1.021135,2.378709,1.708639,177.16671366261502,-69.64180855346049,-12.619907087592054,0.478658138421,0.453230528563,0.532377357821,143.7747773228994,-66.79228582926834,9.017043286573436,1.0717438280322942,2.4471087851005557,1.7704369675002831,180.53850239037396,-71.93537177608769,-13.520960146616787,
1403715530862,1.054027,2.427734,1.75016,178.14059888525995,-69.62213935140596,-11.73182064744641,0.513616440689,0.501846303134,0.556889105151,145.8771726678283,-66.74662841028906,9.730027737382333,1.1079739564117208,2.490885882739438,1.801377971228264,182.64089773530284,-71.88971435710842,-12.80797569580789,
1403715530962,1.087424,2.477037,1.790593,178.09185861231893,-69.43283592121517,-10.0049969410938,0.537506616313,0.548419852806,0.57366589193,147.68109466670535,-66.43343823643451,10.92869208954932,1.1334061638173134,2.534055919289902,1.8239799040158462,184.4448197341799,-71.57652418325387,-11.609311343640902,
1403715531062,1.121152,2.525826,1.826511,178.74015563428216,-67.81092214555149,-9.343775093940199,0.566260657838,0.591664229743,0.591359978494,151.03789470554295,-64.98004805135875,9.561828112852215,1.1634817474185684,2.5735564997113003,1.847327605346848,187.8016197730175,-70.1231339981781,-12.976175320338008,
1403715531162,1.156476,2.574474,1.856772,179.80930598146986,-65.31753156055512,-9.47690927181871,0.597139401442,0.635754162558,0.605794762556,154.93018916902,-63.035844997747496,7.004345417118513,1.1958664901442628,2.614122093303573,1.8676116638215832,191.69391423649455,-68.17893094456684,-15.53365801607171,
1403715531262,1.198487,2.621906,1.885683,-175.5064380590172,-64.61410323088592,-13.194966172710464,0.643556464825,0.675254204298,0.619489275038,160.01401839520003,-63.17321802257283,3.264634689374553,1.2435555450111706,2.649353535061979,1.8872798182903674,196.77774346267458,-68.31630396939218,-19.27336874381567,
1403715531362,1.24887,2.664049,1.91848,-171.40016805435025,-66.41336895509278,-16.623297063845495,0.700964681995,0.710945004476,0.638238077229,162.3214765761564,-65.51246413265686,2.145949563027829,1.3017908846416462,2.679667535215415,1.9119933937581468,199.08520164363097,-70.65555007947621,-20.392053870162393,
1403715531462,1.302495,2.698842,1.94814,-170.12138044284072,-68.06114491954838,-17.583594252938813,0.765132016215,0.740105018999,0.654443467689,161.8360855037091,-67.23250619854439,3.25621536336367,1.366554555556003,2.7033922185053294,1.9337459623497866,198.59981057118367,-72.37559214536374,-19.281788069826554,
1403715531562,1.355882,2.726861,1.963992,-169.91291797969302,-68.98385751699038,-17.618811108393405,0.837176611014,0.779737428054,0.673360210526,160.7236368319057,-68.44791132712032,4.358401347836539,1.4395842220514456,2.7367976503715354,1.959625289624908,197.48736189938026,-73.59099727393968,-18.179602085353686,
1403715531662,1.408177,2.750171,1.966657,-168.79708250909815,-68.88557280377242,-18.550750634880774,0.904390755682,0.808072853416,0.674894271327,161.90841205243288,-68.75115593298268,3.377347202348646,1.508006128098124,2.7610765878857815,1.9668340955285433,198.67213711990743,-73.89424187980204,-19.160656230841578,
1403715531862,1.511079,2.779364,1.965188,-175.47789449491032,-70.5503701619417,-12.464662079413788,1.03520998436,0.839288371717,0.669337886733,154.05358603229038,-69.48184284886447,10.978830568663287,1.640351914013988,2.7854626244631344,1.9698118051892906,190.81731109976494,-74.62492879568383,-11.559172864526936,
1403715531962,1.55913,2.789205,1.966666,-177.96693861492676,-71.84308091585919,-10.324868497826959,1.08573678653,0.851142917446,0.669898867919,150.66248416348924,-70.380199048639,14.637992400946468,1.6913363439592985,2.7943965657646883,1.9736295647194904,187.4262092309638,-75.52328499545835,-7.900011032243755,
1403715532162,1.640021,2.809467,1.965778,178.87447483856283,-72.68934931685286,-7.613851448427163,1.15937633615,0.871661569867,0.665539314343,147.7256301131425,-71.0602021191921,18.114709595750206,1.7660394229255945,2.81117939920889,1.9743980485071095,184.48935518061705,-76.20328806601145,-4.423293837440017,
1403715532362,1.698975,2.835235,1.960368,-178.20697290380627,-72.47642411275729,-9.636522092809482,1.19860854779,0.892877069147,0.651905411804,151.23626882441297,-71.54500526079237,16.205395241955994,1.806866345052931,2.831519844539275,1.9646730368527008,187.99999389188753,-76.68809120761172,-6.332608191234229,
1403715532462,1.72056,2.849117,1.955867,-174.71688411026778,-71.98006464099637,-12.48783532491614,1.20565050526,0.903984381531,0.647134731392,155.28166368645802,-71.77960208446534,13.114190971551858,1.8146676073155317,2.842662609355955,1.96140194462704,192.04538875393257,-76.9226880312847,-9.423812461638365,
1403715532562,1.737916,2.86069,1.950565,-170.50184079733418,-71.59890741827428,-16.118751390486665,1.22073585789,0.912968307346,0.639857478982,159.7219630281501,-72.10952179173678,9.329207807220559,1.8304994088578685,2.851517904692172,1.9557296440274472,196.48568809562465,-77.25260773855614,-13.208795625969664,
1403715532662,1.750834,2.867552,1.944821,-164.29410633987143,-71.58759316655846,-21.718154630762474,1.22209228611,0.916650948394,0.634086875372,165.82463693383957,-73.1586087943403,4.209161257551236,1.8322982738802782,2.8557059432448892,1.9504451358819077,202.58836200131412,-78.30169474115965,-18.328842175638986,
1403715532862,1.75785,2.854867,1.929361,-156.49175749536013,-71.79830071083836,-29.061713241782336,1.21983492917,0.898989754073,0.621492317113,173.46474307119487,-74.72737302537128,-2.6742184895027807,1.8297209832207129,2.839615850759815,1.9359502112661704,210.22846813866943,-79.87045897219063,-25.212221922693004,
1403715532962,1.750909,2.83152,1.914969,-155.08954259239042,-71.41431731964225,-31.49438204097307,1.20893286877,0.873629322042,0.611089445395,175.911224609588,-74.90360856994585,-6.040234630324513,1.8180314486144848,2.816125973305379,1.9224666430585047,212.67494967706256,-80.0466945167652,-28.578238063514736,
1403715533062,1.737182,2.796039,1.889388,-154.2306493209888,-70.82749624237522,-34.406000706478004,1.19134748522,0.83360669899,0.590675186444,178.40277805207995,-74.94503191560456,-10.425655467710147,1.799383995492867,2.7794959755040938,1.8972017703646538,215.1665031195545,-80.08811786242391,-32.96365890090037,
1403715533162,1.71601,2.748559,1.855111,-154.59309365374813,-70.89728612120348,-36.99897045131931,1.16576781814,0.780540718031,0.563898290573,178.62575582712785,-75.51536466369578,-13.409065270863454,1.7723882488427012,2.731022224769271,1.8639024459263227,215.3894808946024,-80.65845061051513,-35.94706870405368,
