        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715529562,0.659287,2.07023,1.252363,177.8905278186489,-68.33724991591481,-19.563670539573813,0.10850507078,0.127445984173,0.273480527572,178.88094386900903,-66.46522594189842,6.328700128442949,0.6976366467610557,2.1711583790172293,1.463725993024054,177.8905278186489,-68.33724991591481,-19.563670539573813,
1403715529662,0.684245,2.080816,1.268489,177.46899449663476,-68.66319565159333,-17.97456153656011,0.12564096809,0.146617616471,0.288633952384,178.7415275275688,-66.90812514694971,7.849974759986253,0.7150195614430832,2.18766149791941,1.4815107642843028,177.75111147720867,-68.7801491209661,-18.04239590803051,
1403715529762,0.711914,2.092386,1.282884,176.29493516695453,-68.83466416932725,-15.902606114315521,0.144297843781,0.167809094893,0.302468612141,177.70669406122678,-67.35734984305053,9.898095286944619,0.7340812821294241,2.2062250719534306,1.4982618867067206,176.71627801086666,-69.22937381706691,-15.994275381072145,
1403715529862,0.741538,2.105394,1.300957,176.44922808452458,-69.02884948527115,-15.40103467956747,0.164808711619,0.190923303449,0.320219141085,177.76971864996867,-67.79478210026826,10.483383528703266,0.7549136616953491,2.2261846998587393,1.5191824227881119,176.77930259960854,-69.66680607428465,-15.408987139313497,
1403715529962,0.772285,2.120046,1.323772,177.22630223875433,-69.54306745671505,-15.728510370766282,0.183638265958,0.216553050394,0.343546435186,178.92517557275312,-68.59638799226207,10.277447154300997,0.7739446977355565,2.2481489924110263,1.5458467850542248,177.934759522393,-70.46841196627845,-15.614923513715766,
1403715530062,0.803927,2.13547,1.351244,175.62774018594888,-70.53127088667364,-13.957966463508711,0.203664914912,0.242857066748,0.370742131381,177.7684930018951,-69.71187137620545,11.98814810273701,0.79403010022176,2.2703107816642825,1.57647366116444,176.77807695153498,-71.58389535022184,-13.904222565279753,
1403715530162,0.834792,2.153868,1.382883,172.48059409215807,-71.17761664340966,-10.910320805528556,0.222081779281,0.271818254862,0.401457362211,174.86940973583273,-70.5092992318431,14.937682078509381,0.8124852258389142,2.2948299558839844,1.6108186047390007,173.8789936854726,-72.38132320585949,-10.954688589507382,
1403715530262,0.864036,2.177628,1.422437,170.21910979465449,-70.3957168085072,-8.858016813938708,0.236710381722,0.305441531391,0.440159441185,172.5290424176941,-69.91988443573806,17.137124834185993,0.8270368362048075,2.3233479905921905,1.6534489223893885,171.53862636733396,-71.79190840975444,-8.75524583383077,
1403715530362,0.893599,2.20816,1.475806,170.39202160102278,-69.77399688710608,-9.158973017540536,0.251212768704,0.345377747959,0.492556163966,172.29634198376067,-69.5050442052489,16.93619429767133,0.8411651635640383,2.3567034047097635,1.7103562496434992,171.30592593340054,-71.37706817926528,-8.956176370345432,
1403715530462,0.924487,2.245461,1.541009,173.325221403565,-69.5719684158304,-11.751757603750118,0.263319617463,0.391478898813,0.556513667898,175.12675355895098,-69.33089587386294,14.40124340502887,0.8526946052977836,2.3950980757324056,1.7793154797473774,174.13633750859086,-71.20291984787933,-11.491127262987893,
1403715530562,0.9568,2.28751,1.608051,174.98674616381686,-69.47800068682224,-12.47123240637946,0.273856495329,0.441653399025,0.622385814196,176.7747945733135,-69.2629114885031,13.663442593751274,0.8627771954852009,2.4374226578022893,1.8505518261747063,175.78437852295338,-71.13493546251948,-12.22892807426549,
1403715530662,0.988997,2.332073,1.664157,176.0804850256482,-69.5885269827385,-12.656737989573276,0.282288736709,0.494032223976,0.677216128785,177.86229356328545,-69.44397034723025,13.473890778606155,0.8713680110850277,2.4832111863851534,1.9109721533288422,176.87187751292532,-71.31599432124663,-12.418479889410609,
1403715530762,1.021135,2.378709,1.708639,177.16671366261502,-69.64180855346049,-12.619907087592054,0.291079047439,0.548518978141,0.719891628537,178.72199172950994,-69.56452896726137,13.519950221000498,0.8809693242084488,2.5323494058665337,1.9595573814723397,177.7315756791498,-71.43655294127775,-12.372420447016266,
1403715530862,1.054027,2.427734,1.75016,178.14059888525995,-69.62213935140596,-11.73182064744641,0.298596419275,0.605410650796,0.759629572076,179.5885900383259,-69.63895753060199,14.405360230308814,0.8895541899245256,2.5842540373894827,2.005432066873081,178.59817398796577,-71.51098150461837,-11.48701043770795,
1403715530962,1.087424,2.477037,1.790593,178.09185861231893,-69.43283592121517,-10.0049969410938,0.310302238523,0.664708832745,0.798856363323,178.99925497611582,-69.59251549014807,16.142680153150696,0.9024624139942422,2.638371592256397,2.0512219101229956,178.0088389257557,-71.46453946416446,-9.749690514866067,
1403715531062,1.121152,2.525826,1.826511,178.74015563428216,-67.81092214555149,-9.343775093940199,0.321249153065,0.721553520828,0.833891160235,179.47029600074842,-67.98436115785718,16.761852179542025,0.9146781841090825,2.6905348538915876,2.0925542170025846,178.4798799503883,-69.85638513187357,-9.130518488474738,
1403715531162,1.156476,2.574474,1.856772,179.80930598146986,-65.31753156055512,-9.47690927181871,0.33576545439,0.779656668,0.863722715342,-179.6635865373464,-65.53293938226773,16.54566429223933,0.9307527919407356,2.744297809821019,2.1289928221946037,-180.65400258770651,-67.40496335628411,-9.346706375777433,
1403715531262,1.198487,2.621906,1.885683,-175.5064380590172,-64.61410323088592,-13.194966172710464,0.352451663263,0.838185951724,0.891216961043,-174.79281000880286,-64.9027466675828,12.730476873865364,0.9491190060929589,2.798610017359766,2.163240544110778,-175.78322605916298,-66.77477064159919,-13.1618937941514,
1403715531362,1.24887,2.664049,1.91848,-171.40016805435025,-66.41336895509278,-16.623297063845495,0.379705784804,0.895474683888,0.922374934044,-170.60922584049203,-66.69974481328045,9.21555196111842,0.9778014829969823,2.85072465197835,2.2014110252799064,-171.59964189085215,-68.57176878729683,-16.676818706898345,
1403715531462,1.302495,2.698842,1.94814,-170.12138044284072,-68.06114491954838,-17.583594252938813,0.414047364492,0.94801941705,0.950243359347,-169.45547027339208,-68.37307279069978,8.251758874630717,1.0134636616244868,2.8980844549062867,2.2360837853311177,-170.4458863237522,-70.24509676471617,-17.640611793386046,
1403715531562,1.355882,2.726861,1.963992,-169.91291797969302,-68.98385751699038,-17.618811108393405,0.445144439656,0.997415099088,0.972324211997,-168.82646110886049,-69.35575015795862,8.17670062120678,1.045990139859177,2.943103519901618,2.2645414300351336,-169.8168771592206,-71.22777413197501,-17.715670046809983,
1403715531662,1.408177,2.750171,1.966657,-168.79708250909815,-68.88557280377242,-18.550750634880774,0.480568259315,1.04029528449,0.976555647549,-167.5681240788571,-69.29541363748761,7.177279009796181,1.0833075019977247,2.983289387253212,2.274738140014075,-168.55854012921722,-71.167437611504,-18.715091658220583,
1403715531862,1.511079,2.779364,1.965188,-175.47789449491032,-70.5503701619417,-12.464662079413788,0.558207510526,1.10865910256,0.97628598065,-174.30312605366052,-71.12324171592658,13.35006740905314,1.164232807239799,3.0469307339478973,2.2848580032697305,-175.29354210402064,-72.99526568994297,-12.542303258963623,
1403715531962,1.55913,2.789205,1.966666,-177.96693861492676,-71.84308091585919,-10.324868497826959,0.597449530828,1.13700680437,0.978003401794,-176.8364627564448,-72.42634274008083,15.470640846638892,1.2047389926536396,3.0727406081256077,2.2911490468101463,-177.82687880680493,-74.29836671409721,-10.421729821377872,
1403715532162,1.640021,2.809467,1.965778,178.87447483856283,-72.68934931685286,-7.613851448427163,0.659252001623,1.18713681239,0.977783628989,179.99047110793916,-73.29440165083733,18.19630268481362,1.2689409108584084,3.119142201804824,2.2987396464830985,179.00005505757903,-75.16642562485372,-7.696067983203143,
1403715532362,1.698975,2.835235,1.960368,-178.20697290380627,-72.47642411275729,-9.636522092809482,0.700445693807,1.23401172354,0.972438468359,-177.1280313059024,-73.04698310685242,16.17079307314265,1.312647459828655,3.1639829725603406,2.3000779918771195,-178.11844735626252,-74.91900708086881,-9.721577594874113,
1403715532462,1.72056,2.849117,1.955867,-174.71688411026778,-71.98006464099637,-12.48783532491614,0.713394404489,1.25485281149,0.96886733664,-173.58069498667174,-72.54716212642704,13.270500581919325,1.3267794415447771,3.18434016490182,2.2992749664930647,-174.57111103703187,-74.41918610044343,-12.621870086097438,
1403715532562,1.737916,2.86069,1.950565,-170.50184079733418,-71.59890741827428,-16.118751390486665,0.724575497787,1.27002162335,0.964520608291,-169.13343826410096,-72.10164221720814,9.434928057738182,1.3388963546172157,3.1992436978029968,2.2970235508092895,-170.12385431446108,-73.97366619122452,-16.457442610278584,
1403715532662,1.750834,2.867552,1.944821,-164.29410633987143,-71.58759316655846,-21.718154630762474,0.732920393818,1.28155231825,0.96008761273,-162.783348920314,-72.05107363562239,3.6889879331547792,1.3480037574113433,3.2106997622535385,2.2941846309549287,-163.77376497067414,-73.92309760963877,-22.203382734861982,
1403715532862,1.75785,2.854867,1.929361,-156.49175749536013,-71.79830071083836,-29.061713241782336,0.745078676022,1.27312261247,0.94671024989,-155.030424275427,-72.23270402896236,-3.7409401397435276,1.3603104155924708,3.2030656600814464,2.280469520649816,-156.02084032578713,-74.10472800297875,-29.633310807760292,
1403715532962,1.750909,2.83152,1.914969,-155.08954259239042,-71.41431731964225,-31.49438204097307,0.749010797624,1.2499069989,0.933988755591,-153.63369344834484,-71.84053156826391,-6.203924694907812,1.3636337057290624,3.1811333143655984,2.2654965227872452,-154.62410949870497,-73.7125555422803,-32.09629536292458,
1403715533062,1.737182,2.796039,1.889388,-154.2306493209888,-70.82749624237522,-34.406000706478004,0.752180333785,1.21204248188,0.910507101838,-152.72235036615024,-71.24898246043055,-9.120397659088795,1.3659406180707347,3.1458271247442333,2.238232869299909,-153.71276641651036,-73.12100643444694,-35.01276832710556,
1403715533162,1.71601,2.748559,1.855111,-154.59309365374813,-70.89728612120348,-36.99897045131931,0.754122268136,1.1605435645,0.878137147337,-153.13187942065022,-71.3551141870457,-11.787704298873928,1.36673421144902,3.097983457405246,2.2006286506557364,-154.12229547101035,-73.22713816106209,-37.68007496689069,
