        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1413394889255,-1.493433,0.072089,1.829528,-172.42245413198452,-74.61124527768398,176.77769793983538,0.186770710421,0.0951118419731,0.208050949909,163.99875644213733,-74.88113056530491,14.373233236612542,-1.2383539255146485,0.23605428817715898,1.8205904858008588,-172.42245413198452,-74.61124527768398,176.77769793983538,
1413394889355,-1.527451,0.056498,1.852462,-172.87571019316988,-79.64842301800458,177.12185977107433,0.209500912755,0.106944464954,0.228147775119,154.19625711593702,-79.37471859904456,24.969863044887667,-1.2579096959941096,0.22006008860147397,1.8411407380903515,-182.22495345818484,-79.10483331142362,187.3743277481105,
1413394889455,-1.545773,0.043213,1.87889,-169.39488616832915,-85.19010933778088,173.5573319030458,0.220417807336,0.120904776006,0.251792643861,130.78293829736126,-83.78161793334229,49.47129486155993,-1.2654478685949997,0.20457683230727677,1.8651530977860387,-205.6382722767606,-83.51173264572135,211.87575956478275,
1413394889555,-1.541368,0.032079,1.901051,-176.3931570820194,-85.65074469335897,-179.59239561678274,0.220174949002,0.136225577871,0.273926353556,126.29282389460158,-84.06284870251969,55.11878342553688,-1.2618027034716635,0.19011201056909682,1.8875622199938764,-210.12838667952028,-83.79296341489875,217.52324812875972,
1413394889655,-1.514912,0.022157,1.917907,-178.14598425949748,-79.64787743893525,-177.93402240533217,0.203816245145,0.14947806829,0.293011844826,154.73197804655766,-79.49300988583457,27.200703580264275,-1.2428732036178183,0.18103986609385728,1.906715859363657,-181.6892325275642,-79.22312459821363,189.6051682834871,
1413394889755,-1.474344,0.012758,1.93586,-179.289107631249,-71.81425732333784,-177.00533262590366,0.169294195006,0.160217301627,0.314180442569,166.2124760620873,-72.13655615115721,16.17456215206722,-1.2067212984718327,0.17833545689303235,1.9277143958379277,-170.20873451203457,-71.86667086353627,178.57902685529004,
1413394889855,-1.433018,0.002365,1.955179,-178.89991815099265,-65.09478520540249,-177.48173540781212,0.131430524389,0.171204302178,0.34024919333,171.04977834211243,-65.4955553048317,11.565724539270292,-1.1672207421428897,0.17620052480639076,1.9535813557410335,-165.37143223200943,-65.22567001721076,173.97018924249312,
1413394889955,-1.403406,-0.008826,1.9736,-178.10776806172126,-60.09878666684588,-178.3835292522632,0.102156209006,0.183866619632,0.365709250925,173.7618147581406,-60.52502460410383,9.170410016623723,-1.135758367456587,0.1705864334797322,1.9789611767582236,-162.65939581598127,-60.25513931648289,171.57487471984655,
1413394890055,-1.392651,-0.020631,1.982656,-178.2407205687079,-56.32841502960818,-178.43459768909267,0.0917046725146,0.195561190257,0.383291428552,174.8106536692415,-56.64693945227199,8.442109153969742,-1.1229418137071923,0.16174682465597118,1.996645289206218,-161.61055690488035,-56.37705416465105,170.84657385719257,
1413394890155,-1.405284,-0.032978,1.984744,-176.69420203018007,-55.74814942498802,179.9367529166474,0.102110757312,0.207906538127,0.391505659555,176.51522671011693,-56.07893609165655,6.68932262264142,-1.1304233761219507,0.14763684583374814,2.0051952908017228,-159.90598386400492,-55.809050804035614,169.09378732586424,
1413394890255,-1.444573,-0.045032,1.98504,-173.93175806509518,-60.547387463977685,177.1942382058108,0.141716002466,0.222610703696,0.39366392286,178.20129781306173,-61.08561479947233,5.030999600988751,-1.165967238349976,0.12487773459304546,2.0080418225038463,-158.21991276106013,-60.815729511851394,167.4354643042116,
1413394890355,-1.503423,-0.054055,1.9773,-168.837057005485,-67.06658898915441,172.18811083449668,0.196994625142,0.236438093901,0.392464489519,-178.92729014360071,-67.94960633976561,0.8507018087569391,-1.2170319155988958,0.09956707410769562,2.0076803139487533,-515.3485007177226,-67.67972105214467,163.25516651197978,
1413394890455,-1.56815,-0.057833,1.963688,-161.2043701094746,-73.505684264095,164.74852698982284,0.263636927856,0.241192919021,0.383234237528,-175.10674359339228,-74.98903585822133,-4.635462160446591,-1.2811844433491606,0.08053422714441114,1.999241928766312,-511.52795416751417,-74.71915057060039,157.76900254277624,
1413394890555,-1.62593,-0.053561,1.947091,-151.02355995775562,-79.35898046475322,154.64776907297085,0.325484283891,0.233820370418,0.366614322006,-172.7858001364534,-81.49579998144044,-7.853264348459598,-1.3432856290174433,0.0742194798521347,1.9831410524358069,-509.2070107105752,-81.2259146938195,154.55120035476324,
1413394890655,-1.666216,-0.042037,1.930624,-144.6297262073983,-83.28235494767279,148.41859168534702,0.370033030188,0.218129254373,0.347538837907,175.34264589397836,-85.68929379340959,3.664708203191708,-1.3902760974664758,0.07966685676057428,1.9642493089286233,-161.0785646801435,-85.41940850578865,166.06917290641454,
1413394890755,-1.68328,-0.023567,1.916654,-148.1404151836065,-85.05979924545183,151.98318086383912,0.388782184937,0.196818499888,0.330491159836,146.97743333910506,-86.74891003303658,31.808538815860913,-1.4132465477770106,0.09614244941164508,1.9470093655568605,-189.4437772350168,-86.47902474541564,194.21300351908374,
1413394890855,-1.675852,-0.000602,1.899427,-169.78481144422383,-80.98406416144924,173.6995542610526,0.379302833057,0.17628556421,0.312681389843,158.45023059892898,-82.39677683077912,20.249412145146167,-1.408477408732258,0.11785805717868889,1.9287245314338768,-177.97097997519288,-82.12689154315818,182.653876848369,
1413394890955,-1.652132,0.024147,1.882476,-176.04962383070225,-73.44865226480721,-179.95097217285274,0.356414171934,0.154454884096,0.295787448261,167.51538497395788,-75.05725258467508,11.014631198420059,-1.3908786402460307,0.14371732899784412,1.9111901060606127,-168.90582560016398,-74.78736729705415,173.4190959016429,
1413394891055,-1.624982,0.049017,1.867623,-178.029153617008,-65.78035671691126,-177.97199051471802,0.332192161186,0.130150308692,0.281112539206,170.56249599208726,-67.52588069381049,7.61187516397726,-1.3724907007252451,0.17232230717243224,1.8958144743718413,-165.8587145820346,-67.25599540618956,170.0163398672001,
1413394891155,-1.608292,0.072947,1.857393,-178.86659966491294,-60.484067662240975,-177.21249568228424,0.320804983843,0.0999468413656,0.270759487474,171.80377550898555,-62.18106128715425,6.059825541800639,-1.3678726024171417,0.20404214374420832,1.8847859630298773,-164.6174350651363,-61.91117599953331,168.46429024502348,
1413394891255,-1.612215,0.094562,1.849371,-179.54794355858348,-57.460798827222696,-176.5897175716009,0.320988068546,0.0752527808164,0.262602060859,171.93206316953922,-59.16555205801438,5.646145408326124,-1.3733694929994478,0.22795929494092426,1.8761762111197047,-164.48914740458264,-58.89566677039344,168.05061011154896,
1413394891455,-1.699104,0.127603,1.849557,178.70968472269243,-60.52789385840879,-174.9565943653844,0.392265552749,0.0350255012768,0.262309895321,169.3981520456209,-62.005803937008956,8.38425418591451,-1.4515864660448017,0.252059573528147,1.8758918982493114,-167.02305852850097,-61.73591864938802,170.78871888913733,
1413394891555,-1.774668,0.137556,1.856141,177.9212899461131,-65.0042056458053,-174.1411939626404,0.464300832593,0.0199463565012,0.270441414494,167.1294613456218,-66.41686312789511,11.593706514218793,-1.5251272390510695,0.25160406006782626,1.8845018324276799,-169.29174922850007,-66.14697784027418,173.9981712174416,
1413394891655,-1.860634,0.142751,1.862958,175.9665744975161,-68.37077941189004,-172.0980535315313,0.552280078757,0.0107273432396,0.278813999405,163.9343457820512,-69.61358734751052,16.621692584767437,-1.6129936254348132,0.24203160452487132,1.893628955629214,-172.48686479207066,-69.34370205988958,179.02615728799026,
1413394891755,-1.949946,0.143808,1.869307,174.87471359520475,-70.16008394099843,-170.94899527833073,0.65397661291,0.00396677269014,0.292554115668,162.35022251087423,-71.15703814656304,21.970661740391545,-1.7137030812377032,0.22724355766295143,1.9083122914117479,-174.07098806324763,-70.8871528589421,184.37512644361436,
1413394891855,-2.039005,0.139868,1.883871,173.65911355190642,-71.66489272773104,-169.59324955924617,0.741131695257,0.0221244770877,0.303592327233,159.79939487271454,-72.6155527822743,24.516161055363508,-1.7949090526482354,0.19115864887895473,1.920601403982544,-176.62181570140731,-72.34566749465337,186.92062575858634,
1413394891955,-2.125529,0.130108,1.913108,171.3047248929796,-74.88261699446679,-167.06095290411994,0.827948708031,0.0342600271415,0.334836107005,154.33193009750238,-75.55037504389313,30.40486640581667,-1.8769406364922072,0.16143833994907178,1.952976727080733,-182.08928047661948,-75.28048975627219,192.8093311090395,
