        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1413394888155,-1.07679,0.365302,1.657039,178.05865352781532,-69.25711403046085,-174.94954806654397,-0.128797735856,0.0214538876826,0.114964713851,172.65078844943216,-77.56820743199107,5.156689732680489,-0.9463508478588996,0.373361254754772,1.7228408800307498,-130.25839279579353,71.72311838048087,-132.23246615017337,
1413394888255,-1.103003,0.344365,1.686818,177.81817211874392,-70.07393320656442,-174.62489460970073,0.00686582482113,0.231512862221,0.154307020025,109.49773628230808,-73.97752657055284,-6.787030954023499,-1.0338441885220284,0.1400606247500814,1.7674830452317172,-99.50685978674638,62.143656289123534,-177.28102409770753,
1413394888355,-1.131716,0.320422,1.717459,177.31053318649722,-69.89941178405574,-173.9640969395311,-0.0734029306162,0.223338317782,0.128796929499,114.56675780299584,-79.02859667725707,-11.975640643830456,-0.9573289486081966,0.16463269947609874,1.740982249027158,-99.79315029668513,67.32527939575324,-177.79481370058988,
1413394888455,-1.163154,0.293589,1.749144,177.08540346454004,-69.46720754976072,-173.65209591159837,-0.170048742732,0.169655257237,0.147531160586,138.3302534735168,-83.25326216600907,-12.77170333841436,-0.8742376655673405,0.23804604725946626,1.7577027290826002,-104.66944390690969,72.57521987764468,-159.67332853275994,
1413394888555,-1.197491,0.264029,1.7778,178.8312687708655,-69.00070449532515,-175.27181049706698,-0.261498303156,-0.0516011228345,0.195662632446,-178.45865276190065,-82.45612218149267,-0.9144448488979715,-0.831772498814112,0.4746378212158338,1.800773467598401,-119.86130538285992,75.95516956089877,-119.54417494507314,
1413394888655,-1.235342,0.232464,1.79044,-179.75619030430056,-68.87479568359102,-176.474981899567,-0.238355959046,0.123279566953,0.163897701154,158.30379272242,-83.1532344386245,-11.905585796362237,-0.8172891830895652,0.29823462864717865,1.7724895175798474,-111.16865110862194,74.01070840594548,-145.1971335084443,
1413394888755,-1.276969,0.200304,1.791999,-177.9320128952572,-69.79095217296678,-178.11351557556068,-0.24887620709,0.117453588348,0.122112765582,159.041002912234,-84.96292192165967,-14.482833499597112,-0.8085190656518564,0.3053194930286894,1.730495610602837,-106.1641406381243,75.24544060257799,-142.21506876193715,
1413394888855,-1.3214,0.168774,1.793255,-175.25515525820742,-70.98721287858233,179.38442346938874,-0.261464409082,0.118432342161,0.0968174323122,163.89469344083167,-86.4272573465378,-19.006791580294433,-0.7961726843964796,0.3065326035304764,1.705091478922037,-101.99310227447741,76.35365125386178,-137.8547369438461,
1413394888955,-1.366545,0.139117,1.797447,-172.3227707455277,-71.7240490202892,176.65964694355952,-0.318242898078,0.102100377832,0.0554473452484,-162.12346220550666,-88.9461638669966,-58.406786112260995,-0.7444472504989708,0.3337456182516929,1.6628310329580351,-91.94849350097472,77.99385709254436,-133.49504722848778,
1413394889055,-1.410643,0.112858,1.80447,-170.87812881458277,-72.14834761268864,175.37916294376012,-0.387269078924,0.11445524609,0.0442808443576,-57.352521729493105,-88.91346949458803,-165.77899464468584,-0.674446547718482,0.3361594657245556,1.65116818147922,-84.07701800578714,78.56194301107678,-128.3980716033726,
1413394889155,-1.453128,0.090371,1.814088,-170.75767125843535,-72.4442245981826,175.30571570605613,-0.392415785266,0.12646200132,-0.0198269782511,-15.583768289256641,-86.57255832178735,131.32315309825378,-0.6672651067313047,0.3242269220181864,1.5872424043388853,-70.90757052771292,78.03850338955905,-136.65052437681655,
1413394889255,-1.493433,0.072089,1.829528,-172.42245413198452,-74.61292004802222,176.77769793983538,-0.388284020664,0.191438941476,-0.0467282355295,5.86890844299088,-84.62212681022326,106.37974035288565,-0.6576158273212136,0.25932975674136666,1.561590869885357,-64.68725774330265,75.93929168199631,-134.1381411643673,
1413394889355,-1.527451,0.056498,1.852462,-172.87571019316988,-79.65357753730297,177.12185977107433,-0.443104236145,0.175368377571,-0.0709115730113,8.06867588134378,-79.94299163241355,111.69385558777076,-0.6076386404015163,0.2862188733621446,1.5365387431030968,-51.418786620411865,72.86982932867187,-113.85371255151222,
1413394889455,-1.545773,0.043213,1.87889,-169.39488616832915,-85.19988471290358,173.5573319030458,-0.5301683878,0.0991686459211,-0.107261872445,7.517266809570776,-75.17589885258866,126.06205351362536,-0.539060221566716,0.3784674939395177,1.497872189758742,-41.454976568938264,69.34281367992085,-90.59053567678853,
1413394889555,-1.541368,0.032079,1.901051,-176.3931570820194,-85.65505536632585,-179.59239561678274,-0.63765646302,0.185706776456,-0.112174627588,6.409452809672494,-73.63773571402469,114.47603194023716,-0.41562332308371563,0.31674035846638016,1.4934267029182149,-38.30239507294213,68.26746349218196,-100.30414089999758,
1413394889655,-1.514912,0.022157,1.917907,-178.14598425949748,-79.65695470836766,-177.93402240533217,-0.70082138428,0.361599877005,-0.137088157245,8.896311786961114,-78.92565993775186,98.68335358863523,-0.3165605025765934,0.15787863026487,1.4711022104380702,-49.427652414981424,72.03450024465752,-124.15203266025863,
1413394889755,-1.474344,0.012758,1.93586,-179.289107631249,-71.82181744758546,-177.00533262590366,-0.70794268559,0.572059217504,-0.163855916012,25.55390042860782,-86.03341023325588,68.42869974455924,-0.2648911866241054,-0.04672821223027937,1.4481526649480767,-73.01389496821206,75.4377715363818,-160.53604567892026,
1413394889855,-1.433018,0.002365,1.955179,-178.89991815099265,-65.09775493281269,-177.48173540781212,-0.756138357587,0.688198058484,-0.177989018964,141.6942768848544,-87.10050703771032,-44.49430430692249,-0.19312750963640735,-0.15019178184386037,1.435660178786668,-96.67526934784334,75.76379618863795,179.6529544989957,
1413394889955,-1.403406,-0.008826,1.9736,-178.10776806172126,-60.100101148071786,-178.3835292522632,-0.826616595216,0.743899005669,-0.180482638377,162.20728491293315,-83.56446972348408,-58.34326682556084,-0.11240920324328285,-0.1896339096976769,1.4334535529095176,-111.1297792928963,74.62106142896081,172.2799551102101,
1413394890055,-1.392651,-0.020631,1.982656,-178.2407205687079,-56.328931805143164,-178.43459768909267,-0.912774974567,0.788383207551,-0.210756253928,168.3200232817081,-79.66708637251921,-61.644050811910326,-0.01894033470884038,-0.21534165095563831,1.403100875889131,-123.498239958535,72.6504156966528,163.15738672117183,
1413394890155,-1.405284,-0.032978,1.984744,-176.69420203018007,-55.74838486375299,179.9367529166474,-0.979134818219,0.863136367805,-0.253299823858,174.58136953115977,-78.95222401906443,-68.23940322146925,0.061562981637785064,-0.27508463773163205,1.3612486268677761,-127.9723564138527,72.98393855825853,158.44040846397442,
1413394890255,-1.444573,-0.045032,1.98504,-173.93175806509518,-60.549915539617025,177.1942382058108,-1.0484009995,0.923914787428,-0.292157802017,-178.56800089897743,-84.03664222825788,-76.13987201030632,0.14194891491277217,-0.32048269706052074,1.3227924106159503,-113.82746376739345,76.63122589355952,170.98420788938964,
1413394890355,-1.503423,-0.054055,1.9773,-168.837057005485,-67.07151172195897,172.18811083449668,-1.11981342836,0.974283779219,-0.372124866979,-114.50749088225609,-88.49425875769762,-138.68206190896137,0.22195061222003265,-0.35608939947461854,1.243021532599506,-90.24429469922971,79.05388197813132,-164.49437586295033,
1413394890455,-1.56815,-0.057833,1.963688,-161.2043701094746,-73.51090722174793,164.74852698982284,-1.25304466254,1.00297169355,-0.455202763447,-28.433588428482985,-84.08900341026529,133.952868577977,0.3577043416068034,-0.35740759039708264,1.1590889262917554,-58.32037063367524,79.01060202892242,-134.49333987423674,
1413394890555,-1.62593,-0.053561,1.947091,-151.02355995775562,-79.36620991032295,154.64776907297085,-1.37196867113,1.07712426646,-0.511220448245,-14.090805412673868,-77.54910040009412,118.3534522044057,0.489347867165122,-0.4056363107420276,1.1032008451752888,-34.938141516034875,74.55002994252186,-113.11314651689194,
1413394890655,-1.666216,-0.042037,1.930624,-144.6297262073983,-83.28540259407373,148.41859168534702,-1.48533295671,1.14046231003,-0.560650220342,-6.022294728424486,-73.31403421631664,109.77024850620477,0.6132952552153976,-0.4443522245414873,1.0537580055310334,-29.792076185082923,70.12688594354223,-108.97366147067216,
1413394890755,-1.68328,-0.023567,1.916654,-148.1404151836065,-85.06151504255773,151.98318086383912,-1.64092889557,1.16614912571,-0.629133878405,-1.1641263745390151,-72.22203023212082,107.56317319360983,0.7703514644591376,-0.4376770072408798,0.9841253355896235,-31.17651486170824,68.38890079463779,-107.83504328349377,
1413394890855,-1.675852,-0.000602,1.899427,-169.78481144422383,-80.99383295332785,173.6995542610526,-1.74190170201,1.32574452757,-0.706612874742,3.4845066457838074,-76.82595433476062,101.9176490160414,0.9025420863099018,-0.5736288410546111,0.9085480031016003,-42.28445864709081,71.23825285702287,-119.429420932656,
