        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1413394888755,-1.276969,0.200304,1.791999,-177.9320128952572,-69.79061404978434,-178.11351557556068,0.262744698118,0.203778834279,0.446222157335,172.15871869660634,-69.73452460749682,-0.47004935114468405,-1.2878914124993606,0.11854931945474713,2.061515174819933,-177.93201289525723,-69.79061404978434,-178.11351557556068,
1413394888855,-1.3214,0.168774,1.793255,-175.25515525820742,-70.98718982226075,179.38442346938874,0.312606065188,0.224033204949,0.446683442726,174.06279497398708,-71.12802238091693,-2.416484701628756,-1.3322824113715803,0.08814871820758971,2.062875654322494,-176.0279366178765,-71.18411182320445,-180.05995092604473,
1413394888955,-1.366545,0.139117,1.797447,-172.3227707455277,-71.72385162056396,176.65964694355952,0.366071586883,0.2423196118,0.450144093279,176.00589572395313,-71.944546981101,-4.5010778896575925,-1.3805952078145152,0.05896330970025247,2.06723643613453,-174.08483586791044,-72.00063642338851,-182.14454411407357,
1413394889055,-1.410643,0.112858,1.80447,-170.87812881458277,-72.14828732531811,175.37916294376012,0.417694093857,0.25730303209,0.456331270954,176.8013745845175,-72.4568143847774,-5.471038097731367,-1.4277944886961222,0.03345238476743037,2.0742427098075007,-173.28935700734607,-72.51290382706492,-183.11450432214735,
1413394889255,-1.493433,0.072089,1.829528,-172.42245413198452,-74.61124527768398,176.77769793983538,0.512934592181,0.277208506112,0.478597472983,172.7678820795248,-74.76843745607471,-2.033448120566494,-1.51645565255596,-0.005834893399048413,2.0978747212988935,-177.32284951233876,-74.82452689836222,-179.6769143449825,
1413394889355,-1.527451,0.056498,1.852462,-172.87571019316988,-79.64842301800458,177.12185977107433,0.553029246588,0.285255555592,0.499701307456,165.19180696970008,-79.4597128463388,5.47266617368389,-1.5537769691518755,-0.021811056231366963,2.119544739654142,-184.8989246221635,-79.51580228862632,-172.1708000507321,
1413394889455,-1.545773,0.043213,1.87889,-169.39488616832915,-85.19010933778088,173.5573319030458,0.577765722381,0.296948178558,0.523899231583,147.35936940462366,-84.30692054067895,23.624862977096726,-1.5752966199605507,-0.038012806326584395,2.144213710477092,-202.7313621872399,-84.36300998296646,-154.01860324731928,
1413394889555,-1.541368,0.032079,1.901051,-176.3931570820194,-85.65074469335897,-179.59239561678274,0.576239974293,0.313496383098,0.543685961268,141.59742148392075,-84.40363856203341,29.86066163450029,-1.5701512613124506,-0.05345083025136761,2.164285540339693,-208.49331010794282,-84.45972800432092,-147.7828045899157,
1413394889655,-1.514912,0.022157,1.917907,-178.14598425949748,-79.64787743893525,-177.93402240533217,0.550940558789,0.333751047657,0.558552893611,162.79329367788264,-78.92971284533272,9.141531740900076,-1.5410204417031217,-0.06754325296781605,2.1792567296512564,-187.29743791398093,-78.98580228762023,-168.50193448351592,
1413394889755,-1.474344,0.012758,1.93586,-179.289107631249,-71.81425732333784,-177.00533262590366,0.510142810625,0.356337578725,0.575014189991,170.71969862960486,-71.01567747158288,1.8392396635393615,-1.496240715378085,-0.08057857102194695,2.1957017444865046,-179.3710329622587,-71.07176691387039,-175.80422656087663,
