        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1413394882855,-1.054249,0.427682,1.332841,-175.2393912266164,-74.47148947545027,-179.80723518437415,0.00272209248141,0.0028276328993,-0.000179593761794,-177.98336072117203,-74.1113690884502,0.16869381317511878,-1.0795462139042324,0.3611935670075694,1.6087639058960883,-142.65948110712176,70.63811144413933,-139.87727432130177,
1413394882955,-1.055148,0.427327,1.332843,-175.26200262519515,-74.4756659424107,-179.8137055209348,0.00232899571684,0.00250670063406,0.000155347874056,-178.03795668942115,-74.10339574599067,0.2096638263592449,-1.0792284812991033,0.36159762258183553,1.6090887036318495,-142.64035095229175,70.62240062946493,-139.870766084634,
1413394883055,-1.055522,0.42712,1.33281,-175.2329576938373,-74.46054661403988,-179.83185664871172,0.00240145656783,0.00235101686699,0.000226729063505,-178.0236731797743,-74.09774901733888,0.22271065547217267,-1.0793320209985031,0.36173570538603556,1.609157956460636,-142.6603159156007,70.62058059196023,-139.86281606697966,
1413394883155,-1.055659,0.427093,1.332806,-175.2382630286978,-74.47064786960362,-179.82693797900185,0.0019818874716,0.0019244772162,0.00023450805144,-178.01255584412507,-74.10458752316781,0.2157656887564773,-1.0790130257086517,0.36224192311026876,1.6091534361082842,-142.65412767625014,70.62777956222718,-139.8532312161042,
1413394883255,-1.055653,0.427194,1.332843,-175.187476519546,-74.47376845933496,-179.8923132363646,0.00180327951427,0.00181786741881,0.000102370383232,-177.96936898731457,-74.11149850764687,0.17109257108305423,-1.0788621049882685,0.3623814405676848,1.6090174779164907,-142.668087305179,70.64067061410873,-139.86953789469607,
1413394883355,-1.055519,0.427247,1.332894,-175.14090534638717,-74.45993318671844,-179.9255430654694,0.00188101200604,0.00193579520081,-0.000303366409049,-177.9228371268194,-74.1100081567876,0.1527296535294696,-1.0789154764904085,0.3622414492194642,1.6086148297427245,-142.7004348779468,70.6477114191898,-139.87366604959618,
1413394883455,-1.055414,0.427355,1.332956,-175.1587652135974,-74.46400860946957,-179.8973104194546,0.00209979192083,0.0031046484897,-0.00094777138161,-177.9138911894684,-74.12139488559413,0.1616525081615627,-1.0788840463782916,0.3610399924438152,1.607994463564548,-142.68401112602928,70.658009364622,-139.84064256466803,
1413394883555,-1.055358,0.427514,1.333009,-175.18732529147135,-74.46417433586171,-179.8815206690834,0.00256336711205,0.00452122137168,-0.00125427178877,-177.93209728283554,-74.12135042614895,0.1807675104599789,-1.079036800340637,0.359551250362684,1.607719079414093,-142.67257638792773,70.6547738299762,-139.82824973669162,
1413394883655,-1.055216,0.427318,1.33317,-175.2669077683882,-74.42297829938528,-179.75184427689928,0.00599446612619,0.00752588924177,-0.00676139299039,-177.82123155202314,-74.11872397422842,0.06359221643780946,-1.0817831197548853,0.35577334187099613,1.602304839810319,-142.74784875847553,70.67226489404298,-139.9098165419042,
1413394883755,-1.055198,0.427263,1.333074,-175.14147577163592,-74.43914839816622,-179.8964448186615,0.00622921380925,0.00960828689598,-0.00707230398543,-177.82866522558334,-74.12425099679946,0.04679087839906903,-1.0815703507422294,0.35368287970804835,1.6020349335222577,-142.73240139044552,70.67518880694553,-139.9191910161956,
1413394883855,-1.055044,0.427234,1.332908,-175.11174029401676,-74.44574808292931,-179.9448014538817,0.00570808674084,0.00936367432396,-0.00651280972533,-177.7659068861629,-74.13056118575851,0.007052641111325903,-1.0811098332865636,0.3540442231951058,1.6025842941654538,-142.759845646869,70.69106385186905,-139.92446299150006,
1413394883955,-1.054994,0.427232,1.332747,-175.15649314225826,-74.43703654646004,-179.90122481017946,0.00556305315155,0.00806955203197,-0.00601070796334,-177.77817567834677,-74.12225871217889,0.027741199324241263,-1.081240930395606,0.35534944319382333,1.6030608523790957,-142.76823558230035,70.6825496143545,-139.92349317595037,
