        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403636859701,4.614772,-1.828672,0.816032,-175.61166586118196,-70.10370611916873,158.29279169811738,0.0142724533718,-0.0712236830009,0.234940721503,-177.61310813920264,-70.80380578414677,4.312677304434196,4.610223363223752,-1.831735493165883,0.8142579720533247,127.36328623410445,58.4305011351335,129.25033582313048,
1403636859801,4.610965,-1.825128,0.863199,-178.01594681888108,-71.42623021413937,159.9129542894962,0.0169449189361,-0.0723663077453,0.278605429902,179.99383929355866,-72.42129116837629,6.299692779204162,4.608948995864931,-1.829365020723184,0.8579364710122148,125.51864998172177,59.944667593840876,127.38177865073393,
1403636859901,4.609292,-1.823567,0.906944,179.5351540093922,-72.1706218446726,161.7924177470485,0.0173057355719,-0.0732527421911,0.318932170354,177.60239018604045,-73.29339021839772,8.348223761922934,4.609603016283451,-1.8282323969488663,0.8982533579311271,124.68611549264486,60.988063544528465,126.42061500592374,
1403636860001,4.610414,-1.822605,0.940993,179.04682210951862,-72.39519274044954,161.92627597187087,0.0172261458905,-0.0754496753816,0.351069741436,178.08418068017622,-73.55873682891844,8.509113185081574,4.611095152440062,-1.826140947285639,0.9303634138795029,124.06998029387994,60.99146686293469,126.50444731847362,
1403636860101,4.61224,-1.818754,0.951655,179.42405733263217,-71.9999031295135,161.09190736367657,0.0203368655182,-0.0806883572482,0.362986464379,179.80365318083832,-73.06429723644972,7.516761412459476,4.610709756164211,-1.8200220172195782,0.9422604225186125,124.46407294558675,60.31995797403721,127.50270293506946,
1403636860201,4.614639,-1.814363,0.929578,-179.59433408835721,-71.15183565792637,160.0289171409399,0.0230139080053,-0.0880175211465,0.344830986298,-177.66027804843637,-72.11898673852457,6.307656845114508,4.61116553699098,-1.8123329483726556,0.9240622064417332,125.27489565159729,59.178903869675565,129.41407556617614,
1403636860301,4.618533,-1.813117,0.881456,-177.52574989122695,-69.58907124299691,158.21661340779053,0.0223590148759,-0.0914518932514,0.297414385532,-175.0329538243947,-70.49212654400405,4.48877221373492,4.612525030013972,-1.8097199938829027,0.8766082068998295,126.89211215401141,57.55549301204889,131.46130149577863,
1403636860401,4.623504,-1.812416,0.822097,-176.44046623793415,-67.09614103467007,157.0040041984122,0.0199101834354,-0.0936118191475,0.239078507177,-173.73681354278074,-67.83379362688609,3.529269381780624,4.614795803704407,-1.8090758391082693,0.8182287121244964,130.11763422690368,55.525951114760495,134.40511840154954,
1403636860501,4.629125,-1.81338,0.765,-175.4323328641002,-64.37504677143355,155.93630211689253,0.0145661566819,-0.0950356999619,0.182382015736,-173.1495613232806,-65.14881697694608,2.6168817284895365,4.619390225394121,-1.810331474696795,0.7614625878174675,133.2610891136195,53.54101306443168,136.59219130863113,
1403636860601,4.634025,-1.814767,0.71997,-174.47831154856547,-62.22645770473472,155.25531314346122,0.00912286259273,-0.0959859804421,0.137083596493,-172.8352643131672,-62.970525850440936,1.836803539358817,4.624040664111674,-1.8120074288419052,0.7160969194449569,135.6406101615858,51.90160383142334,137.98847157214811,
1403636860701,4.638162,-1.815817,0.689073,-174.1227749040713,-61.35196743785242,155.49179674181,0.0031883330186,-0.0973334840734,0.107461169029,-173.23605780819884,-61.992358858497965,1.8035166137802328,4.629538291681509,-1.8134664843540902,0.6863955749589192,136.94144539095905,51.319738447253336,138.6193597392471,
1403636860801,4.641532,-1.816127,0.681114,-175.69186342651332,-61.41865510767439,157.31317162479843,-0.00105475801731,-0.0987384333419,0.0998611754801,-175.3943806109337,-61.82214900404813,3.391777306233972,4.633860321419007,-1.8140512376154816,0.6787329560527697,138.31557201203833,51.89736512235274,139.38058020403875,
