        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403636859701,4.614772,-1.828672,0.816032,-175.61166586118196,-70.10370611916873,158.29279169811738,-0.00224566586823,-0.0724389748901,0.235048894472,0.7813048665775361,19.201476532337903,-6.366748467918522,4.606597118395987,-1.8307514921844352,0.815589194725954,-3.192453159793154,-19.765979539262954,-176.38232937810287,
1403636859801,4.610965,-1.825128,0.863199,-178.01594681888108,-71.42623021413937,159.9129542894962,0.000688612335486,-0.0743159995737,0.27910151245,-0.06578059527237494,17.807724491278297,-7.282009017521781,4.604746814719338,-1.8277692385555049,0.8596397214033067,-2.1002129012026205,-18.531795069828718,-177.3870285149251,
1403636859901,4.609292,-1.823567,0.906944,179.5351540093922,-72.1706218446726,161.7924177470485,-1.20750066385e-05,-0.0746386980125,0.318781200858,-0.8523453557254876,16.77838788375689,-7.92909702050845,4.606155788808025,-1.826978225264706,0.8992940006072081,-1.1363598904642487,-17.646298909219436,-178.09957673646656,
1403636860001,4.610414,-1.822605,0.940993,179.04682210951862,-72.39519274044954,161.92627597187087,-0.00214209924552,-0.0760992899664,0.350640570529,-0.7937313209753027,16.393954169854446,-8.287871288306997,4.609029118066047,-1.8254136660966152,0.9310900050972692,-1.1256559900297893,-17.257916816418895,-178.47829309887103,
1403636860101,4.61224,-1.818754,0.951655,179.42405733263217,-71.9999031295135,161.09190736367657,-0.00211268834168,-0.0820740720023,0.362993249376,-0.27947035094749634,16.783447272784453,-8.733780592196812,4.6101807783594175,-1.8193321038806674,0.9433364674295975,-1.7042342476756174,-17.55761847436683,-178.89793006057994,
1403636860201,4.614639,-1.814363,0.929578,-179.59433408835721,-71.15183565792637,160.0289171409399,-0.00356249338712,-0.0904878168652,0.344841798748,0.6382926066642872,17.55757805748631,-8.766005933512329,4.612677752041845,-1.8115372443207014,0.925023262247048,-2.751189592313178,-18.17014332025442,-178.8799323037261,
1403636860301,4.618533,-1.813117,0.881456,-177.52574989122695,-69.58907124299691,158.21661340779053,-0.00580651408177,-0.0944386619222,0.297352941984,1.8322202974279003,19.062652435672355,-8.337176694138465,4.614739180361525,-1.8087085957618056,0.8774461082452877,-4.204963625950889,-19.457147984552854,-178.35735069914037,
1403636860401,4.623504,-1.812416,0.822097,-176.44046623793415,-67.09614103467007,157.0040041984122,-0.00960097260739,-0.0951094021036,0.238964345404,2.4441418690446466,21.318539918137116,-8.283126700437041,4.617612887082359,-1.809529998009557,0.8190068823220639,-5.229232064378169,-21.578166376294405,-178.15547265568023,
1403636860501,4.629125,-1.81338,0.765,-175.4323328641002,-64.37504677143355,155.93630211689253,-0.0145562422794,-0.094802249161,0.182359576287,2.9414731188437706,23.726672431794622,-8.118635733804922,4.621502278045484,-1.8114791297673927,0.7623515873306164,-6.182427381426009,-23.866668699235454,-177.81325796019698,
1403636860601,4.634025,-1.814767,0.71997,-174.47831154856547,-62.22645770473472,155.25531314346122,-0.0189042345791,-0.0943831514903,0.137110478279,3.249781205675322,25.92004331482578,-7.6530523961740915,4.624964713369015,-1.8132715860471036,0.7170596433168174,-6.922338948818153,-25.973555873141294,-177.16531204844938,
1403636860701,4.638162,-1.815817,0.689073,-174.1227749040713,-61.35196743785242,155.49179674181,-0.0246422866108,-0.0946606299872,0.107758426047,2.923174987205869,27.301435432816053,-7.059283040171824,4.630178428230566,-1.8143685578303672,0.6876290633715638,-6.884177885284417,-27.38505986575902,-176.44237158475704,
1403636860801,4.641532,-1.816127,0.681114,-175.69186342651332,-61.41865510767439,157.31317162479843,-0.0294682103057,-0.0954608616696,0.100405044794,1.6576666842218515,27.879356953557846,-7.094699467812452,4.634946292778005,-1.8144755290956618,0.6801954807284392,-5.759068269780309,-28.160272000563204,-176.41593126941942,
1403636860901,4.642317,-1.815358,0.699657,-176.98092428334186,-61.547557743592385,158.950989984837,-0.0319674004339,-0.0961614176649,0.120145751022,0.6840754293461505,28.197312188867944,-6.982551494728643,4.637856801621778,-1.8139002662631332,0.6998838078113445,-4.866257279082524,-28.632184268359456,-176.2707255701926,
1403636861001,4.640542,-1.813174,0.742714,-177.57353000735054,-62.01504923095983,159.90196441301364,-0.0309052393263,-0.0969391281786,0.164224555254,0.2696089422448493,27.859776392506223,-6.724717189696917,4.63767462970144,-1.8123076108995038,0.7439531198625752,-4.385907705369613,-28.368404570088597,-176.04733405919714,
1403636861101,4.63603,-1.809537,0.800072,-177.58145972267323,-63.63160330756126,159.9244246758895,-0.0271425121381,-0.098298304854,0.222508318469,0.14665243801391772,26.335419259050845,-6.735396575014569,4.6351612466335,-1.8094904620641183,0.8022519115277806,-3.947866019510052,-26.890214393758257,-176.2051600600338,
1403636861201,4.629793,-1.804637,0.862069,-177.708749745585,-66.2080385237787,159.97042354501232,-0.0220665597172,-0.100450278165,0.285427236854,-0.017224117484854834,23.75431512910245,-6.829342163822944,4.631559266482194,-1.8056083399575604,0.865189511099008,-3.268258878547609,-24.378478504756995,-176.52380385562785,
1403636861301,4.624456,-1.799716,0.923626,-177.38962345851965,-69.03131986753915,159.65647980030712,-0.0183401945044,-0.102941769799,0.347771740397,-0.023184849165833663,20.907559517904595,-6.801113689085835,4.629334338732867,-1.8016200417900785,0.9275278911270624,-2.714927564160031,-21.57765505157596,-176.7093846018977,
1403636861401,4.628783,-1.798197,0.979424,-176.3280801853768,-71.26786925778069,158.36650941945496,-0.0160832104371,-0.105918835539,0.39871667879,0.1988975612047615,18.60675139243557,-6.957133557168927,4.628446972495643,-1.797561186459907,0.9784403838958973,-2.507491783660275,-19.27556608202718,-177.01290243768673,
1403636861501,4.627604,-1.794285,1.005275,-175.85284676810136,-72.64712741931886,157.59811251816714,-0.0148477336912,-0.108977200444,0.423377997229,0.22589933677598836,17.184087677895864,-7.221202298513565,4.628139958920648,-1.7939776882897422,1.0030599880633235,-2.276082611860962,-17.869679258903712,-177.35897987994946,
1403636861601,4.626729,-1.791286,0.996793,-176.18382325329722,-72.51144666483465,157.69147544702162,-0.0141505075917,-0.111641507518,0.414868660782,0.0999724311421986,17.379782629903765,-7.4625428675299865,4.6277436588080265,-1.7913614984978588,0.9945164548141219,-2.186795845931535,-18.08308457337508,-177.59046696701648,
1403636861701,4.626201,-1.790791,0.958711,-175.95110444252478,-71.26331874188628,157.66438785616978,-0.0133065683832,-0.113118843324,0.377107873727,0.25851920472791967,18.717019982993467,-7.2426929148353665,4.626518853885813,-1.79032504312119,0.9567514259297283,-2.5866377921847934,-19.37441869702986,-177.29134821796399,
