        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403636859701,4.614772,-1.828672,0.816032,-175.61166586118196,-70.10370611916873,158.29279169811738,-0.0146842026679,-0.0592385795257,0.234635753848,-2.019486599314382,15.733726071481717,-6.368120325886801,4.61670967890331,-1.845809541704407,0.8152292151317604,0.20569885084763576,-16.807465539020843,-176.60934388589888,
1403636859801,4.610965,-1.825128,0.863199,-178.01594681888108,-71.42623021413937,159.9129542894962,-0.0127150581322,-0.0598749153299,0.278526775274,-2.624340825189564,14.688914825620513,-7.2125810655101255,4.615606590291631,-1.8442111070245362,0.8591260534844793,0.9891608970556909,-15.876294675618992,-177.51554684744198,
1403636859901,4.609292,-1.823567,0.906944,179.5351540093922,-72.1706218446726,161.7924177470485,-0.0133579320922,-0.0602810059994,0.318919672343,-3.1002599160884694,14.11314970680732,-7.83614558586552,4.616984076687694,-1.8433178422143968,0.8994927345394628,1.5615360364658382,-15.38622711864769,-178.17497104904882,
1403636860001,4.610414,-1.822605,0.940993,179.04682210951862,-72.39519274044954,161.92627597187087,-0.0141913655353,-0.062148435322,0.351697792966,-2.812332056067955,14.251386640324096,-8.201680255522541,4.618660026213689,-1.841126747675252,0.9322185254857756,1.251975572405458,-15.475624924217943,-178.52868338835228,
1403636860101,4.61224,-1.818754,0.951655,179.42405733263217,-71.9999031295135,161.09190736367657,-0.0125274832865,-0.0701132760926,0.364123415095,-1.8591307959918313,15.006718758871608,-8.677148971895313,4.618524800352194,-1.8328142014405036,0.944526513420167,0.1750721218690797,-16.06477864635085,-178.95221062578915,
1403636860201,4.614639,-1.814363,0.929578,-179.59433408835721,-71.15183565792637,160.0289171409399,-0.0123739696916,-0.077240405761,0.344522112175,-1.2669176757402438,15.853833388198884,-8.743156526976255,4.619206153031942,-1.826048349938807,0.9248087642616449,-0.5610846779360439,-16.802980066918604,-178.9675191965565,
1403636860301,4.618533,-1.813117,0.881456,-177.52574989122695,-69.58907124299691,158.21661340779053,-0.0128725224088,-0.0818441833208,0.297608852044,-0.3479582077357226,17.435781801052247,-8.381251663263445,4.619661737202597,-1.8222822169287471,0.8778204041714608,-1.7537701742652394,-18.211531709014924,-178.51003887444486,
1403636860401,4.623504,-1.812416,0.822097,-176.44046623793415,-67.09614103467007,157.0040041984122,-0.0145773415534,-0.0859083812943,0.239840282071,0.5691633966899297,20.01838257758746,-8.41715481820359,4.621037395506889,-1.8194058297193132,0.8199717589750499,-3.1340643391846976,-20.605185219867852,-178.38168433124184,
1403636860501,4.629125,-1.81338,0.765,-175.4323328641002,-64.37504677143355,155.93630211689253,-0.0180146853023,-0.088066790585,0.183653304665,1.336632884556149,22.92551237191708,-8.323946500358083,4.623838136325207,-1.818668820506709,0.7637128649135261,-4.444044175642202,-23.341234562752145,-178.0791817080656,
1403636860601,4.634025,-1.814767,0.71997,-174.47831154856547,-62.22645770473472,155.25531314346122,-0.0217973189494,-0.0887857454761,0.138459935927,2.025502409049839,25.340062184729288,-7.871765939089205,4.626929231835025,-1.8192455167835269,0.718464899862201,-5.599824090999787,-25.60371639964645,-177.42981709731242,
1403636860701,4.638162,-1.815817,0.689073,-174.1227749040713,-61.35196743785242,155.49179674181,-0.026834497143,-0.0890577530591,0.108892247113,2.15377788332882,26.500985001385395,-7.230043877095633,4.631447034215713,-1.8202366920811115,0.6888287326461229,-5.961786793114708,-26.72421357712613,-176.6845578006088,
1403636860801,4.641532,-1.816127,0.681114,-175.69186342651332,-61.41865510767439,157.31317162479843,-0.0311930074984,-0.0893782843828,0.101387195121,1.1434907027702883,26.97262050938267,-7.224753900227088,4.63567308892285,-1.8207428403603632,0.6812584331948519,-5.06309770398177,-27.35333529834982,-176.63328461836952,
1403636860901,4.642317,-1.815358,0.699657,-176.98092428334186,-61.547557743592385,158.950989984837,-0.0339795256675,-0.0898801637458,0.121118499943,0.15297674738801736,27.3068477276661,-7.115725372345625,4.638834512188446,-1.820410599854151,0.7009367455097381,-4.154883826391688,-27.84410452828977,-176.493174963509,
1403636861001,4.640542,-1.813174,0.742714,-177.57353000735054,-62.01504923095983,159.90196441301364,-0.0336377629728,-0.0903243005612,0.165002798708,-0.3212905797969353,26.996894398614437,-6.8651152062190315,4.639305390309293,-1.8192674565024902,0.7448072052112151,-3.6218133242725123,-27.617124169203635,-176.27417844805944,
1403636861101,4.63603,-1.809537,0.800072,-177.58145972267323,-63.63160330756126,159.9244246758895,-0.0307252278216,-0.091107258066,0.222967846766,-0.47884736826431046,25.484044374968974,-6.864040455717175,4.637531475944137,-1.8171622051237815,0.8027853375050816,-3.1563328063915357,-26.155501931105377,-176.41395393040884,
1403636861201,4.629793,-1.804637,0.862069,-177.708749745585,-66.2080385237787,159.97042354501232,-0.0265396775828,-0.0926297104488,0.285593432234,-0.7319882589752768,22.921923542202173,-6.938820918771157,4.6347003713508785,-1.8140507485327686,0.8654280093185784,-2.3987408745235324,-23.67642911461989,-176.7041713326746,
1403636861301,4.624456,-1.799716,0.923626,-177.38962345851965,-69.03131986753915,159.65647980030712,-0.023633618052,-0.0942868629456,0.347636319419,-0.8560365160023654,20.085577088242516,-6.87861187815854,4.6331436552227245,-1.8110238480219067,0.9274677199468406,-1.736755439543228,-20.90458655384204,-176.84964579732826,
1403636861401,4.628783,-1.798197,0.979424,-176.3280801853768,-71.26786925778069,158.36650941945496,-0.0221193880083,-0.0964743841461,0.398445749386,-0.6629465540787768,17.794245232329917,-6.997884162308997,4.632858080437024,-1.8078670873104015,0.9782479289268304,-1.5068682031986578,-18.616191317984143,-177.10934066691487,
1403636861501,4.627604,-1.794285,1.005275,-175.85284676810136,-72.64712741931886,157.59811251816714,-0.0211111446216,-0.0991888658633,0.422901006275,-0.5928278947016378,16.392514307074375,-7.242017692126794,4.632715740035526,-1.804662956992891,1.0026642727019603,-1.3242516520237932,-17.223657121043754,-177.43027873473878,
1403636861601,4.626729,-1.791286,0.996793,-176.18382325329722,-72.51144666483465,157.69147544702162,-0.0200653122904,-0.102100296756,0.414572486864,-0.6814796469264596,16.634597332133314,-7.489770576350032,4.6320188431416875,-1.8017434159543677,0.994302153022651,-1.2797552075814227,-17.476687727459108,-177.6661023442409,
1403636861701,4.626201,-1.790791,0.958711,-175.95110444252478,-71.26331874188628,157.66438785616978,-0.0186619465435,-0.104415003062,0.377218143923,-0.4532669402763846,18.01160433258647,-7.302490647749118,4.630385432929213,-1.7997835975429293,0.9569368573577108,-1.7538266078299674,-18.79602605055242,-177.39920071602444,
