        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403636867901,4.710629,-1.830642,0.798624,-176.6607095507634,-38.32009589252833,158.59936265090536,-0.0913639593644,-0.00759682687553,-0.069646536586,-5.249876775511725,44.962622049666514,-1.2384363479732414,4.678837693499992,-1.9137690609066103,0.5108347645784419,-3.3871416024698053,-46.010001879354206,-167.85728458787452,
1403636868001,4.710397,-1.831175,0.801795,-176.4162024228046,-38.15643382749944,157.94172823573567,-0.0919586638743,-0.00705355253644,-0.0679080584888,-4.97055084080501,46.2349891633556,-1.5490505400926557,4.679364979922816,-1.9143763283686874,0.5125738223157987,-4.097287304665596,-47.20126939252659,-167.8514250777329,
1403636868101,4.709648,-1.832034,0.807273,-176.2582459847809,-39.954927035536194,157.7039884049455,-0.0832999605897,-0.00504294156093,-0.0522601806908,-5.054135004014678,48.2132729622481,-1.5248622419240065,4.67075792126472,-1.9147151484822773,0.5283749463528233,-4.7304440296620465,-49.13481178280879,-167.29403855184472,
1403636868201,4.711315,-1.834023,0.810403,-175.928746460002,-41.20962883643127,157.55218897462646,-0.0850491959867,-0.00281552384823,-0.0472763259847,-4.831974716472151,48.13763504710085,-1.109823255234928,4.672204112431732,-1.917124201062829,0.5333714469927788,-4.9213253106719135,-49.02509915013498,-166.90031673289553,
1403636868301,4.715379,-1.838091,0.811265,-175.55583278686137,-41.224478450237875,157.21506266998222,-0.0908348776943,-0.000377111721616,-0.0457655311484,-4.314663279456628,48.603890219840025,-0.8260747922616128,4.677539621832868,-1.920451530887159,0.5348423933646016,-5.607091802541183,-49.392216709627924,-166.4840469636897,
1403636868401,4.720415,-1.845379,0.811443,-175.15732499045092,-40.82788497427593,156.66702825055165,-0.0985927610675,0.00459895069238,-0.0461319766686,-3.6274430078028006,49.010253680058796,-0.6978906661643391,4.684375708366462,-1.9266318451081914,0.5344526871496588,-6.438258505979536,-49.673260180590496,-166.2406603970159,
1403636868501,4.724852,-1.854292,0.813279,-175.2832938953618,-41.63860734795965,156.36259207853968,-0.106120198115,0.012047588005,-0.0450747822934,-3.5380183407546544,48.1903825224645,-1.0304907792414792,4.690605416430813,-1.9351926387409164,0.5355323704721279,-6.2148873768171535,-48.864283222950796,-166.80961121088103,
1403636868601,4.728853,-1.86224,0.818404,-175.53801317097842,-42.82339332351055,155.82654030830653,-0.112833667734,0.0189987015376,-0.040538433825,-3.317335879111288,47.00684927219849,-1.6270656115423796,4.696171547314997,-1.9430783221473729,0.5400932141756942,-5.999817296084288,-47.6800519329951,-167.7296740454607,
1403636868701,4.734126,-1.868862,0.822925,-175.64272107959118,-42.80014442904574,155.55278574508668,-0.12005763459,0.0242779375617,-0.0359533285582,-2.907648000676432,47.05541674004954,-1.8686532537460965,4.702514531998485,-1.9493973213176974,0.5446666172011072,-6.419676560802151,-47.660101416240344,-167.9606468477316,
1403636868801,4.740004,-1.875939,0.82397,-175.99578337027097,-41.925899230214455,156.31939371947954,-0.128219776199,0.0291651393154,-0.0351263891103,-2.5092592757252623,47.98367499487822,-1.403866266558147,4.70978390111601,-1.9555382964288506,0.5454627470866196,-7.147214458455599,-48.495437707333835,-167.2483408881011,
