        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715531762,1.460146,2.767335,1.964701,-171.60141774593117,-69.20514331765476,-15.953301054887646,0.122183032549,0.205789876329,0.117594934077,-3.8506313481544603,10.284881324964301,8.406215735968445,0.9441644314865171,2.0424466407410273,1.2841052008429863,-1.7534213611570215,10.485751601394707,38.11487059524088,
1403715531862,1.511079,2.779364,1.965188,-175.47789449491032,-70.55060336990724,-12.464662079413788,0.261608085392,0.322136150673,0.0915616543466,-3.0938923068914126,7.725404803480189,11.158666882354128,1.1224730545152195,2.0775389269008455,1.259043298017993,-2.375629727165756,7.891095155312848,40.64946161526459,
1403715531962,1.55913,2.789205,1.966666,-177.96693861492676,-71.84317990678564,-10.324868497826959,0.328649162653,0.459905064753,0.210957588056,-3.9853922271088424,8.33114700262272,7.519431664271083,1.2489597451325527,2.1577326679609516,1.3827374761546252,-2.8504187759331483,8.853147770912939,37.06560617674921,
1403715532062,1.60223,2.799142,1.966577,-179.5928282893758,-72.42163934024661,-8.9576099147862,0.449696848288,0.571292006903,0.23617756415,-4.84048822456972,8.63564460022593,7.638233119879357,1.4091260037821245,2.194346988714421,1.4092290102600644,-3.443454687569156,9.535265491889021,37.215797919551676,
1403715532162,1.640021,2.809467,1.965778,178.87447483856283,-72.68939938480787,-7.613851448427163,0.424646147554,0.537853692375,0.231882113254,-5.345619794568714,9.918202772333514,6.963359605992513,1.3709166924529144,2.177662407305055,1.404151347896382,-3.2393275151517105,10.896557557533626,36.658566623583766,
1403715532262,1.6723,2.821323,1.964037,179.25131918145297,-72.90719074585616,-7.7762577201170275,0.46500632413,0.567693102827,0.219522646458,-5.155941069093686,11.780920580196405,7.166883659061984,1.4206288737983268,2.1847664400493785,1.3918907429562233,-2.1293550138803203,12.420621322116794,37.05071179019132,
1403715532362,1.698975,2.835235,1.960368,-178.20697290380627,-72.47666592375836,-9.636522092809482,0.492615136827,0.591049968489,0.207236045931,-4.202682047875706,13.208865517423822,7.893274039637138,1.456048358863709,2.1924242099009956,1.3798255490827853,-0.5712610965086148,13.193160998167558,37.91624575446842,
1403715532462,1.72056,2.849117,1.955867,-174.71688411026778,-71.98033485379688,-12.48783532491614,0.511838164299,0.611419966619,0.197346987454,-2.922546889757107,14.24538457772275,8.635648856371079,1.4827058295833389,2.201416124220188,1.370297704716121,1.0684206599397967,13.467326903509067,38.73289873392827,
1403715532562,1.737916,2.86069,1.950565,-170.50184079733418,-71.59914995710024,-16.118751390486665,0.532258774459,0.627529298447,0.187174157488,-1.3060560131231267,14.946221186050549,9.443048304249904,1.508327617348077,2.2061294092522403,1.3602325521234473,2.820823422030111,13.289182876716064,39.538411102836186,
1403715532662,1.750834,2.867552,1.944821,-164.29410633987143,-71.58758955872558,-21.718154630762474,0.547836588769,0.638677683817,0.178566745022,0.7399445726212172,14.718602256261264,10.388896464810067,1.5273112809028022,2.2087822714170184,1.3516520402057113,4.459630460568409,12.102709561031606,40.32066019498549,
1403715532762,1.757969,2.866518,1.938272,-159.10333525958055,-71.75192841133295,-26.407851234492703,0.556374609429,0.638622414161,0.170861755736,2.233269919341308,14.157784733496213,11.169523070886424,1.534688685084698,2.2050442715260448,1.3436602334153251,5.454885740222626,10.896579626331118,40.92735528601698,
