        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1413394889305,-1.511667,0.064012,1.840329,-172.78979909977542,-76.76882349805655,177.0869211976101,0.468247476821,0.321092794589,0.23049632668,-2.0012339846249407,10.176481198061927,2.140036022234897,-1.4767050540765378,0.04106268145247688,1.846529211320197,3.5168539154465868,-10.687606861867067,177.97822100246836,
1413394889405,-1.539046,0.049474,1.865579,-170.49192692415775,-82.58866751632661,174.75237667956435,0.494367123007,0.332570069133,0.256958819073,-2.349906358359761,4.427315173608347,2.314133308424791,-1.5016288765287233,0.028129454195183506,1.8734691808556825,3.446784135753389,-4.928475125924563,178.20622097091106,
1413394889505,-1.546424,0.037402,1.890832,-168.96838577413828,-86.42986716005144,173.10568574264914,0.509117393434,0.348626803682,0.283043237668,-2.7026916935011953,0.7135892866390572,2.3425161794274048,-1.5148923742696683,0.011428218843951815,1.8999443477277644,3.532811282984329,-1.199058753536436,178.24583349359534,
1413394889605,-1.530661,0.027033,1.90932,-176.89786825371047,-83.04070947850076,-179.09105292387846,0.497493035239,0.360270556599,0.296796958622,-2.961225005399157,4.807177650875046,1.994792080483817,-1.502308913379376,0.0008261583109745833,1.9136964512030834,4.084306626416041,-5.26367057205748,177.8794615796971,
1413394889705,-1.495669,0.017503,1.926855,-178.6618872897331,-75.84687432717203,-177.5062288669916,0.461342734857,0.371021257124,0.306021367275,-3.215001814656252,13.31520587138607,1.398462158931101,-1.465380126199101,-0.0072113544603834775,1.922594459987571,4.96413744221842,-13.731119144500841,177.177634716088,
1413394889805,-1.452811,0.007581,1.945143,-178.99859222806398,-68.23737705540391,-177.31713426829006,0.416814319288,0.382705126396,0.315337823789,-3.481178933114347,22.656433226721578,0.7539801343338015,-1.4200276306653528,-0.015585345594028317,1.931489198746128,5.9741159720914965,-23.026627427543367,176.2961138590499,
1413394889905,-1.416142,-0.002955,1.965189,-178.60601085062586,-62.36537092573156,-177.9003691196093,0.380491027509,0.397052214352,0.332060080093,-3.473760766093196,29.569333011475766,0.20777134830600005,-1.3825822112841641,-0.027094813950175003,1.9479277820154366,6.585125213828894,-29.917905153466332,175.47377248281106,
1413394890005,-1.395279,-0.014505,1.979463,-178.31395871665907,-58.06222426065502,-178.31543128653445,0.359267102756,0.410024847211,0.346296918346,-3.3158645412173984,34.65296189493741,-0.17569043426819908,-1.3603240420005782,-0.038336217150785286,1.9620570602306195,6.938596822330539,-34.99454908827814,174.81641707006503,
1413394890105,-1.39559,-0.026816,1.983746,-177.5351018567939,-55.24264233921312,-179.17695736096684,0.357315082227,0.421885064223,0.352482142658,-2.671549992314399,37.48942147534309,-0.2636945693029737,-1.357462295008676,-0.04994258023051286,1.9683685475135824,6.6071802407447375,-37.866050006951035,174.54580015657996,
1413394890205,-1.421978,-0.039127,1.985696,-175.97316677040976,-57.85769845522998,179.19323075227533,0.381436032518,0.43239428504,0.355345717653,-1.4034300402238522,34.47982925335566,0.19210919734200432,-1.3807412339896783,-0.06209245169080707,1.971675456990789,5.005526126855614,-34.95924261799127,175.207302455508,
