        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403636580913,4.686208,-1.784735,0.843777,-178.35213426546946,-66.71906191116979,157.91143937015335,-0.000955793171888,0.0150673976185,-0.08542487116,-179.4390971589188,-67.09427389151806,5.821966458096083,4.686208,-1.784735,0.843777,-178.35213426546946,-66.71906191116979,157.91143937015335,
1403636581013,4.683646,-1.784502,0.920697,-179.4183235499045,-68.41077789537265,158.75029391096857,0.00292516234022,0.0163868257746,-0.0103660576684,-177.40621924007522,-69.1581319092184,7.0433723033137134,4.690088955512108,-1.7834155718439,0.9188358134915999,-176.31925634662588,-68.78291992887013,159.13284521537096,
1403636581113,4.681407,-1.783794,0.98849,-178.80838962944014,-69.93819256127706,158.1449546962194,0.00737682428935,0.0144541475446,0.0546878561583,-173.97825438432102,-70.56373854653258,6.050319992587221,4.6945406174612385,-1.7853482500739,0.9838897273182999,-172.89129149087168,-70.18852656618431,158.13979290464448,
1403636581213,4.680859,-1.781779,1.045163,-177.11423017218877,-71.75160065000114,156.2263703253317,0.0128571357223,0.0109623264082,0.110101891011,-170.88135305213578,-71.87759623121843,3.370476249445325,4.7000209288941885,-1.7888400712103,1.039303762171,-169.79439015868644,-71.50238425087016,155.45994916150258,
1403636581313,4.683411,-1.780343,1.086189,-176.06862393809882,-73.61922635508961,155.1691519519324,0.015602692327,0.00702328912411,0.149818411832,-168.524785824578,-73.39590148026316,1.4422685623008915,4.702766485498888,-1.79277910849439,1.079020282992,-167.43782293112866,-73.0206894999149,153.53174147435814,
1403636581413,4.687732,-1.779895,1.097128,-177.22968121962361,-74.37564915300518,156.05706649505228,0.0162752898546,0.00244913529658,0.16029402818,-168.16150756691238,-73.88775596547632,1.5772759363020117,4.703439083026488,-1.79735326232192,1.08949589934,-167.07454467346304,-73.51254398512805,153.66674884835928,
1403636581513,4.692274,-1.779401,1.072702,-179.8176269875259,-73.51848942577175,158.45743845922803,0.015881974817,-0.00126190534683,0.135322065279,-169.89620041454452,-72.9295166285567,3.9128470506624256,4.703045767988888,-1.80106430296533,1.064523936439,-168.80923752109518,-72.55430464820843,156.0023199627197,
1403636581613,4.694659,-1.779414,1.021864,-178.96210236304907,-72.0573091701392,157.59790651454676,0.0144210066778,-0.002299236344,0.0858985873551,-169.41601199305234,-71.24403913318304,3.7581817585006303,4.701584799849688,-1.8021016339625,1.0151004585151,-168.329049099603,-70.86882715283477,155.8476546705579,
1403636581713,4.697067,-1.778847,0.959285,-178.6910156912077,-71.07975204109499,157.46461310494422,0.012175909389,-0.00274921226237,0.0235864530016,-169.46385135220166,-70.1517174956094,4.080214048015063,4.699339702560888,-1.80255160988087,0.9527883241616,-168.37688845875232,-69.77650551526114,156.1696869600723,
1403636581813,4.701065,-1.779814,0.893043,-177.61042788583808,-70.70125397972765,156.85759708678117,0.00662383110613,-0.0025264577038,-0.0425697105731,-168.5300834825247,-69.58089593315411,3.703799028175323,4.693787624278018,-1.8023288553223,0.8866321605869,-167.44312058907536,-69.20568395280584,155.7932719402326,
