        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.40E+12,4.614772,-1.828672,0.816032,-175.6116659,-70.10349918,158.2927917,0.014150296,-0.071078921,0.235048911,-177.7578215,-70.78324122,4.2937455,4.614772,-1.828672,0.816032,-175.6116659,-70.10349918,158.2927917,,4.614772,-1.828672,0.816032
1.40E+12,4.610965,-1.825128,0.863199,-178.0159468,-71.42580916,159.9129543,0.017501134,-0.072151493,0.278965853,179.8082111,-72.24107333,6.231285014,4.611421162,-1.827599428,0.859948942,181.9543668,-71.56133129,160.2303312,,4.618122839,-1.829744571,0.859948942
1.40E+12,4.609292,-1.823567,0.906944,179.535154,-72.17054438,161.7924177,0.017870748,-0.073004684,0.319205442,177.454039,-73.13692182,8.275832892,4.611051548,-1.826746237,0.900188531,179.6001947,-72.45717978,162.2748791,,4.618492452,-1.830597763,0.900188531
1.40E+12,4.610414,-1.822605,0.940993,179.0468221,-72.39522376,161.926276,0.017462625,-0.074925879,0.351402807,177.7318424,-73.43634748,8.469317277,4.611459671,-1.824825042,0.932385896,179.8779981,-72.75660544,162.4683635,,4.618084329,-1.832518958,0.932385896
1.40E+12,4.61224,-1.818754,0.951655,179.4240573,-71.99974081,161.0919074,0.019866383,-0.080269453,0.363011114,179.4934649,-73.09320431,7.546490614,4.609055913,-1.819481468,0.943994203,181.6396206,-72.41346227,161.5455368,,4.620488087,-1.837862532,0.943994203
1.40E+12,4.614639,-1.814363,0.929578,-179.5943341,-71.15150282,160.0289171,0.023007121,-0.088118507,0.344939049,-177.5613772,-72.11123758,6.26398305,4.605915175,-1.811632414,0.925922138,-175.4152215,-71.43149553,160.2630292,,4.623628825,-1.845711586,0.925922138
1.40E+12,4.618533,-1.813117,0.881456,-177.5257499,-69.5868706,158.2166134,0.022534018,-0.091629533,0.297489755,-174.8404502,-70.45873873,4.450443266,4.606388278,-1.808121388,0.878472844,-172.6942946,-69.77899669,158.4494895,,4.623155722,-1.849222612,0.878472844
1.40E+12,4.623504,-1.812416,0.822097,-176.4404662,-67.09372294,157.0040042,0.020069739,-0.093722965,0.239135512,-173.5748944,-67.79153639,3.513009988,4.608852557,-1.806027956,0.820118601,-171.4287387,-67.11179434,157.5120562,,4.620691443,-1.851316043,0.820118601
1.40E+12,4.629125,-1.81338,0.765,-175.4323329,-64.36938462,155.9363021,0.014753216,-0.095117144,0.182412419,-172.9387665,-65.0948374,2.641376736,4.61416908,-1.804633777,0.763395508,-170.7926108,-64.41509535,156.6404229,,4.61537492,-1.852710223,0.763395508
1.40E+12,4.634025,-1.814767,0.71997,-174.4783115,-62.21921645,155.2553131,0.009328188,-0.096012403,0.137080408,-172.5481194,-62.93314695,1.917913389,4.619594108,-1.803738518,0.718063497,-170.4019637,-62.25340491,155.9169596,,4.609949893,-1.853605482,0.718063497
1.40E+12,4.638162,-1.815817,0.689073,-174.1227749,-61.35191001,155.4917967,0.003379798,-0.097345047,0.107448979,-172.9817049,-61.97220441,1.882277123,4.625542498,-1.802405874,0.688432068,-170.8355492,-61.29246237,155.8813233,,4.604001502,-1.854938125,0.688432068
1.40E+12,4.641532,-1.816127,0.681114,-175.6918634,-61.41854583,157.3131716,-0.000866286,-0.098780234,0.099857445,-175.1733411,-61.8110333,3.451243606,4.629788582,-1.800970687,0.680840534,-173.0271855,-61.13129125,157.4502898,,4.599755419,-1.856373312,0.680840534
1.40E+12,4.642317,-1.815358,0.699657,-176.9809243,-61.54738908,158.95099,-0.003164855,-0.099955122,0.11967963,-176.9097506,-61.60874408,4.873654886,4.632087151,-1.799795799,0.700662719,-174.7635949,-60.92900203,158.8727011,,4.597456849,-1.857548201,0.700662719
1.40E+12,4.640542,-1.813174,0.742714,-177.57353,-62.01454424,159.9019644,-0.001806278,-0.100959341,0.163880189,-177.6018774,-61.95880673,5.771206741,4.630728574,-1.79879158,0.744863277,-175.4557217,-61.27906468,159.7702529,,4.598815427,-1.858552419,0.744863277
1.40E+12,4.63603,-1.809537,0.800072,-177.5814597,-63.62989648,159.9244247,0.0024055,-0.102123923,0.222323562,-177.6909963,-63.48734381,5.739548698,4.626516796,-1.797626998,0.803306651,-175.5448406,-62.80760177,159.7385949,,4.603027204,-1.859717002,0.803306651
1.40E+12,4.629793,-1.804637,0.862069,-177.7087497,-66.20277059,159.9704235,0.008060219,-0.103908895,0.285429722,-177.9085518,-66.01952005,5.766357033,4.620862077,-1.795842026,0.866412811,-175.7623961,-65.339778,159.7654032,,4.608681923,-1.861501974,0.866412811
1.40E+12,4.624456,-1.799716,0.923626,-177.3896235,-69.02082513,159.6564798,0.012680746,-0.10628575,0.347914628,-177.5873983,-68.85481304,5.484952838,4.61624155,-1.793465171,0.928897717,-175.4412427,-68.175071,159.483999,,4.613302451,-1.863878828,0.928897717
1.40E+12,4.628783,-1.798197,0.979424,-176.3280802,-71.26558406,158.3665094,0.015980548,-0.109376048,0.399002842,-176.6198512,-71.11128066,4.265640453,4.612941748,-1.790374873,0.979985931,-174.4736955,-70.43153862,158.2646867,,4.616602252,-1.866969127,0.979985931
1.40E+12,4.627604,-1.794285,1.005275,-175.8528468,-72.6469621,157.5981125,0.01813874,-0.112333862,0.423762322,-176.3418426,-72.51066,3.61411152,4.610783556,-1.787417059,1.004745411,-174.1956869,-71.83091796,157.6131577,,4.618760444,-1.869926941,1.004745411
1.40E+12,4.626729,-1.791286,0.996793,-176.1838233,-72.51122681,157.6914754,0.019338012,-0.11466872,0.415153549,-176.7768031,-72.34052776,3.777024467,4.609584284,-1.785082201,0.996136638,-174.6306474,-71.66078572,157.7760707,,4.619959716,-1.872261799,0.996136638
1.40E+12,4.626201,-1.790791,0.958711,-175.9511044,-71.26216839,157.6643879,0.020223861,-0.115451046,0.377148359,-176.4397317,-71.01273024,3.710725142,4.608698435,-1.784299875,0.958131448,-174.2935761,-70.3329882,157.7097713,,4.620845565,-1.873044125,0.958131448
1.40E+12,4.626909,-1.792359,0.905987,-176.6775347,-69.90859215,158.5622684,0.019153334,-0.114779315,0.323827432,-177.0015623,-69.60557593,4.530458339,4.609768962,-1.784971606,0.904810521,-174.8554066,-68.92583388,158.5295045,,4.619775038,-1.872372393,0.904810521
1.40E+12,4.628704,-1.796927,0.848892,-176.1004891,-68.32092095,158.4421363,0.015013024,-0.112000567,0.266051815,-176.3942874,-68.02053309,4.416190781,4.613909272,-1.787750354,0.847034904,-174.2481317,-67.34079105,158.415237,,4.615634728,-1.869593645,0.847034904
1.40E+12,4.630693,-1.803164,0.791048,-175.1128324,-65.92167273,157.7847511,0.010117736,-0.107750055,0.207543071,-175.3787773,-65.62620221,3.762483456,4.61880456,-1.792000866,0.78852616,-173.2326217,-64.94646016,157.7615297,,4.61073944,-1.865343134,0.78852616
1.40E+12,4.633934,-1.809455,0.73636,-174.1089417,-63.96098769,156.9239795,0.005198685,-0.102434981,0.154573249,-174.317212,-63.66087167,2.915448325,4.623723611,-1.79731594,0.735556338,-172.1710563,-62.98112963,156.9144945,,4.605820389,-1.86002806,0.735556338
1.40E+12,4.635776,-1.814168,0.698114,-173.6414689,-62.92495499,156.8230948,0.001332128,-0.099115372,0.116059625,-173.8632203,-62.66834523,2.821719999,4.627590168,-1.800635549,0.697042714,-171.7170646,-61.98860319,156.8207662,,4.601953832,-1.856708451,0.697042714
1.40E+12,4.637736,-1.81545,0.685514,-175.5082513,-62.15007894,158.7408546,-0.00121805,-0.098862493,0.103242303,-175.7008293,-61.90071437,4.714414909,4.630140346,-1.800888428,0.684225391,-173.5546736,-61.22097232,158.7134611,,4.599403654,-1.856455572,0.684225391
1.40E+12,4.63762,-1.814467,0.705423,-176.2006531,-61.46470036,159.621429,-0.001093597,-0.099338701,0.123452212,-176.3604354,-61.19316472,5.561247884,4.630015893,-1.80041222,0.704435301,-174.2142797,-60.51342268,159.5602941,,4.599528107,-1.856931779,0.704435301
1.40E+12,4.635914,-1.811737,0.75248,-176.4916663,-61.93332765,159.8665284,0.00129272,-0.100415488,0.170960552,-176.5774271,-61.63052426,5.792732993,4.627629576,-1.799335433,0.751943641,-174.4312715,-60.95078222,159.7917792,,4.601914425,-1.858008567,0.751943641
1.40E+12,4.631163,-1.804926,0.813834,-178.661577,-63.29618198,160.9662373,0.008037785,-0.103799754,0.232966695,-178.6995504,-62.9630847,6.864973458,4.620884511,-1.795951167,0.813949784,-176.5533947,-62.28334265,160.8640197,,4.608659489,-1.861392833,0.813949784
1.40E+12,4.625753,-1.799112,0.881327,179.7048348,-65.00030462,161.7001237,0.014801283,-0.105906998,0.301057619,179.761557,-64.64815062,7.600653469,4.614121013,-1.793843923,0.882040708,181.9077127,-63.96840858,161.5996997,,4.615422987,-1.863500077,0.882040708
1.40E+12,4.62046,-1.795582,0.949483,-178.9690858,-66.09272586,159.9076282,0.02055813,-0.106255427,0.369887052,-178.9128162,-65.71730908,5.822375373,4.608364166,-1.793495494,0.950870141,-176.7666605,-65.03756704,159.8214216,,4.621179835,-1.863848506,0.950870141
1.40E+12,4.617215,-1.792812,1.013461,-176.8961066,-66.7954242,157.3546982,0.023812387,-0.106851307,0.434559037,-176.8719671,-66.41231524,3.295589401,4.605109909,-1.792899614,1.015542126,-174.7258114,-65.7325732,157.2946356,,4.624434091,-1.864444386,1.015542126
1.40E+12,4.621799,-1.796206,1.058924,-175.0526825,-67.91285955,155.5788451,0.023128752,-0.107442144,0.479041376,-175.1146993,-67.5589782,1.556441995,4.605793544,-1.792308777,1.060024465,-172.9685436,-66.87923616,155.5554882,,4.623750457,-1.865035223,1.060024465
1.40E+12,4.623306,-1.79436,1.068581,-177.2923266,-69.16746227,157.6828703,0.021732123,-0.109405945,0.48799793,-177.3931115,-68.88664723,3.657950214,4.607190173,-1.790344976,1.068981019,-175.2469559,-68.20690519,157.6569964,,4.622353827,-1.866999024,1.068981019
