        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.40364E+12,4.614772,-1.828672,0.816032,-175.6116659,-70.10349918,158.2927917,0.232392546,0.058682705,-0.071667382,-6.010733818,-1.996077697,-0.983509912,4.614772,-1.828672,0.816032,-175.6116659,-70.10349918,158.2927917,,4.614772,-1.828672,0.816032
1.40364E+12,4.610965,-1.825128,0.863199,-178.0159468,-71.42580916,159.9129543,0.277973286,0.057899651,-0.082137683,-6.847006452,-0.813525692,-1.725052902,4.56919126,-1.829455054,0.826502301,-176.4479385,-68.92094717,157.5512487,,4.66035274,-1.829455054,0.805561699
1.40364E+12,4.609292,-1.823567,0.906944,179.535154,-72.17054438,161.7924177,0.319561595,0.056529279,-0.09392128,-7.468650543,-0.166500754,-2.387293121,4.527602951,-1.830825426,0.838285898,-177.0695826,-68.27392223,156.8890085,,4.701941049,-1.830825426,0.793778102
1.40364E+12,4.610414,-1.822605,0.940993,179.0468221,-72.39522376,161.926276,0.349530969,0.053955928,-0.101813396,-7.830430443,0.067581847,-2.470975055,4.497633577,-1.833398777,0.846178014,-177.4313625,-68.03983963,156.8053266,,4.731910423,-1.833398777,0.785885986
1.40364E+12,4.61224,-1.818754,0.951655,179.4240573,-71.99974081,161.0919074,0.358689158,0.056983692,-0.10500883,-8.236457117,-0.251230905,-2.17742016,4.488475388,-1.830371013,0.849373448,-177.8373892,-68.35865238,157.0988814,,4.741068612,-1.830371013,0.782690551
1.40364E+12,4.614639,-1.814363,0.929578,-179.5943341,-71.15150282,160.0289171,0.337790861,0.064321901,-0.100380339,-8.260268525,-0.997043308,-1.732265849,4.509373685,-1.823032804,0.844744957,-177.8612006,-69.10446479,157.5440358,,4.720170315,-1.823032804,0.787319043
1.40364E+12,4.618533,-1.813117,0.881456,-177.5257499,-69.5868706,158.2166134,0.291355112,0.070650822,-0.089150689,-7.933117538,-2.414336178,-0.885309771,4.555809434,-1.816703883,0.833515307,-177.5340496,-70.52175766,158.3909918,,4.673734566,-1.816703883,0.798548693
1.40364E+12,4.623504,-1.812416,0.822097,-176.4404662,-67.09372294,157.0040042,0.234144676,0.076383922,-0.076331193,-8.037900062,-4.690872331,0.027718821,4.61301987,-1.810970783,0.820695811,-177.6388321,-72.79829381,159.3040204,,4.61652413,-1.810970783,0.811368189
1.40364E+12,4.629125,-1.81338,0.765,-175.4323329,-64.36938462,155.9363021,0.178126581,0.081558826,-0.065969473,-8.112291068,-7.191462485,1.03587929,4.669037965,-1.805795879,0.810334091,-177.7132231,-75.29888396,160.3121809,,4.560506035,-1.805795879,0.821729908
1.40364E+12,4.634025,-1.814767,0.71997,-174.4783115,-62.21921645,155.2553131,0.133039785,0.084634449,-0.056858714,-7.879921419,-9.158192488,1.825380746,4.714124761,-1.802720256,0.801223332,-177.4808535,-77.26561397,161.1016824,,4.515419239,-1.802720256,0.830840667
