        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.41339E+12,-1.054249,0.427682,1.332841,-175.2393912,-74.4712435,-179.8072352,0.002722092,0.002827633,-0.000179594,-177.9833607,-74.11136909,0.168693813,-1.054249,0.427682,1.332841,-175.2393912,-74.4712435,-179.8072352,,-1.054249,0.427682,1.332841
1.41339E+12,-1.055148,0.427327,1.332843,-175.2620026,-74.47558084,-179.8137055,0.002328996,0.002506701,0.000155348,-178.0379567,-74.10339575,0.209663826,-1.053855904,0.428002932,1.333175942,-175.2939872,-74.46327016,-179.7662652,,-1.054642097,0.427361068,1.333175942
1.41339E+12,-1.055522,0.42712,1.33281,-175.2329577,-74.46050823,-179.8318566,0.002401457,0.002351017,0.000226729,-178.0236732,-74.09774902,0.222710655,-1.053928365,0.428158616,1.333247323,-175.2797037,-74.45762343,-179.7532183,,-1.054569636,0.427205384,1.333247323
1.41339E+12,-1.055659,0.427093,1.332806,-175.238263,-74.47063025,-179.826938,0.001981887,0.001924477,0.000234508,-178.0125558,-74.10458752,0.215765689,-1.053508795,0.428585156,1.333255102,-175.2685863,-74.46446194,-179.7601633,,-1.054989205,0.426778844,1.333255102
1.41339E+12,-1.055653,0.427194,1.332843,-175.1874765,-74.47367364,-179.8923132,0.00180328,0.001817867,0.00010237,-177.969369,-74.11149851,0.171092571,-1.053330188,0.428691766,1.333122964,-175.2253995,-74.47137292,-179.8048364,,-1.055167813,0.426672235,1.333122964
1.41339E+12,-1.055519,0.427247,1.332894,-175.1409053,-74.45980094,-179.9255431,0.001881012,0.001935795,-0.000303366,-177.9228371,-74.11000816,0.152729654,-1.05340792,0.428573838,1.332717227,-175.1788676,-74.46988257,-179.8231993,,-1.05509008,0.426790162,1.332717227
1.41339E+12,-1.055414,0.427355,1.332956,-175.1587652,-74.46406585,-179.8973104,0.002099792,0.003104648,-0.000947771,-177.9138912,-74.12139489,0.161652508,-1.0536267,0.427404985,1.332072822,-175.1699217,-74.4812693,-179.8142765,,-1.054871301,0.427959016,1.332072822
1.41339E+12,-1.055358,0.427514,1.333009,-175.1873253,-74.46423308,-179.8815207,0.002563367,0.004521221,-0.001254272,-177.9320973,-74.12135043,0.18076751,-1.054090275,0.425988412,1.331766322,-175.1881278,-74.48122484,-179.7951615,,-1.054407725,0.429375588,1.331766322
1.41339E+12,-1.055216,0.427318,1.33317,-175.2669078,-74.42290516,-179.7518443,0.005994466,0.007525889,-0.006761393,-177.8212316,-74.11872397,0.063592216,-1.057521374,0.422983744,1.326259201,-175.0772621,-74.47859839,-179.9123368,,-1.050976626,0.432380256,1.326259201
1.41339E+12,-1.055198,0.427263,1.333074,-175.1414758,-74.43917348,-179.8964448,0.006229214,0.009608287,-0.007072304,-177.8286652,-74.124251,0.046790878,-1.057756122,0.420901346,1.32594829,-175.0846957,-74.48412541,-179.9291381,,-1.050741879,0.434462654,1.32594829
1.41339E+12,-1.055044,0.427234,1.332908,-175.1117403,-74.44568765,-179.9448015,0.005708087,0.009363674,-0.00651281,-177.7659069,-74.13056119,0.007052641,-1.057234995,0.421145959,1.326507784,-175.0219374,-74.4904356,-179.9688764,,-1.051263006,0.434218041,1.326507784
1.41339E+12,-1.054994,0.427232,1.332747,-175.1564931,-74.43702297,-179.9012248,0.005563053,0.008069552,-0.006010708,-177.7781757,-74.12225871,0.027741199,-1.057089961,0.422440081,1.327009886,-175.0342062,-74.48213313,-179.9481878,,-1.051408039,0.432923919,1.327009886
1.41339E+12,-1.055035,0.427263,1.332748,-175.0690448,-74.45685678,-179.9931268,0.005615769,0.007916428,-0.006184778,-177.7427402,-74.13625309,-0.012047769,-1.057142677,0.422593205,1.326835816,-174.9987708,-74.4961275,-179.9879768,,-1.051355323,0.432770795,1.326835816
1.41339E+12,-1.055159,0.427302,1.332697,-175.0911985,-74.44154605,-179.9739117,0.005300983,0.007908984,-0.005593318,-177.7573989,-74.12557605,0.013486171,-1.056827891,0.422600649,1.327427275,-175.0134294,-74.48545046,-179.9624428,,-1.051670109,0.432763351,1.327427275
1.41339E+12,-1.055096,0.427348,1.332786,-175.0964869,-74.4445705,-179.9681542,0.004849623,0.008002816,-0.005361,-177.7582581,-74.12467381,0.024952265,-1.056376531,0.422506817,1.327659593,-175.0142886,-74.48454823,-179.9509767,,-1.052121469,0.432857184,1.327659593
1.41339E+12,-1.055173,0.427252,1.332893,-175.1733369,-74.43221217,-179.8860721,0.005344911,0.008682799,-0.00536771,-177.8271962,-74.10662,0.091418812,-1.056871819,0.421826834,1.327652884,-175.0832267,-74.46649441,-179.8845102,,-1.051626181,0.433537166,1.327652884
1.41339E+12,-1.055123,0.427268,1.332991,-175.1255441,-74.43372506,-179.945332,0.005531884,0.008410276,-0.00529633,-177.7983861,-74.11341419,0.04608755,-1.057058792,0.422099357,1.327724264,-175.0544166,-74.4732886,-179.9298414,,-1.051439209,0.433264643,1.327724264
1.41339E+12,-1.055161,0.427185,1.332991,-175.1504169,-74.42511082,-179.9178736,0.005750987,0.008715211,-0.005331423,-177.8084326,-74.10149652,0.061751338,-1.057277895,0.421794422,1.327689171,-175.0644631,-74.46137094,-179.9141777,,-1.051220105,0.433569578,1.327689171
1.41339E+12,-1.0552,0.427294,1.332934,-175.0841595,-74.43162959,-179.9961164,0.006227037,0.009305186,-0.00575223,-177.7872082,-74.10356464,0.038819807,-1.057753945,0.421204447,1.327268363,-175.0432387,-74.46343905,-179.9371092,,-1.050744055,0.434159553,1.327268363
1.41339E+12,-1.055179,0.427382,1.332949,-175.1617322,-74.43190585,-179.9288633,0.006184635,0.008963067,-0.005536497,-177.8558413,-74.10739692,0.099081548,-1.057711543,0.421546566,1.327484097,-175.1118718,-74.46727133,-179.8768474,,-1.050786457,0.433817434,1.327484097
1.41339E+12,-1.055139,0.427438,1.333035,-175.165216,-74.44197609,-179.9168424,0.00589396,0.009052783,-0.005395289,-177.8262451,-74.11101038,0.08076869,-1.057420868,0.42145685,1.327625305,-175.0822757,-74.47088479,-179.8951603,,-1.051077132,0.43390715,1.327625305
