        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715529262,0.598429,2.036416,1.158659,179.32270149490003,-69.09273967141462,-27.133917598932598,-0.00658880488218,0.0375298055079,0.0947465914863,178.123096131391,-71.16543500137708,-1.835934974545607,0.598429,2.036416,1.158659,179.32270149490003,-69.09273967141462,-27.133917598932598,
1403715529362,0.61596,2.048048,1.197336,178.91264476688423,-68.32876839618176,-24.478901577275092,-0.0130137951721,0.04685189902,0.111479934411,176.92951515435132,-70.67896617342903,0.9721518828805972,0.59200400971008,2.0457380935121,1.1753923429247002,178.12912051786034,-68.60627084346658,-24.325830741506394,
1403715529462,0.636248,2.059395,1.228895,178.3098613630861,-68.20989220121157,-21.639891358125407,-0.033518069741,0.0587986645316,0.0960272953179,167.41107707514908,-73.14541209656981,3.9097436571713926,0.57149973514118,2.0576848590237,1.1599397038316002,168.6106824386581,-71.07271676660736,-21.388238967215596,
1403715529562,0.659287,2.07023,1.252363,177.8905278186489,-68.33724991591481,-19.563670539573813,-0.033743503753,0.0706625899105,0.103741831254,164.90173081244458,-73.35653880020938,6.61455599783934,0.5712743011291801,2.0695487844026,1.1676542397677,166.1013361759536,-71.28384347024692,-18.68342662654765,
1403715529662,0.684245,2.080816,1.268489,177.46899449663476,-68.66319565159333,-17.97456153656011,-0.00568847340266,0.089627359614,0.120909419894,157.6274208435636,-71.27933453586033,6.753394772528442,0.59932933147952,2.0885135541061,1.1848218284077001,158.82702620707263,-69.20663920589787,-18.544587851858548,
1403715529762,0.711914,2.092386,1.282884,176.29493516695453,-68.83466416932725,-15.902606114315521,0.0100940637982,0.104655236189,0.127188646442,154.28434331081294,-70.21024042432097,8.173136144219633,0.61511186868038,2.1035414306811,1.1911010549557002,155.48394867432197,-68.13754509435852,-17.124846480167356,
1403715529862,0.741538,2.105394,1.300957,176.44922808452458,-69.02884948527115,-15.40103467956747,0.0568990593214,0.120070554098,0.140892796046,146.00332331275513,-65.51160578155435,4.982601964933761,0.6619168642035801,2.1189567485901,1.2048052045597002,147.20292867626415,-63.438910451591894,-20.31538065945323,
1403715529962,0.772285,2.120046,1.323772,177.22630223875433,-69.54306745671505,-15.728510370766282,0.096295989231,0.122476676739,0.155351387662,143.7004732744583,-64.8698971804336,4.669588809621169,0.7013137941131801,2.1213628712311,1.2192637961757002,144.9000786379673,-62.79720185047114,-20.628393814765822,
1403715530062,0.803927,2.13547,1.351244,175.62774018594888,-70.53127088667364,-13.957966463508711,0.132376573893,0.135459517676,0.176147284418,140.8706358263939,-65.68815794429445,7.4161298235667115,0.73739437877518,2.1343457121680998,1.2400596929317003,142.07024118990293,-63.61546261433199,-17.881852800820276,
1403715530162,0.834792,2.153868,1.382883,172.48059409215807,-71.17761664340966,-10.910320805528556,0.169032255417,0.150684056525,0.201728806488,137.94448277559383,-65.66351796666102,10.319595211288634,0.77405006029918,2.1495702510170998,1.2656412150017002,139.14408813910285,-63.59082263669856,-14.978387413098355,
1403715530262,0.864036,2.177628,1.422437,170.21910979465449,-70.3957168085072,-8.858016813938708,0.208481530382,0.170337873855,0.232961978027,137.40226163660554,-64.83711507937811,10.77103670771899,0.8134993352641801,2.1692240683471,1.2968743865407002,138.60186700011457,-62.76441974941565,-14.526945916668,
1403715530362,0.893599,2.20816,1.475806,170.39202160102278,-69.77399688710608,-9.158973017540536,0.249682744535,0.203345157231,0.277116462506,138.39726269114175,-64.72165734396967,9.986813549222088,0.85470054941718,2.2022313517231,1.3410288710197003,139.59686805465077,-62.64896201400721,-15.311169075164901,
1403715530462,0.924487,2.245461,1.541009,173.325221403565,-69.5719684158304,-11.751757603750118,0.295731167932,0.253205428811,0.33151188613,140.61655309948767,-65.58287355209697,8.230159065755908,0.90074897281418,2.2520916233031,1.3954242946437,141.8161584629967,-63.51017822213451,-17.067823558631083,
1403715530562,0.9568,2.28751,1.608051,174.98674616381686,-69.47800068682224,-12.47123240637946,0.335938553317,0.307106220185,0.386078591158,142.95734508801763,-65.97786479586064,7.790778997030039,0.94095635819918,2.3059924146771,1.4499909996717002,144.15695045152665,-63.90516946589818,-17.50720362735695,
1403715530662,0.988997,2.332073,1.664157,176.0804850256482,-69.5885269827385,-12.656737989573276,0.366216063645,0.357225745007,0.427006624076,145.0126489782064,-66.47791339861251,7.954406876171106,0.97123386852718,2.3561119394991,1.4909190325897002,146.21225434171544,-64.40521806865006,-17.343575748215883,
1403715530762,1.021135,2.378709,1.708639,177.16671366261502,-69.64180855346049,-12.619907087592054,0.397465667512,0.401010415686,0.455294607642,147.02468060820829,-66.74324407666508,8.10389691218511,1.00248347239418,2.3998966101781,1.5192070161557,148.2242859717173,-64.67054874670262,-17.19408571220188,
1403715530862,1.054027,2.427734,1.75016,178.14059888525995,-69.62213935140596,-11.73182064744641,0.430034047928,0.445339632847,0.479506355494,148.9593208019657,-66.78098269461377,8.80102725524559,1.03505185281018,2.4442258273390998,1.5434187640077002,150.15892616547472,-64.70828736465131,-16.4969553691414,
