        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_pose_x,align_pose_y,align_yaw
1.40E+12,4.686208,-1.784735,0.843777,-178.3521343,-66.71906191,157.9114394,-0.000893022,0.015038799,-0.085418101,-179.4931315,-67.12369848,5.81664299,4.686208,-1.784735,0.843777,4.686208,1.784735,157.9114394
1.40E+12,4.683646,-1.784502,0.920697,-179.4183235,-68.4107779,158.7502939,0.003719317,0.017159079,-0.010312755,-179.0952333,-68.86724265,6.879471256,4.690820338,-1.78261472,0.918882346,4.681595661,1.78685528,158.9742676
1.40E+12,4.681407,-1.783794,0.98849,-178.8083896,-69.93819256,158.1449547,0.008259745,0.016320933,0.054816354,-176.2536409,-70.30750088,6.085449945,4.695360767,-1.783452866,0.984011455,4.677055233,1.786017134,158.1802463
1.40E+12,4.680859,-1.781779,1.045163,-177.1142302,-71.75160065,156.2263703,0.013344945,0.012668879,0.110159817,-172.8611745,-71.71972065,3.577279171,4.700445967,-1.787104919,1.039354917,4.671970033,1.78236508,155.6720756
1.40E+12,4.683411,-1.780343,1.086189,-176.0686239,-73.61922636,155.169152,0.017008739,0.008458782,0.15014548,-170.306623,-73.1212259,1.759865876,4.704109761,-1.791315017,1.079340581,4.668306239,1.778154983,153.8546623
1.40E+12,4.687732,-1.779895,1.097128,-177.2296812,-74.37564915,156.0570665,0.018260393,0.003553758,0.160732691,-169.7326585,-73.53454812,1.872728343,4.705361415,-1.796220041,1.089927792,4.667054585,1.773249959,153.9675247
1.40E+12,4.692274,-1.779401,1.072702,-179.817627,-73.51848943,158.4574385,0.018435441,-0.001162229,0.135760005,-170.8588938,-72.47549359,3.90507978,4.705536463,-1.800936028,1.064955106,4.666879537,1.768533972,155.9998762
1.40E+12,4.694659,-1.779414,1.021864,-178.9621024,-72.05730917,157.5979065,0.017903582,-0.003249193,0.086364411,-169.8186671,-70.61297415,3.523666878,4.705004604,-1.803022992,1.015559512,4.667411396,1.766447008,155.6184633
1.40E+12,4.697067,-1.778847,0.959285,-178.6910157,-71.07975204,157.4646131,0.014977689,-0.003730024,0.023925746,-169.8983463,-69.5110501,3.832242289,4.70207871,-1.803503823,0.953120847,4.670337289,1.765966177,155.9270387
1.40E+12,4.701065,-1.779814,0.893043,-177.6104279,-70.70125398,156.8575971,0.009121515,-0.003563652,-0.042273006,-168.9962199,-68.82348992,3.465553144,4.696222537,-1.803337451,0.886922095,4.676193463,1.766132549,155.5603495
1.40E+12,4.703603,-1.777738,0.822418,-176.4601847,-69.88088148,155.9844244,0.00293718,-0.000682559,-0.110911828,-167.7476501,-67.72093809,2.931782257,4.690038202,-1.800456358,0.818283273,4.682377798,1.769013642,155.0265786
1.40E+12,4.707354,-1.780389,0.759661,-176.3630531,-68.18006314,155.3821276,-0.002287397,0.000436863,-0.174733768,-167.5256328,-66.01655734,2.93186487,4.684813625,-1.799336936,0.754461333,4.687602375,1.770133064,155.0266613
1.40E+12,4.710371,-1.783823,0.709931,-177.1262797,-66.22097315,156.0280374,-0.008484941,0.004075621,-0.223913072,-168.7998865,-64.0543708,4.244801778,4.678616081,-1.795698178,0.705282029,4.693799919,1.773771822,156.3395982
1.40E+12,4.712171,-1.788258,0.685233,-176.9129503,-64.73328435,156.234006,-0.014383377,0.006949178,-0.248059892,-169.073915,-62.60767588,4.897974361,4.672717645,-1.792824621,0.681135209,4.699698355,1.776645379,156.9927707
1.40E+12,4.71005,-1.790324,0.694569,-176.7585961,-64.20059365,156.3722223,-0.012681907,0.009251537,-0.236449842,-169.1617844,-62.16764612,5.165136083,4.674419115,-1.790522262,0.692745259,4.697996885,1.778947738,157.2599325
1.40E+12,4.705686,-1.792051,0.73651,-176.2582478,-65.22320779,156.0156159,-0.00869349,0.010839291,-0.192477623,-168.5340176,-63.15728419,4.518372383,4.678407532,-1.788934508,0.736717478,4.694008468,1.780535492,156.6131688
1.40E+12,4.700527,-1.791971,0.794894,-176.5587247,-66.87788576,156.163853,-0.002485696,0.010174121,-0.132338782,-168.3872833,-64.80730433,4.136883023,4.684615326,-1.789599678,0.796856319,4.687800674,1.779870322,156.2316794
1.40E+12,4.695566,-1.790192,0.85971,-177.6446896,-67.83266205,156.746853,0.003764002,0.007383113,-0.065910151,-169.1140794,-65.73972024,4.343665546,4.690865023,-1.792390686,0.86328495,4.681550976,1.777079314,156.4384619
