        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.40364E+12,4.638162,-1.815817,0.689073,-174.1227749,-61.35191001,155.4917967,0.103545965,0.086160831,-0.052635925,-7.341326467,-9.99466757,1.86373449,4.638162,-1.815817,0.689073,-174.1227749,-61.35191001,155.4917967,,4.638162,-1.815817,0.689073
1.40364E+12,4.642317,-1.815358,0.699657,-176.9809243,-61.54738908,158.95099,0.113055433,0.085736815,-0.060870112,-6.871849557,-10.14303722,0.207748389,4.628652532,-1.816241015,0.697307187,-173.653298,-61.50027966,153.8358106,,4.647671468,-1.816241015,0.680838813
1.40364E+12,4.640542,-1.813174,0.742714,-177.57353,-62.01454424,159.9019644,0.155655601,0.083750431,-0.072201772,-6.538526378,-9.778303336,-0.32170562,4.586052364,-1.8182274,0.708638847,-173.3199748,-61.13554578,153.3063566,,4.690271635,-1.8182274,0.669507153
1.40364E+12,4.63603,-1.809537,0.800072,-177.5814597,-63.62989648,159.9244247,0.212642246,0.081434795,-0.087193703,-6.480479798,-8.190476845,-0.589219076,4.529065719,-1.820543036,0.723630778,-173.2619282,-59.54771929,153.0388432,,4.74725828,-1.820543036,0.654515222
1.40364E+12,4.629793,-1.804637,0.862069,-177.7087497,-66.20277059,159.9704235,0.273684335,0.079526606,-0.10014551,-6.519091304,-5.682545959,-1.028103549,4.46802363,-1.822451225,0.736582585,-173.3005397,-57.0397884,152.5999587,,4.80830037,-1.822451225,0.641563415
1.40364E+12,4.624456,-1.799716,0.923626,-177.3896235,-69.02082513,159.6564798,0.33482386,0.077858446,-0.116709981,-6.4644054,-2.907811961,-1.378722352,4.406884105,-1.824119384,0.753147056,-173.2458538,-54.2650544,152.2493399,,4.869439894,-1.824119384,0.624998944
1.40364E+12,4.628783,-1.798197,0.979424,-176.3280802,-71.26558406,158.3665094,0.384118797,0.077739486,-0.129854732,-6.60798502,-0.597216332,-1.351795861,4.357589168,-1.824238345,0.766291807,-173.3894335,-51.95445877,152.2762664,,4.918734831,-1.824238345,0.611854193
1.40364E+12,4.627604,-1.794285,1.005275,-175.8528468,-72.6469621,157.5981125,0.40798662,0.079039612,-0.136124672,-6.863069826,0.81308073,-1.403869159,4.333721345,-1.822938219,0.772561747,-173.6445183,-50.54416171,152.2241931,,4.942602654,-1.822938219,0.605584253
1.40364E+12,4.626201,-1.790791,0.958711,-175.9511044,-71.26216839,157.6643879,0.363986693,0.085513761,-0.1195475,-6.90155235,-0.530520355,-1.175431584,4.377721272,-1.81646407,0.755984575,-173.6830008,-51.8877628,152.4526307,,4.898602727,-1.81646407,0.622161424
1.40364E+12,4.626909,-1.792359,0.905987,-176.6775347,-69.90859215,158.5622684,0.314080463,0.088511474,-0.105594677,-6.793930216,-1.928484317,-1.256585392,4.427627502,-1.813466357,0.742031752,-173.5753787,-53.28572676,152.3714769,,4.848696498,-1.813466357,0.636114247
