        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.40364E+12,4.614772,-1.828672,0.816032,-175.6116659,-70.10349918,158.2927917,0.232392546,0.058682705,-0.071667381,-6.010733818,-1.996077699,-0.983509917,4.614772,-1.828672,0.816032,-175.6116659,-70.10349918,158.2927917,,4.614772,-1.828672,0.816032
1.40364E+12,4.610965,-1.825128,0.863199,-178.0159468,-71.42580916,159.9129543,0.277973287,0.057899652,-0.082137683,-6.847006449,-0.813525696,-1.725052902,4.569191259,-1.829455053,0.826502302,-176.4479385,-68.92094717,157.5512487,,4.660352741,-1.829455053,0.805561698
1.40364E+12,4.609292,-1.823567,0.906944,179.535154,-72.17054438,161.7924177,0.319561595,0.056529279,-0.09392128,-7.468650543,-0.166500754,-2.387293123,4.527602951,-1.830825426,0.838285899,-177.0695826,-68.27392223,156.8890085,,4.701941048,-1.830825426,0.793778101
1.40364E+12,4.610414,-1.822605,0.940993,179.0468221,-72.39522376,161.926276,0.349530969,0.053955928,-0.101813396,-7.830430443,0.067581844,-2.470975056,4.497633577,-1.833398777,0.846178015,-177.4313625,-68.03983963,156.8053266,,4.731910423,-1.833398777,0.785885985
1.40364E+12,4.61224,-1.818754,0.951655,179.4240573,-71.99974081,161.0919074,0.358689159,0.056983693,-0.105008831,-8.236457115,-0.251230911,-2.177420162,4.488475387,-1.830371012,0.84937345,-177.8373892,-68.35865239,157.0988815,,4.741068613,-1.830371012,0.782690551
1.40364E+12,4.614639,-1.814363,0.929578,-179.5943341,-71.15150282,160.0289171,0.337790861,0.064321901,-0.100380339,-8.260268524,-0.997043309,-1.73226585,4.509373685,-1.823032804,0.844744958,-177.8612006,-69.10446479,157.5440358,,4.720170315,-1.823032804,0.787319042
1.40364E+12,4.618533,-1.813117,0.881456,-177.5257499,-69.5868706,158.2166134,0.291355112,0.070650822,-0.089150689,-7.933117537,-2.414336178,-0.885309771,4.555809434,-1.816703883,0.833515308,-177.5340496,-70.52175766,158.3909918,,4.673734566,-1.816703883,0.798548693
1.40364E+12,4.623504,-1.812416,0.822097,-176.4404662,-67.09372294,157.0040042,0.234144417,0.076384012,-0.076331309,-8.037901089,-4.69087461,0.027768167,4.613020129,-1.810970693,0.820695928,-177.6388331,-72.79829609,159.3040698,,4.616523871,-1.810970693,0.811368072
1.40364E+12,4.629125,-1.81338,0.765,-175.4323329,-64.36938462,155.9363021,0.178126578,0.081558823,-0.065969477,-8.112291216,-7.191461832,1.035878195,4.669037968,-1.805795882,0.810334096,-177.7132233,-75.29888331,160.3121798,,4.560506032,-1.805795882,0.821729904
1.40364E+12,4.634025,-1.814767,0.71997,-174.4783115,-62.21921645,155.2553131,0.133039783,0.084634445,-0.056858716,-7.87992157,-9.158191841,1.82537967,4.714124763,-1.80272026,0.801223335,-177.4808536,-77.26561332,161.1016813,,4.515419237,-1.80272026,0.830840666
1.40364E+12,4.638162,-1.815817,0.689073,-174.1227749,-61.35191001,155.4917967,0.10388102,0.086298618,-0.053394609,-7.341709878,-10.01730315,1.877709148,4.743283526,-1.801056087,0.797759228,-176.9426419,-78.12472463,161.1540108,,4.486260474,-1.801056087,0.834304772
1.40364E+12,4.641532,-1.816127,0.681114,-175.6918634,-61.41854583,157.3131716,0.095278875,0.086777719,-0.054438869,-7.165269172,-10.12028076,0.987584948,4.751885671,-1.800576986,0.798803488,-176.7662012,-78.22770224,160.2638866,,4.477658328,-1.800576986,0.833260513
1.40364E+12,4.642317,-1.815358,0.699657,-176.9809243,-61.54738908,158.95099,0.113138134,0.085773628,-0.061035414,-6.878501205,-10.14517578,0.200689047,4.734026412,-1.801581077,0.805400033,-176.4794332,-78.25259726,159.4769907,,4.495517588,-1.801581077,0.826663968
1.40364E+12,4.640542,-1.813174,0.742714,-177.57353,-62.01454424,159.9019644,0.155355763,0.083783599,-0.0729712,-6.536150201,-9.787531045,-0.317509644,4.691808783,-1.803571106,0.817335819,-176.1370822,-77.89495252,158.958792,,4.537735217,-1.803571106,0.814728182
1.40364E+12,4.63603,-1.809537,0.800072,-177.5814597,-63.62989648,159.9244247,0.211893881,0.081677888,-0.087270299,-6.471285518,-8.198283993,-0.570731264,4.635270665,-1.805676817,0.831634918,-176.0722176,-76.30570547,158.7055704,,4.594273335,-1.805676817,0.800429082
1.40364E+12,4.629793,-1.804637,0.862069,-177.7087497,-66.20277059,159.9704235,0.273636637,0.079622157,-0.102060428,-6.49991333,-5.7035657,-1.026164056,4.573527909,-1.807732548,0.846425047,-176.1008454,-73.81098718,158.2501376,,4.656016091,-1.807732548,0.785638953
1.40364E+12,4.624456,-1.799716,0.923626,-177.3896235,-69.02082513,159.6564798,0.334289786,0.077917353,-0.117648338,-6.462318994,-2.930874208,-1.380529481,4.51287476,-1.809437353,0.862012957,-176.063251,-71.03829569,157.8957721,,4.71666924,-1.809437353,0.770051044
1.40364E+12,4.628783,-1.798197,0.979424,-176.3280802,-71.26558406,158.3665094,0.38394519,0.078000023,-0.130984921,-6.60107317,-0.636045171,-1.352133582,4.463219356,-1.809354683,0.87534954,-176.2020052,-68.74346665,157.924168,,4.766324644,-1.809354683,0.756714461
1.40364E+12,4.627604,-1.794285,1.005275,-175.8528468,-72.6469621,157.5981125,0.407636955,0.079091214,-0.136832853,-6.859536168,0.795402074,-1.402974525,4.439527591,-1.808263491,0.881197472,-176.4604682,-67.3120194,157.8733271,,4.790016409,-1.808263491,0.750866529
1.40364E+12,4.626729,-1.791286,0.996793,-176.1838233,-72.51122681,157.6914754,0.399361203,0.08218042,-0.133401526,-7.101080348,0.671647127,-1.433050088,4.447803343,-1.805174285,0.877766145,-176.7020124,-67.43577435,157.8432515,,4.781740656,-1.805174285,0.754297855
1.40364E+12,4.626201,-1.790791,0.958711,-175.9511044,-71.26216839,157.6643879,0.36301222,0.085887352,-0.121245079,-6.902078565,-0.527006456,-1.207700451,4.484152326,-1.801467353,0.865609698,-176.5030106,-68.63442793,158.0686012,,4.745391673,-1.801467353,0.766454303
1.40364E+12,4.626909,-1.792359,0.905987,-176.6775347,-69.90859215,158.5622684,0.312631413,0.088873544,-0.106280304,-6.785298851,-1.901718555,-1.256698552,4.534533133,-1.798481161,0.850644923,-176.3862309,-70.00914003,158.0196031,,4.695010867,-1.798481161,0.781419078
1.40364E+12,4.628704,-1.796927,0.848892,-176.1004891,-68.32092095,158.4421363,0.256870592,0.089828192,-0.091707477,-6.350566988,-3.443556066,-0.95998283,4.590293954,-1.797526513,0.836072096,-175.951499,-71.55097754,158.3163188,,4.639250046,-1.797526513,0.795991905
1.40364E+12,4.630693,-1.803164,0.791048,-175.1128324,-65.92167273,157.7847511,0.199237745,0.089164657,-0.076425846,-6.032844446,-5.706920268,-0.27321084,4.647926801,-1.798190048,0.820790465,-175.6337765,-73.81434174,159.0030908,,4.581617199,-1.798190048,0.811273536
1.40364E+12,4.633934,-1.809455,0.73636,-174.1089417,-63.96098769,156.9239795,0.147098276,0.086965976,-0.062932502,-5.903191287,-7.523577072,0.45487708,4.70006627,-1.800388729,0.807297121,-175.5041233,-75.63099855,159.7311787,,4.52947773,-1.800388729,0.82476688
