        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.40364E+12,4.638162,-1.815817,0.689073,-174.1227749,-61.35191001,155.4917967,-0.00024911,-0.095370132,0.109599481,-175.4382023,-61.73691689,0.629912442,4.638162,-1.815817,0.689073,-174.1227749,-61.35191001,155.4917967,,4.638162,-1.815817,0.689073
1.40364E+12,4.642317,-1.815358,0.699657,-176.9809243,-61.54738908,158.95099,-0.006427613,-0.097378009,0.121471836,-178.8185857,-61.431162,3.916647767,4.644340503,-1.813809123,0.700945355,-177.5031584,-61.04615512,158.7785321,,4.631983498,-1.817824877,0.700945355
1.40364E+12,4.640542,-1.813174,0.742714,-177.57353,-62.01454424,159.9019644,-0.005016242,-0.097896447,0.165210331,-179.4896757,-61.78976274,4.85538157,4.642929132,-1.813290685,0.74468385,-178.1742483,-61.40475586,159.7172659,,4.633394868,-1.818343315,0.74468385
1.40364E+12,4.63603,-1.809537,0.800072,-177.5814597,-63.62989648,159.9244247,-0.000739261,-0.098383946,0.223380283,-179.5876751,-63.40665994,4.994565993,4.638652151,-1.812803186,0.802853802,-178.2722478,-63.02165306,159.8564503,,4.637671849,-1.818830814,0.802853802
1.40364E+12,4.629793,-1.804637,0.862069,-177.7087497,-66.20277059,159.9704235,0.005956402,-0.098944444,0.287136103,-179.6964756,-65.98349416,5.308592808,4.631956488,-1.812242688,0.866609622,-178.3810483,-65.59848728,160.1704771,,4.644367512,-1.819391312,0.866609622
1.40364E+12,4.624456,-1.799716,0.923626,-177.3896235,-69.02082513,159.6564798,0.011755969,-0.099861305,0.349344124,-179.5624878,-68.76646887,5.300627819,4.626156921,-1.811325827,0.928817644,-178.2470604,-68.38146199,160.1625121,,4.650167079,-1.820308173,0.928817644
1.40364E+12,4.628783,-1.798197,0.979424,-176.3280802,-71.26558406,158.3665094,0.01014777,-0.10274722,0.407902551,-178.8344438,-71.00022136,4.353632477,4.62776512,-1.808439912,0.98737607,-177.5190164,-70.61521448,159.2155168,,4.64855888,-1.823194088,0.98737607
1.40364E+12,4.627604,-1.794285,1.005275,-175.8528468,-72.6469621,157.5981125,0.019733864,-0.103112019,0.422037449,-178.680384,-72.40939677,3.900681529,4.618179026,-1.808075113,1.001510968,-177.3649567,-72.02438989,158.7625658,,4.658144974,-1.823558887,1.001510968
1.40364E+12,4.626201,-1.790791,0.958711,-175.9511044,-71.26216839,157.6643879,0.019563657,-0.11103202,0.377032737,-178.723018,-71.17467645,3.87194192,4.618349233,-1.800155112,0.956506256,-177.4075907,-70.78966958,158.7338262,,4.657974767,-1.831478888,0.956506256
1.40364E+12,4.626909,-1.792359,0.905987,-176.6775347,-69.90859215,158.5622684,0.021633747,-0.105751153,0.322507822,-179.3862183,-69.86213481,4.651315112,4.616279143,-1.805435979,0.901981341,-178.070791,-69.47712793,159.5131994,,4.660044857,-1.826198021,0.901981341
