        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.40E+12,4.614772,-1.828672,0.816032,-175.6116659,-70.10349918,158.2927917,0.015823376,-0.072035938,0.23810535,-177.9298506,-70.47141946,4.105783386,4.614772,-1.828672,0.816032,-175.6116659,-70.10349918,158.2927917,,4.614772,-1.828672,0.816032
1.40E+12,4.610965,-1.825128,0.863199,-178.0159468,-71.42580916,159.9129543,0.020267052,-0.072687015,0.284580383,179.1414268,-71.63313523,5.896880538,4.610328324,-1.828020923,0.862507033,181.4596116,-71.26521495,160.0838889,,4.619215676,-1.829323077,0.862507033
1.40E+12,4.609292,-1.823567,0.906944,179.535154,-72.17054438,161.7924177,0.020457394,-0.072220525,0.328008073,175.8588064,-72.44886533,7.95811545,4.610137982,-1.828487413,0.905934723,178.1769912,-72.08094504,162.1451238,,4.619406018,-1.828856587,0.905934723
1.40E+12,4.610414,-1.822605,0.940993,179.0468221,-72.39522376,161.926276,0.02093438,-0.073578383,0.36054365,176.0602857,-72.66653939,8.102054834,4.609660996,-1.827129555,0.9384703,178.3784704,-72.29861911,162.2890631,,4.619883004,-1.830214445,0.9384703
1.40E+12,4.61224,-1.818754,0.951655,179.4240573,-71.99974081,161.0919074,0.023425057,-0.078819587,0.369451354,177.7961068,-72.24509727,7.091774871,4.607170319,-1.821888351,0.947378004,180.1142916,-71.87717699,161.2787832,,4.622373681,-1.835455649,0.947378004
1.40E+12,4.614639,-1.814363,0.929578,-179.5943341,-71.15150282,160.0289171,0.024681729,-0.084780221,0.347118888,179.3237613,-71.26301141,5.877004585,4.605913647,-1.815927717,0.925045538,181.6419461,-70.89509112,160.0640129,,4.623630353,-1.841416283,0.925045538
1.40E+12,4.618533,-1.813117,0.881456,-177.5257499,-69.5868706,158.2166134,0.021847634,-0.088476119,0.299238895,-178.530425,-69.77161759,3.974840959,4.608747742,-1.812231819,0.877165545,-176.2122402,-69.4036973,158.1618493,,4.620796258,-1.84511218,0.877165545
1.40E+12,4.623504,-1.812416,0.822097,-176.4404662,-67.09372294,157.0040042,0.017271702,-0.091092919,0.241143797,-177.5876692,-67.31526706,2.597967842,4.613323674,-1.809615019,0.819070447,-175.2694844,-66.94734678,156.7849762,,4.616220326,-1.847728981,0.819070447
1.40E+12,4.629125,-1.81338,0.765,-175.4323329,-64.36938462,155.9363021,0.010922672,-0.093227047,0.184748556,-176.8106659,-64.73827431,1.258896824,4.619672704,-1.807480891,0.762675206,-174.4924812,-64.37035403,155.4459051,,4.609871296,-1.849863109,0.762675206
1.40E+12,4.634025,-1.814767,0.71997,-174.4783115,-62.21921645,155.2553131,0.005507407,-0.09466885,0.139457125,-175.7666688,-62.72736244,0.419897744,4.625087969,-1.806039088,0.717383775,-173.448484,-62.35944216,154.6069061,,4.604456031,-1.851304911,0.717383775
1.40E+12,4.638162,-1.815817,0.689073,-174.1227749,-61.35191001,155.4917967,0.000121443,-0.095633659,0.109971639,-175.2965138,-61.80733513,0.669372616,4.630473933,-1.805074279,0.687898289,-172.9783291,-61.43941484,154.8563809,,4.599070067,-1.85226972,0.687898289
1.40E+12,4.641532,-1.816127,0.681114,-175.6918634,-61.41854583,157.3131716,-0.003911564,-0.096736723,0.102067133,-177.0279489,-61.78769738,2.475120708,4.63450694,-1.803971215,0.679993783,-174.7097642,-61.4197771,156.662129,,4.59503706,-1.853372785,0.679993783
1.40E+12,4.642317,-1.815358,0.699657,-176.9809243,-61.54738908,158.95099,-0.006045639,-0.097479338,0.121279816,-178.6554528,-61.6017928,4.001064753,4.636641015,-1.8032286,0.699206467,-176.337268,-61.23387252,158.1880731,,4.592902985,-1.854115399,0.699206467
1.40E+12,4.640542,-1.813174,0.742714,-177.57353,-62.01454424,159.9019644,-0.004680488,-0.097955887,0.165098118,-179.4243211,-61.88049089,4.888637854,4.635275864,-1.802752051,0.743024768,-177.1061364,-61.51257061,159.0756462,,4.594268136,-1.854591948,0.743024768
1.40E+12,4.63603,-1.809537,0.800072,-177.5814597,-63.62989648,159.9244247,-0.000436552,-0.098438229,0.223257997,-179.5930141,-63.39991526,4.991134301,4.631031928,-1.802269709,0.801184647,-177.2748294,-63.03199497,159.1781426,,4.598512072,-1.855074291,0.801184647
1.40E+12,4.629793,-1.804637,0.862069,-177.7087497,-66.20277059,159.9704235,0.005348597,-0.099326697,0.286097522,-179.9046595,-65.96728097,5.260063499,4.625246779,-1.801381241,0.864024173,-177.5864747,-65.59936069,159.4470718,,4.604297221,-1.855962758,0.864024173
1.40E+12,4.624456,-1.799716,0.923626,-177.3896235,-69.02082513,159.6564798,0.010068958,-0.10082879,0.348170699,-179.6288536,-68.79401539,5.279445892,4.620526418,-1.799879148,0.926097349,-177.3106689,-68.42609511,159.4664542,,4.609017582,-1.857464852,0.926097349
1.40E+12,4.628783,-1.798197,0.979424,-176.3280802,-71.26558406,158.3665094,0.013223543,-0.103676996,0.399142383,-178.7653045,-71.02914318,4.30682621,4.617371833,-1.797030942,0.977069033,-176.4471198,-70.66122289,158.4938345,,4.612172167,-1.860313058,0.977069033
1.40E+12,4.627604,-1.794285,1.005275,-175.8528468,-72.6469621,157.5981125,0.015545874,-0.10629513,0.423556268,-178.5680938,-72.39209946,3.819775804,4.615049502,-1.794412808,1.001482918,-176.2499091,-72.02417917,158.0067841,,4.614494498,-1.862931192,1.001482918
1.40E+12,4.626729,-1.791286,0.996793,-176.1838233,-72.51122681,157.6914754,0.016922664,-0.108547011,0.414248099,-178.9995006,-72.27659901,3.99856675,4.613672712,-1.792160927,0.992174749,-176.6813158,-71.90867873,158.1855751,,4.615871288,-1.865183072,0.992174749
1.40E+12,4.626201,-1.790791,0.958711,-175.9511044,-71.26216839,157.6643879,0.017022739,-0.109540279,0.376446008,-178.7387201,-71.09168335,3.877487193,4.613572637,-1.79116766,0.954372658,-176.4205354,-70.72376307,158.0644955,,4.615971363,-1.86617634,0.954372658
1.40E+12,4.626909,-1.792359,0.905987,-176.6775347,-69.90859215,158.5622684,0.015149674,-0.109562308,0.323796084,-179.281728,-69.815369,4.601874523,4.615445702,-1.79114563,0.901722734,-176.9635432,-69.44744871,158.7888828,,4.614098298,-1.866198369,0.901722734
1.40E+12,4.628704,-1.796927,0.848892,-176.1004891,-68.32092095,158.4421363,0.011028737,-0.107328629,0.266841645,-178.6373865,-68.28357355,4.356021094,4.619566639,-1.793379309,0.844768295,-176.3192017,-67.91565327,158.5430294,,4.609977361,-1.863964691,0.844768295
1.40E+12,4.630693,-1.803164,0.791048,-175.1128324,-65.92167273,157.7847511,0.00646163,-0.103776948,0.208461241,-177.3887859,-65.88771581,3.475878444,4.624133746,-1.79693099,0.786387891,-175.0706011,-65.51979553,157.6628868,,4.605410254,-1.86041301,0.786387891
1.40E+12,4.633934,-1.809455,0.73636,-174.1089417,-63.96098769,156.9239795,0.001926401,-0.099154715,0.155294896,-176.1677703,-63.93846313,2.479875244,4.628668975,-1.801553223,0.733221546,-173.8495855,-63.57054285,156.6668836,,4.600875025,-1.855790777,0.733221546
1.40E+12,4.635776,-1.814168,0.698114,-173.6414689,-62.92495499,156.8230948,-0.00124711,-0.095714577,0.116447312,-175.4757806,-62.90141141,2.3241745,4.631842486,-1.804993361,0.694373962,-173.1575959,-62.53349113,156.5111828,,4.597701514,-1.852350639,0.694373962
