        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715529562,0.659287,2.07023,1.252363,177.8905278186489,-68.33724991591481,-19.563670539573813,0.108553919804,0.127441201227,0.273458630443,178.8547845611341,-66.46618088456836,6.324972034612449,0.659287,2.07023,1.252363,177.8905278186489,-68.33724991591481,-19.563670539573813,
1403715529662,0.684245,2.080816,1.268489,177.46899449663476,-68.66319565159333,-17.97456153656011,0.125688786387,0.146608238212,0.288612801356,178.70944170107092,-66.91301682902268,7.8484502189644125,0.676421866583,2.089397036985,1.267517170913,177.74518495858572,-68.78408586036913,-18.04019235522185,
1403715529762,0.711914,2.092386,1.282884,176.29493516695453,-68.83466416932725,-15.902606114315521,0.144361317384,0.167792956246,0.302443223262,177.67374496992412,-67.36124999837854,9.896924533175914,0.6950943975799999,2.110581755019,1.281347592819,176.70948822743892,-69.23231902972499,-15.99171804101035,
1403715529862,0.741538,2.105394,1.300957,176.44922808452458,-69.02884948527115,-15.40103467956747,0.164883109156,0.19090136407,0.320190998711,177.73767132884564,-67.79837642187854,10.482492609624435,0.715616189352,2.133690162843,1.299095368268,176.77341458636045,-69.669445453225,-15.406149964561829,
1403715529962,0.772285,2.120046,1.323772,177.22630223875433,-69.54306745671505,-15.728510370766282,0.18373210436,0.216528172026,0.343509941939,178.8962151479655,-68.59726136537431,10.27584925427673,0.734465184556,2.159316970799,1.3224143114959999,177.93195840548032,-70.46833039672076,-15.612793319909533,
1403715530062,0.803927,2.13547,1.351244,175.62774018594888,-70.53127088667364,-13.957966463508711,0.203854891641,0.242805704644,0.370669755636,177.71503233121018,-69.71095484098541,11.988946132933236,0.754587971837,2.185594503417,1.349574125193,176.750775588725,-71.58202387233186,-13.899696441253028,
1403715530162,0.834792,2.153868,1.382883,172.48059409215807,-71.17761664340966,-10.910320805528556,0.222218290584,0.27179040147,0.40140566709,174.84149827873648,-70.5074227032804,14.936450672295132,0.77295137078,2.214579200243,1.3803100366469998,173.8772415362513,-72.37849173462685,-10.952191901891132,
1403715530262,0.864036,2.177628,1.422437,170.21910979465449,-70.3957168085072,-8.858016813938708,0.236860255557,0.305416278802,0.440102006267,172.50541061430295,-69.91678968286723,17.133708949644664,0.787593335753,2.2482050775749998,1.419006375824,171.54115387181776,-71.78785871421368,-8.7549336245416,
1403715530362,0.893599,2.20816,1.475806,170.39202160102278,-69.77399688710608,-9.158973017540536,0.251368091274,0.345354937309,0.492492511545,172.27759156072253,-69.50111699211446,16.931199893183386,0.8021011714699999,2.288143736082,1.471396881102,171.31333481823734,-71.37218602346091,-8.957442681002878,
1403715530462,0.924487,2.245461,1.541009,173.325221403565,-69.5719684158304,-11.751757603750118,0.263487443712,0.391461529652,0.556444836471,175.10997041760723,-69.326805494007,14.396186477113787,0.814220523908,2.334250328425,1.5353492060279998,174.14571367512204,-71.19787452535346,-11.492456097072477,
