        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715524962,0.515098,1.996129,0.970804,175.19879175801663,-70.51022942930268,-25.74762088058883,-3.21028136395e-05,2.89564608867e-05,-3.4656686678e-05,174.45543228471476,-70.8995750773678,0.04920457468794243,0.515098,1.996129,0.970804,175.19879175801663,-70.51022942930268,-25.74762088058883,
1403715525062,0.51475,1.995386,0.970449,175.24207614818533,-70.51105313437857,-25.77825765770438,-0.000488804050948,0.000416154471854,-0.000464927870876,174.41457461674707,-70.93145917604863,0.11793160504673755,0.5146412987626915,1.9965161980109674,0.970373728815802,175.15793409004894,-70.54211352798352,-25.678893850230033,
1403715525162,0.514438,1.994892,0.970253,175.30864438872663,-70.50754437882543,-25.84763101110431,-0.000524238488221,0.000224672580292,-0.000512082502953,174.5089014908435,-70.92430738379619,-0.00308401486374893,0.5146058643254184,1.9963247161194053,0.970326574183725,175.25226096414536,-70.53496173573107,-25.79990947014052,
1403715525262,0.514361,1.99479,0.970204,175.3769364748948,-70.50495688740142,-25.968388790059073,-0.000385259395616,-0.00010705443496,-0.000440996425373,174.57691671002218,-70.91941923745912,-0.08408459348421082,0.5147448434180235,1.9959929891041535,0.970397660261305,175.32027618332404,-70.53007358939401,-25.88091004876098,
1403715525362,0.514541,1.994839,0.970203,175.42070873332398,-70.47516043846579,-26.005270818342055,-0.000101669020846,-0.000226866917062,-0.000586792631046,174.56772739647616,-70.89563027672938,-0.0741286439435841,0.5150284337927935,1.9958731766220514,0.970251864055632,175.31108686977802,-70.50628462866426,-25.870954099220356,
1403715525462,0.514691,1.995037,0.97021,175.45141347080926,-70.45061116067025,-26.003476743993012,-0.00011033702058,2.02213148114e-05,-0.000720996937651,174.5716469970341,-70.87666479791001,-0.07532820034806642,0.5150197657930594,1.996120264853925,0.970117659749027,175.31500647033596,-70.4873191498449,-25.87215365562484,
1403715525562,0.514775,1.995062,0.970223,175.4504221788381,-70.44245948586718,-26.011031494779015,-5.51842190734e-05,7.78417793671e-05,-0.000873358874614,174.56047493758095,-70.87146001272774,-0.07838472564257379,0.5150749185945661,1.9961778853184806,0.969965297812064,175.3038344108828,-70.48211436466262,-25.875210180919346,
1403715525662,0.514686,1.994916,0.970291,175.41635745758208,-70.42481735918214,-26.03687515766968,0.000235764604166,-0.000528741028923,-0.000854448642202,174.5043223699996,-70.85223635256122,-0.058533886363851456,0.5153658674178054,1.9955713025101904,0.969984208044476,175.24768184330148,-70.4628907044961,-25.85535934164062,
1403715525762,0.514657,1.995018,0.970431,175.39883007774188,-70.43172424675893,-25.986288847221317,0.000223101164463,-0.000426446293884,-0.000800407956333,174.4454238526199,-70.86314356486592,0.040464021583134904,0.5153532039781025,1.9956735972452293,0.970038248730345,175.18878332592178,-70.4737979168008,-25.756361433693638,
1403715525862,0.514832,1.99526,0.970579,175.36752996371368,-70.42816461983126,-25.907947913088687,-1.97950586133e-06,5.35983953205e-05,-0.000624296218275,174.41580913277892,-70.8632258209439,0.09246504368170737,0.5151281233077781,1.996153641934434,0.970214360468403,175.15916860608078,-70.47388017287878,-25.704360411595065,
1403715525962,0.514779,1.995371,0.970826,175.33924153694176,-70.46140278316139,-25.902034433939384,-0.000305303414603,0.000110352522735,-0.000717378080507,174.40162187746827,-70.89036403069773,0.11807097837859878,0.5148247993990365,1.9962103960618485,0.970121278606171,175.14498135077014,-70.50101838263261,-25.678754476898174,
