        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.41339E+12,-1.421978,-0.039127,1.985696,-175.9731668,-57.85589128,179.1932308,0.416472532,0.386051744,0.358135175,-176.5808485,-55.32122688,-5.459028727,-1.421978,-0.039127,1.985696,-175.9731668,-57.85589128,179.1932308,,-1.421978,-0.039127,1.985696
1.41339E+12,-1.472043,-0.050058,1.981965,-171.7400436,-63.66344467,175.0360821,0.468103382,0.392794136,0.357630799,-172.9260019,-61.59287034,-9.374698509,-1.47360885,-0.045869392,1.985191624,-172.3183202,-64.12753475,175.277561,,-1.37034715,-0.032384608,1.985191624
1.41339E+12,-1.535681,-0.05678,1.971147,-165.023156,-70.37107012,168.4528535,0.537803113,0.392162614,0.351984192,-167.3117066,-68.95368542,-17.05916173,-1.543308581,-0.04523787,1.979545017,-166.7040248,-71.48834983,167.5930978,,-1.30064742,-0.033016131,1.979545017
1.41339E+12,-1.598698,-0.056977,1.955329,-156.1004934,-76.60249144,159.7874387,0.608890054,0.376933278,0.34205834,-161.6790389,-75.4005344,-25.43336475,-1.614395522,-0.030008534,1.969619165,-161.0713572,-77.93519881,159.2188947,,-1.229560479,-0.048245466,1.969619165
1.41339E+12,-1.648729,-0.048921,1.938469,-146.1298726,-81.41335628,149.8850604,0.660694864,0.346552545,0.322057755,-159.4542082,-81.52075971,-31.42855109,-1.666200332,0.000372199,1.94961858,-158.8465265,-84.05542412,153.2237084,,-1.177755668,-0.0786262,1.94961858
1.41339E+12,-1.677894,-0.033342,1.923605,-142.1237535,-84.62804347,145.8939608,0.687297019,0.317052108,0.306584238,-168.3002501,-84.90388871,-23.49570312,-1.692802487,0.029872636,1.934145063,-167.6925684,-87.43855311,161.1565564,,-1.151153514,-0.108126637,1.934145063
1.41339E+12,-1.68224,-0.012403,1.908371,-163.3423989,-83.79688196,167.1554592,0.686796664,0.291378321,0.290480738,173.379851,-83.34027085,-5.645892944,-1.692302132,0.055546423,1.918041563,173.9875327,-85.87493525,179.0063665,,-1.151653868,-0.133800423,1.918041563
1.41339E+12,-1.665305,0.011661,1.890622,-173.5678289,-77.42317171,177.5663367,0.661656653,0.270888943,0.271093269,174.2469785,-76.74041027,-6.673759929,-1.667162121,0.076035801,1.898654094,174.8546602,-79.27507468,177.9784996,,-1.17679388,-0.154289801,1.898654094
1.41339E+12,-1.638096,0.036683,1.874582,-177.5713955,-69.3552827,-178.4450429,0.626016,0.254617467,0.254222524,174.8183704,-68.51636179,-7.507567189,-1.631521468,0.092307277,1.881783349,175.4260521,-71.0510262,177.1446923,,-1.212434533,-0.170561277,1.881783349
1.41339E+12,-1.614695,0.061243,1.862252,-178.9142575,-62.84237867,-177.1361387,0.593171883,0.239204603,0.241227459,175.1818094,-61.86004366,-8.101644717,-1.598677351,0.107720141,1.868788284,175.7894911,-64.39470807,176.5506148,,-1.24527865,-0.185974141,1.868788284
1.41339E+12,-1.607207,0.084091,1.853153,-179.1045302,-58.69766342,-176.9938568,0.576993375,0.219160573,0.23224275,175.6061714,-57.64907776,-8.824912194,-1.582498843,0.127764171,1.859803575,176.2138531,-60.18374217,175.8273473,,-1.261457157,-0.206018171,1.859803575
1.41339E+12,-1.623774,0.104246,1.84667,-179.6175098,-56.9079339,-176.5448474,0.582667903,0.195722171,0.226736705,175.0728457,-55.6980091,-8.950443274,-1.588173371,0.151202573,1.85429753,175.6805274,-58.23267351,175.7018162,,-1.25578263,-0.229456574,1.85429753
1.41339E+12,-1.667803,0.121032,1.846913,178.863576,-58.56042912,-175.0971736,0.612838046,0.166830143,0.227569189,173.0461308,-57.04679383,-8.198250914,-1.618343514,0.180094601,1.855130014,173.6538125,-59.58145824,176.4540086,,-1.225612486,-0.258348601,1.855130014
1.41339E+12,-1.735131,0.133138,1.852582,178.0774075,-62.72987491,-174.2852743,0.66614762,0.133355461,0.23236567,171.2781447,-61.0683755,-7.297503163,-1.671653088,0.213569283,1.859926495,171.8858264,-63.60303991,177.3547563,,-1.172302913,-0.291823283,1.859926495
1.41339E+12,-1.817016,0.140658,1.859705,176.5591141,-66.90869353,-172.7635726,0.73245482,0.097665175,0.238725747,168.6161456,-65.1303813,-5.998607374,-1.737960288,0.249259569,1.866286572,169.2238273,-67.66504571,178.6536521,,-1.105995713,-0.327513569,1.866286572
