        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.41339E+12,-1.276969,0.200304,1.791999,-177.9320129,-69.79061405,-178.1135156,0.262744698,0.203778834,0.446222157,172.1587187,-69.73452461,-0.470049351,-1.276969,0.200304,1.791999,-177.9320129,-69.79061405,-178.1135156,,-1.276969,0.200304,1.791999
1.41339E+12,-1.3214,0.168774,1.793255,-175.2551553,-70.98718982,179.3844235,0.312606065,0.224033205,0.446683443,174.062795,-71.12802238,-2.416484702,-1.326830367,0.180049629,1.792460285,-176.0279366,-71.18411182,-180.0599509,,-1.227107633,0.220558371,1.792460285
1.41339E+12,-1.366545,0.139117,1.797447,-172.3227707,-71.72385162,176.6596469,0.366071587,0.242319612,0.450144093,176.0058957,-71.94454698,-4.50107789,-1.380295889,0.161763222,1.795920936,-174.0848359,-72.00063642,-182.1445441,,-1.173642111,0.238844778,1.795920936
1.41339E+12,-1.410643,0.112858,1.80447,-170.8781288,-72.14828733,175.3791629,0.417694094,0.257303032,0.456331271,176.8013746,-72.45681438,-5.471038098,-1.431918396,0.146779802,1.802108114,-173.289357,-72.51290383,-183.1145043,,-1.122019604,0.253828198,1.802108114
1.41339E+12,-1.493433,0.072089,1.829528,-172.4224541,-74.61124528,176.7776979,0.512934592,0.277208506,0.478597473,172.7678821,-74.76843746,-2.033448121,-1.527158894,0.126874328,1.824374316,-177.3228495,-74.8245269,-179.6769143,,-1.026779106,0.273733672,1.824374316
1.41339E+12,-1.527451,0.056498,1.852462,-172.8757102,-79.64842302,177.1218598,0.553029247,0.285255556,0.499701307,165.191807,-79.45971285,5.472666174,-1.567253549,0.118827278,1.84547815,-184.8989246,-79.51580229,-172.1708001,,-0.986684452,0.281780721,1.84547815
1.41339E+12,-1.545773,0.043213,1.87889,-169.3948862,-85.19010934,173.5573319,0.577765722,0.296948179,0.523899232,147.3593694,-84.30692054,23.62486298,-1.591990024,0.107134655,1.869676074,-202.7313622,-84.36300998,-154.0186032,,-0.961947976,0.293473344,1.869676074
1.41339E+12,-1.541368,0.032079,1.901051,-176.3931571,-85.65074469,-179.5923956,0.576239974,0.313496383,0.543685961,141.5974215,-84.40363856,29.86066163,-1.590464276,0.090586451,1.889462804,-208.4933101,-84.459728,-147.7828046,,-0.963473724,0.310021549,1.889462804
1.41339E+12,-1.514912,0.022157,1.917907,-178.1459843,-79.64787744,-177.9340224,0.550940559,0.333751048,0.558552894,162.7932937,-78.92971285,9.141531741,-1.565164861,0.070331786,1.904329736,-187.2974379,-78.98580229,-168.5019345,,-0.988773139,0.330276213,1.904329736
1.41339E+12,-1.474344,0.012758,1.93586,-179.2891076,-71.81425732,-177.0053326,0.510142811,0.356337579,0.57501419,170.7196986,-71.01567747,1.839239664,-1.524367113,0.047745255,1.920791033,-179.371033,-71.07176691,-175.8042266,,-1.029570887,0.352862744,1.920791033
1.41339E+12,-1.433018,0.002365,1.955179,-178.8999182,-65.09478521,-177.4817354,0.468578954,0.377293782,0.594887871,174.2153573,-64.23461735,-1.349805053,-1.482803256,0.026789052,1.940664713,-175.8753743,-64.2907068,-178.9932713,,-1.071134744,0.373818948,1.940664713
1.41339E+12,-1.403406,-0.008826,1.9736,-178.1077681,-60.09878667,-178.3835293,0.43834587,0.39648967,0.613282705,176.2973002,-59.07685604,-3.216789837,-1.452570172,0.007593164,1.959059548,-173.7934314,-59.13294548,-180.8602561,,-1.101367828,0.393014836,1.959059548
1.41339E+12,-1.392651,-0.020631,1.982656,-178.2407206,-56.32841503,-178.4345977,0.426083433,0.410696575,0.62394128,177.0099012,-55.17432921,-3.830984844,-1.440307735,-0.006613741,1.969718123,-173.0808304,-55.23041865,-181.4744511,,-1.113630265,0.407221741,1.969718123
1.41339E+12,-1.405284,-0.032978,1.984744,-176.694202,-55.74814942,179.9367529,0.438624875,0.419960741,0.627079075,178.7597444,-54.49254559,-5.441932055,-1.452849177,-0.015877907,1.972855918,-171.3309872,-54.54863504,-183.0853983,,-1.101088823,0.416485907,1.972855918
1.41339E+12,-1.444573,-0.045032,1.98504,-173.9317581,-60.54738746,177.1942382,0.479929811,0.426191776,0.628748954,-179.4913044,-59.49125693,-7.718944594,-1.494154113,-0.022108942,1.974525797,-529.582036,-59.54734638,-185.3624108,,-1.059783887,0.422716942,1.974525797
1.41339E+12,-1.503423,-0.054055,1.9773,-168.837057,-67.06658899,172.1881108,0.546097188,0.425399804,0.623386782,-176.4848923,-66.50675348,-13.91199185,-1.56032149,-0.02131697,1.969163625,-526.5756239,-66.56284292,-191.5554581,,-0.993616511,0.421924969,1.969163625
1.41339E+12,-1.56815,-0.057833,1.963688,-161.2043701,-73.50568426,164.748527,0.623042156,0.406885976,0.612485096,-173.2692019,-73.89821903,-24.35220639,-1.637266458,-0.002803142,1.958261938,-523.3599335,-73.95430848,-201.9956726,,-0.916671542,0.403411141,1.958261938
1.41339E+12,-1.62593,-0.053561,1.947091,-151.02356,-79.35898046,154.6477691,0.680911953,0.376028286,0.596686607,-171.4026337,-80.47103382,-28.26550188,-1.695136255,0.028054548,1.94246345,-521.4933653,-80.52712326,-205.9089681,,-0.858801745,0.372553451,1.94246345
1.41339E+12,-1.666216,-0.042037,1.930624,-144.6297262,-83.28235495,148.4185917,0.71854854,0.343445538,0.580897331,177.5358051,-84.65984023,-18.08314384,-1.732772842,0.060637296,1.926674174,-172.5549265,-84.71592968,-195.7266101,,-0.821165158,0.339970704,1.926674174
1.41339E+12,-1.68328,-0.023567,1.916654,-148.1404152,-85.05979925,151.9831809,0.728769434,0.313806328,0.566687234,155.4920097,-85.65555428,3.57495235,-1.742993736,0.090276506,1.912464077,-194.5987219,-85.71164372,-174.0685139,,-0.810944264,0.310331494,1.912464077
1.41339E+12,-1.675852,-0.000602,1.899427,-169.7848114,-80.98406416,173.6995543,0.712363223,0.293169436,0.549165367,160.9187787,-80.99847748,-2.053968723,-1.726587525,0.110913398,1.89494221,-189.1719529,-81.05456692,-179.6974349,,-0.827350475,0.289694602,1.89494221
1.41339E+12,-1.652132,0.024147,1.882476,-176.0496238,-73.44865226,-179.9509722,0.679636574,0.279882264,0.531780738,167.9645091,-73.45917482,-9.300785992,-1.693860876,0.12420057,1.877557581,-182.1262225,-73.51526426,-186.9442522,,-0.860077124,0.27640743,1.877557581
1.41339E+12,-1.624982,0.049017,1.867623,-178.0291536,-65.78035672,-177.9719905,0.641531541,0.269591692,0.51627082,170.6917099,-65.82805052,-12.33522141,-1.655755843,0.134491142,1.862047663,-179.3990217,-65.88413996,-189.9786876,,-0.898182157,0.266116857,1.862047663
1.41339E+12,-1.608292,0.072947,1.857393,-178.8665997,-60.48406766,-177.2124957,0.612648736,0.252630469,0.506428508,171.8861382,-60.46934906,-13.82472872,-1.626873038,0.151452365,1.85220535,-178.2045934,-60.5254385,-191.4681949,,-0.927064962,0.249155634,1.85220535
1.41339E+12,-1.612215,0.094562,1.849371,-179.5479436,-57.46079883,-176.5897176,0.602994028,0.231443819,0.498012032,172.0802833,-57.29296726,-14.27383848,-1.61721833,0.172639015,1.843788874,-178.0104483,-57.3490567,-191.9173047,,-0.93671967,0.227968984,1.843788874
1.41339E+12,-1.699104,0.127603,1.849557,178.7096847,-60.52789386,-174.9565944,0.661076373,0.168041563,0.499988375,169.5523702,-59.83434475,-12.09575406,-1.675300675,0.236041271,1.845765218,-180.5383614,-59.89043419,-189.7392203,,-0.878637325,0.164566728,1.845765218
1.41339E+12,-1.774668,0.137556,1.856141,177.9212899,-65.00420565,-174.141194,0.722836946,0.128897203,0.506032066,167.3672119,-64.21143734,-9.492118224,-1.737061248,0.275185631,1.851808909,-182.7235197,-64.26752678,-187.1355844,,-0.816876752,0.125422369,1.851808909
1.41339E+12,-1.860634,0.142751,1.862958,175.9665745,-68.37077941,-172.0980535,0.79737045,0.089219633,0.511929594,164.3442657,-67.37549078,-5.79049366,-1.811594752,0.314863201,1.857706437,-185.7464658,-67.43158022,-183.4339599,,-0.742343248,0.085744799,1.857706437
1.41339E+12,-1.949946,0.143808,1.869307,174.8747136,-70.16008394,-170.9489953,0.871801423,0.035257432,0.522597928,162.4401584,-68.64086679,-3.785637783,-1.886025725,0.368825402,1.868374771,-187.6505732,-68.69695623,-181.429104,,-0.667912275,0.031782597,1.868374771
1.41339E+12,-2.039005,0.139868,1.883871,173.6591136,-71.66489273,-169.5932496,0.957426842,0.013450411,0.531992301,160.2128216,-70.3456938,-1.644801337,-1.971651144,0.390632423,1.877769144,-189.87791,-70.40178324,-179.2882676,,-0.582286856,0.009975577,1.877769144
1.41339E+12,-2.125529,0.130108,1.913108,171.3047249,-74.88261699,-167.0609529,1.040602495,-0.013928884,0.560090845,155.3138083,-73.31239247,3.4083241,-2.054826797,0.418011718,1.905867688,-194.7769233,-73.36848191,-174.2351421,,-0.499111203,-0.017403718,1.905867688
1.41339E+12,-2.204351,0.114446,1.948507,168.6363122,-77.58993975,-163.9764823,1.120177942,-0.032533425,0.594375251,149.8063556,-75.65292745,9.298924453,-2.134402244,0.436616259,1.940152093,-200.284376,-75.70901689,-168.3445418,,-0.419535756,-0.03600826,1.940152093
1.41339E+12,-2.270285,0.092773,1.983613,166.0752214,-79.00772489,-160.0956866,1.192224114,-0.037299803,0.627945302,146.0964118,-76.83071513,14.45120727,-2.206448416,0.441382637,1.973722145,-203.9943198,-76.88680457,-163.192259,,-0.347489584,-0.040774637,1.973722145
1.41339E+12,-2.322123,0.06443,2.017325,164.7568499,-79.17985733,-156.3049687,1.25467552,-0.028456326,0.660064405,145.7673084,-76.86900451,17.54292517,-2.268899822,0.43253916,2.005841248,-204.3234232,-76.92509395,-160.1005411,,-0.285038178,-0.03193116,2.005841248
1.41339E+12,-2.360451,0.031491,2.041175,164.9937343,-78.99068982,-153.4643163,1.306504723,-0.009187189,0.682715993,147.5333927,-76.68024945,19.27575627,-2.320729025,0.413270023,2.028492836,-202.5573389,-76.7363389,-158.36771,,-0.233208975,-0.012662023,2.028492836
1.41339E+12,-2.38602,-0.004196,2.047788,166.4986719,-78.93813859,-151.3644393,1.344792182,0.021935622,0.686782268,150.8350899,-76.72064043,20.46486922,-2.359016484,0.382147212,2.03255911,-199.2556417,-76.77672987,-157.178597,,-0.194921516,0.018460788,2.03255911
