        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.41339E+12,-1.053469,0.427944,1.332831,-175.292865,-74.47972406,-179.7412823,8.06E-05,0.00021451,0.000279685,-176.2331471,-74.12212273,0.170579137,-1.053549619,0.427944,1.332831,-175.292865,-74.47972406,-179.7412823,,-1.053469,0.427944,1.332831
1.41339E+12,-1.054811,0.427514,1.332834,-175.2699299,-74.47816202,-179.795967,0.000132718,0.000485919,0.000512006,-176.2402261,-74.11818541,0.172287188,-1.053601718,0.427672591,1.33306332,-175.2999441,-74.47578674,-179.7395743,,-1.053416901,0.428215409,1.33306332
1.41339E+12,-1.055394,0.4272,1.332795,-175.230171,-74.46339076,-179.8407175,0.000972084,0.001025328,0.001279955,-176.1942097,-74.08814472,0.187083544,-1.054441084,0.427133182,1.33383127,-175.2539276,-74.44574605,-179.7247779,,-1.052577535,0.428754818,1.33383127
1.41339E+12,-1.0556,0.427055,1.332795,-175.2120008,-74.46259276,-179.8493073,0.001094044,0.000984356,0.001226009,-176.1778941,-74.0881006,0.192432418,-1.054563044,0.427174154,1.333777324,-175.237612,-74.44570194,-179.7194291,,-1.052455575,0.428713846,1.333777324
1.41339E+12,-1.055665,0.427151,1.332809,-175.2218854,-74.47604786,-179.8535811,0.001116932,0.001000888,0.001381378,-176.1900009,-74.09806449,0.208681572,-1.054585932,0.427157622,1.333932693,-175.2497188,-74.45566583,-179.7031799,,-1.052432687,0.428730378,1.333932693
1.41339E+12,-1.055595,0.427246,1.332856,-175.1847825,-74.46881408,-179.8941587,0.001159917,0.000870578,0.001678639,-176.1652241,-74.08676466,0.203522581,-1.054628917,0.427287932,1.334229953,-175.2249421,-74.44436599,-179.7083389,,-1.052389702,0.428600067,1.334229953
1.41339E+12,-1.055499,0.427288,1.332923,-175.1518665,-74.46306536,-179.9087063,0.001014058,0.000899635,0.001437284,-176.1363608,-74.08853232,0.189117095,-1.054483058,0.427258875,1.333988599,-175.1960788,-74.44613365,-179.7227444,,-1.052535561,0.428629125,1.333988599
1.41339E+12,-1.055372,0.427417,1.332969,-175.1716133,-74.46957763,-179.8902238,0.001028351,0.001012097,0.001453269,-176.1356344,-74.08806088,0.193230797,-1.054497351,0.427146413,1.334004584,-175.1953523,-74.44566221,-179.7186307,,-1.052521268,0.428741586,1.334004584
1.41339E+12,-1.055385,0.427431,1.333094,-175.351254,-74.41420895,-179.6985501,0.001403423,0.001418074,0.001782997,-176.3133103,-74.03841946,0.385520739,-1.054872423,0.426740436,1.334334312,-175.3730282,-74.39602079,-179.5263407,,-1.052146196,0.429147564,1.334334312
1.41339E+12,-1.055191,0.427347,1.333108,-175.0258022,-74.44541032,179.9943897,0.001920823,0.001233409,0.002508058,-176.0971844,-74.04295014,0.177615297,-1.055389823,0.426925101,1.335059373,-175.1569024,-74.40055147,-179.7342462,,-1.051628796,0.428962899,1.335059373
1.41339E+12,-1.055115,0.427204,1.332946,-175.223058,-74.43526922,-179.8271183,0.001419825,0.001167491,0.001950862,-176.2023342,-74.03957777,0.274186224,-1.054888825,0.426991019,1.334502177,-175.2620522,-74.3971791,-179.6376753,,-1.052129794,0.42889698,1.334502177
1.41339E+12,-1.055015,0.427281,1.33284,-175.0820734,-74.46167206,-179.9812738,0.001335937,0.0008149,0.001922024,-176.1319399,-74.05431987,0.201349359,-1.054804937,0.42734361,1.334473338,-175.1916578,-74.4119212,-179.7105121,,-1.052213682,0.42854439,1.334473338
1.41339E+12,-1.054982,0.427284,1.33274,-175.1531639,-74.46015698,-179.9181156,0.001337006,0.000908669,0.002038977,-176.1567435,-74.04756031,0.234107535,-1.054806006,0.427249841,1.334590291,-175.2164614,-74.40516164,-179.6777539,,-1.052212613,0.428638159,1.334590291
1.41339E+12,-1.055117,0.427305,1.332692,-175.1576884,-74.45880728,-179.9156301,0.001178044,0.000688294,0.001767513,-176.1351414,-74.05190426,0.211242872,-1.054647044,0.427470216,1.334318828,-175.1948593,-74.40950559,-179.7006186,,-1.052371575,0.428417784,1.334318828
1.41339E+12,-1.05514,0.427362,1.332751,-175.1173981,-74.46485487,-179.9611916,0.001111846,0.000739685,0.001763546,-176.121917,-74.05569786,0.209957592,-1.054580846,0.427418825,1.334314861,-175.1816349,-74.41329919,-179.7019039,,-1.052437773,0.428469175,1.334314861
1.41339E+12,-1.055148,0.427328,1.332832,-175.1138115,-74.44113817,-179.9532596,0.001425274,0.000933719,0.002262919,-176.1302765,-74.03100128,0.241501323,-1.054894274,0.427224791,1.334814234,-175.1899944,-74.38860261,-179.6703602,,-1.052124345,0.428663209,1.334814234
1.41339E+12,-1.055112,0.427226,1.332906,-175.0875652,-74.44084571,-179.9652645,0.001594308,0.000886822,0.002421446,-176.1213531,-74.02441414,0.244476057,-1.055063308,0.427271688,1.334972761,-175.181071,-74.38201547,-179.6673854,,-1.051955311,0.428616312,1.334972761
1.41339E+12,-1.055212,0.427208,1.332975,-175.1230434,-74.41179022,-179.9438587,0.001626723,0.000845068,0.002267445,-176.1658327,-74.00875885,0.260834409,-1.055095723,0.427313442,1.33481876,-175.2255506,-74.36636018,-179.6510271,,-1.051922896,0.428574558,1.33481876
1.41339E+12,-1.055172,0.427262,1.33296,-175.1100524,-74.42793681,-179.9699608,0.00144323,0.000632361,0.001885893,-176.1223905,-74.02096717,0.239792526,-1.05491223,0.427526149,1.334437208,-175.1821085,-74.3785685,-179.672069,,-1.052106389,0.42836185,1.334437208
1.41339E+12,-1.055148,0.42732,1.332977,-175.1422231,-74.4336838,-179.9404398,0.001502277,0.000721989,0.002035623,-176.1229627,-74.01789924,0.25016248,-1.054971277,0.427436521,1.334586937,-175.1826807,-74.37550057,-179.661699,,-1.052047342,0.428451479,1.334586937
1.41339E+12,-1.055175,0.427337,1.333035,-175.0928667,-74.43361932,-179.9749011,0.001678872,0.00072998,0.002242306,-176.1079228,-74.00984731,0.243597794,-1.055147872,0.42742853,1.334793621,-175.1676407,-74.36744864,-179.6682637,,-1.051870747,0.42845947,1.334793621
1.41339E+12,-1.055178,0.427569,1.332993,-175.0797708,-74.43546193,179.9903017,0.001575995,0.000659541,0.002093024,-176.0966968,-74.01532695,0.228140992,-1.055044995,0.427498969,1.334644339,-175.1564148,-74.37292829,-179.6837205,,-1.051973624,0.42838903,1.334644339
1.41339E+12,-1.055089,0.427506,1.332872,-175.0864346,-74.45774151,-179.9993987,0.00128999,0.000560839,0.001760011,-176.050177,-74.03783652,0.194499069,-1.05475899,0.427597671,1.334311326,-175.1098949,-74.39543785,-179.7173624,,-1.052259629,0.428290328,1.334311326
1.41339E+12,-1.05509,0.427473,1.332816,-175.0450366,-74.45126802,179.9702895,0.001200774,0.000450832,0.001379762,-176.0292075,-74.02547817,0.183052987,-1.054669774,0.427707678,1.333931077,-175.0889254,-74.3830795,-179.7288085,,-1.052348845,0.428180322,1.333931077
1.41339E+12,-1.055133,0.427373,1.332804,-175.0340316,-74.44736468,179.9717493,0.00145943,0.000809391,0.00167997,-176.024886,-74.02116943,0.188042702,-1.05492843,0.427349119,1.334231285,-175.0846039,-74.37877076,-179.7238188,,-1.052090189,0.428538881,1.334231285
1.41339E+12,-1.055082,0.427361,1.332853,-175.0509472,-74.46043011,179.9788507,0.00185948,0.001183762,0.002069701,-176.041567,-74.02834772,0.217171399,-1.05532848,0.426974748,1.334621016,-175.1012849,-74.38594905,-179.6946901,,-1.051690139,0.428913252,1.334621016
1.41339E+12,-1.055088,0.427374,1.332915,-175.0305228,-74.46709982,179.9509386,0.001598291,0.001086098,0.001445472,-176.0028909,-74.03753193,0.183085328,-1.055067291,0.427072412,1.333996786,-175.0626089,-74.39513326,-179.7287762,,-1.051951328,0.428815588,1.333996786
1.41339E+12,-1.05505,0.427284,1.332853,-174.9793307,-74.44232602,179.9237906,0.002066753,0.001489345,0.002013163,-175.9958179,-74.01304003,0.200539474,-1.055535753,0.426669165,1.334564477,-175.0555358,-74.37064136,-179.711322,,-1.051482866,0.429218835,1.334564477
1.41339E+12,-1.054909,0.427453,1.332864,-175.0421105,-74.46784962,179.9679222,0.001453507,0.000669597,0.002128484,-175.9854785,-74.02385376,0.220661558,-1.054922507,0.427488913,1.334679799,-175.0451964,-74.38145509,-179.6911999,,-1.052096112,0.428399087,1.334679799
1.41339E+12,-1.054887,0.427366,1.332835,-175.0132851,-74.45066766,179.9578626,0.001380617,0.000378434,0.001856216,-175.9628068,-74.00549001,0.205534327,-1.054849617,0.427780076,1.33440753,-175.0225247,-74.36309134,-179.7063272,,-1.052169002,0.428107924,1.33440753
1.41339E+12,-1.055007,0.427336,1.332836,-174.9814858,-74.45571542,179.9154706,0.002045623,0.001162456,0.002507805,-175.9449437,-74.00947255,0.184968546,-1.055514623,0.426996054,1.335059119,-175.0046616,-74.36707388,-179.7268929,,-1.051503996,0.428891946,1.335059119
