        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715529262,0.598429,2.036416,1.158659,179.32270149490003,-69.09273967141462,-27.133917598932598,-0.00658880488218,0.0375298055079,0.0947465914863,178.123096131391,-71.16543500137708,-1.835934974545607,0.598429,2.036416,1.158659,179.32270149490003,-69.09273967141462,-27.133917598932598,
1403715529362,0.61596,2.048048,1.197336,178.91264476688423,-68.32876839618176,-24.478901577275092,-0.0138287650698,0.0441720477922,0.101511459916,179.6856401728762,-68.72115190792846,1.173104215321444,0.59118903981238,2.0430582422843,1.1654238684297002,180.8852455363852,-66.648456577966,-24.124878409065545,
1403715529462,0.636248,2.059395,1.228895,178.3098613630861,-68.20989220121157,-21.639891358125407,-0.0224354681323,0.0573702466673,0.0952653141366,168.6815822061161,-69.15257688806561,3.3208211094474933,0.58258233674988,2.0562564411594,1.1591777226503002,169.88118756962513,-67.07988155810315,-21.977161514939496,
1403715529562,0.659287,2.07023,1.252363,177.8905278186489,-68.33724991591481,-19.563670539573813,-0.0217664700815,0.0683251452932,0.101611240681,166.87021876098274,-69.16103757888438,5.420919864094162,0.58325133480068,2.0672113397853,1.1655236491947,168.06982412449176,-67.08834224892192,-19.877062760292826,
1403715529662,0.684245,2.080816,1.268489,177.46899449663476,-68.66319565159333,-17.97456153656011,0.00458648745328,0.0849694372647,0.116374739112,157.77518935438454,-68.35492191771304,6.177158172080189,0.6096042923354601,2.0838556317568,1.1802871476257002,158.97479471789356,-66.28222658775059,-19.1208244523068,
1403715529762,0.711914,2.092386,1.282884,176.29493516695453,-68.83466416932725,-15.902606114315521,0.0465077459652,0.135224734384,0.154717421079,130.90723703768754,-71.10522656035243,5.9626007249734885,0.6515255508473801,2.1341109288760998,1.2186298295927003,132.10684240119656,-69.03253123038998,-19.335381899413502,
1403715529862,0.741538,2.105394,1.300957,176.44922808452458,-69.02884948527115,-15.40103467956747,0.0780387884758,0.156095409199,0.171358392068,128.90250708852042,-69.11005110143635,5.147973772451449,0.6830565933579801,2.1549816036911,1.2352708005817001,130.10211245202944,-67.0373557714739,-20.15000885193554,
1403715529962,0.772285,2.120046,1.323772,177.22630223875433,-69.54306745671505,-15.728510370766282,0.105311523852,0.136053451121,0.174581399617,132.01858793787386,-69.1097802547977,6.616613163245519,0.7103293287341801,2.1349396456131,1.2384938081307002,133.21819330138288,-67.03708492483524,-18.681369461141472,
1403715530062,0.803927,2.13547,1.351244,175.62774018594888,-70.53127088667364,-13.957966463508711,0.136052969181,0.136422749511,0.191557899432,130.3167504341273,-69.44763825144483,10.176832911069082,0.74107077406318,2.1353089440031,1.2554703079457001,131.51635579763632,-67.37494292148237,-15.121149713317907,
1403715530162,0.834792,2.153868,1.382883,172.48059409215807,-71.17761664340966,-10.910320805528556,0.173582757867,0.14867273447,0.216256021501,127.22154843525877,-69.16934753644374,13.486342502454994,0.7786005627491801,2.1475589289620998,1.2801684300147003,128.4211537987678,-67.09665220648128,-11.811640121931996,
1403715530262,0.864036,2.177628,1.422437,170.21910979465449,-70.3957168085072,-8.858016813938708,0.216458210421,0.169031545375,0.250212542268,127.180042993419,-68.17262187759626,13.388520386404213,0.82147601530318,2.1679177398671,1.3141249507817,128.37964835692802,-66.0999265476338,-11.909462237982776,
1403715530362,0.893599,2.20816,1.475806,170.39202160102278,-69.77399688710608,-9.158973017540536,0.264718459902,0.202533714701,0.299162482078,128.25068942330557,-67.98506610966923,12.198320268291587,0.86973626478418,2.2014199091931,1.3630748905917,129.4502947868146,-65.91237077970678,-13.099662356095402,
1403715530462,0.924487,2.245461,1.541009,173.325221403565,-69.5719684158304,-11.751757603750118,0.321662871315,0.250875401419,0.36128337198,130.3435981144971,-68.76695353172065,10.256748052159855,0.92668067619718,2.2497615959111,1.4251957804937,131.54320347800612,-66.69425820175819,-15.041234572227134,
1403715530562,0.9568,2.28751,1.608051,174.98674616381686,-69.47800068682224,-12.47123240637946,0.37977750486,0.302982640025,0.424799624093,131.87680445680218,-69.10298690393299,9.756019877837875,0.98479530974218,2.3018688345171,1.4887120326067,133.0764098203112,-67.03029157397053,-15.541962746549114,
