local_time (s),Time of week (s),Latitude (deg),Longitude (deg),Ellipsoidal height (m),Vel N (m/s),Vel E (m/s),Vel D (m/s),Attitude quaternion-Scalar,Attitude quaternion-X,Attitude quaternion-Y,Attitude quaternion-Z,Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Position RMS-N (m),Position RMS-E (m),Position RMS-D (m),Velocity RMS-N (m/s),Velocity RMS-E (m/s),Velocity RMS-D (m/s),Attitude RMS-N (deg),Attitude RMS-E (deg),Attitude RMS-D (deg),GPS week,Alignment status
1569227241.785258,116859.78396533,31.50809565,120.40144786,12.6456,-0.0779,0.0373,-0.0218,0.9310,0.0044,0.0037,-0.3650,0.0323,-0.0750,-0.1543,-0.0305,-0.1255,-0.0071,0.1061,0.0729,0.0783,0.0543,0.0454,0.0407,0.2304,0.2273,5.3005,2072,2
1569227241.811438,116859.79394933,31.50809564,120.40144786,12.6458,-0.0768,0.0373,-0.0206,0.9310,0.0044,0.0037,-0.3650,0.0819,0.0797,0.1234,-0.1099,-0.1207,-0.0227,0.1066,0.0733,0.0787,0.0544,0.0455,0.0408,0.2305,0.2273,5.3009,2072,2
1569227241.812924,116859.80395467,31.50809563,120.40144787,12.6460,-0.0765,0.0379,-0.0189,0.9310,0.0044,0.0037,-0.3650,-0.0175,0.0632,0.1714,-0.0655,0.2845,-0.0661,0.1071,0.0737,0.0791,0.0545,0.0456,0.0408,0.2305,0.2274,5.3012,2072,2
1569227241.822231,116859.81396000,31.50809563,120.40144787,12.6462,-0.0775,0.0382,-0.0197,0.9310,0.0044,0.0038,-0.3650,-0.0908,-0.0408,-0.0861,0.0024,0.5180,-0.0514,0.1076,0.0741,0.0795,0.0547,0.0457,0.0409,0.2306,0.2275,5.3016,2072,2
1569227241.827998,116859.82394400,31.50809562,120.40144787,12.6464,-0.0776,0.0377,-0.0213,0.9310,0.0045,0.0038,-0.3650,0.0313,-0.0429,-0.1621,0.0045,0.1849,-0.0191,0.1081,0.0746,0.0799,0.0548,0.0459,0.0410,0.2306,0.2275,5.3020,2072,2
1569227241.836088,116859.83394933,31.50809561,120.40144788,12.6466,-0.0766,0.0371,-0.0205,0.9310,0.0044,0.0038,-0.3650,0.1171,0.0373,0.0845,-0.0406,-0.3959,0.0056,0.1086,0.0750,0.0802,0.0550,0.0460,0.0411,0.2307,0.2276,5.3024,2072,2
1569227241.849456,116859.84396533,31.50809561,120.40144788,12.6468,-0.0762,0.0369,-0.0184,0.9310,0.0044,0.0037,-0.3650,0.0451,0.0210,0.2109,-0.0441,-0.2483,-0.0525,0.1090,0.0754,0.0806,0.0551,0.0461,0.0412,0.2307,0.2276,5.3027,2072,2
1569227241.861289,116859.85393867,31.50809560,120.40144789,12.6469,-0.0773,0.0374,-0.0187,0.9310,0.0044,0.0037,-0.3650,-0.1057,-0.0380,-0.0302,0.0457,0.0661,-0.1477,0.1095,0.0758,0.0810,0.0552,0.0462,0.0412,0.2308,0.2277,5.3031,2072,2
1569227241.867514,116859.86396533,31.50809559,120.40144789,12.6471,-0.0784,0.0375,-0.0212,0.9310,0.0044,0.0037,-0.3650,-0.0832,-0.0611,-0.2548,0.0366,0.0757,-0.0710,0.1100,0.0762,0.0814,0.0554,0.0464,0.0413,0.2309,0.2278,5.3035,2072,2
1569227241.880581,116859.87396000,31.50809559,120.40144789,12.6474,-0.0778,0.0376,-0.0216,0.9310,0.0044,0.0037,-0.3650,0.0417,0.0513,-0.0339,0.0002,-0.2843,-0.0118,0.1105,0.0767,0.0818,0.0555,0.0465,0.0414,0.2309,0.2278,5.3039,2072,2
