        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.41339E+12,-1.511667,0.064012,1.840329,-172.7897991,-76.76495889,177.0869212,0.506080028,0.271060384,0.216506517,-175.3990728,-76.30321869,-6.499900705,-1.511667,0.064012,1.840329,-172.7897991,-76.76495889,177.0869212,,-1.511667,0.064012,1.840329
1.41339E+12,-1.539046,0.049474,1.865579,-170.4919269,-82.57683832,174.7523767,0.526480975,0.280716161,0.242207681,-173.7183309,-82.15480442,-7.589542945,-1.532067947,0.054356223,1.866030163,-171.1090572,-82.61654463,175.997279,,-1.491266054,0.073667777,1.866030163
1.41339E+12,-1.546424,0.037402,1.890832,-168.9683858,-86.42742457,173.1056857,0.542836455,0.302678584,0.268065863,-171.4075555,-85.85911969,-9.204262928,-1.548423427,0.0323938,1.891888346,-168.7982818,-86.3208599,174.382559,,-1.474910573,0.0956302,1.891888346
1.41339E+12,-1.530661,0.027033,1.90932,-176.8978683,-83.03099586,-179.0910529,0.529205664,0.315857901,0.282147134,-176.8953815,-81.8929936,-3.400708576,-1.534792636,0.019214483,1.905969617,-174.2861078,-82.35473381,180.1861133,,-1.488541364,0.108809517,1.905969617
1.41339E+12,-1.495669,0.017503,1.926855,-178.6618873,-75.83926995,-177.5062289,0.493402643,0.325661747,0.295251572,-178.8948302,-73.84525629,-1.687721751,-1.498989615,0.009410637,1.919074055,-176.2855565,-74.3069965,181.8991002,,-1.524344385,0.118613363,1.919074055
1.41339E+12,-1.452811,0.007581,1.945143,-178.9985922,-68.23328649,-177.3171343,0.450293347,0.337793298,0.312587709,-179.4376396,-65.69112109,-1.643254949,-1.455880319,-0.002720914,1.936410192,-176.8283659,-66.1528613,181.943567,,-1.567453681,0.130744913,1.936410192
1.41339E+12,-1.416142,-0.002955,1.965189,-178.6060109,-62.36329102,-177.9003691,0.415672837,0.352736103,0.332939499,-179.3941794,-59.50029548,-2.506217896,-1.421259809,-0.017663719,1.956761982,-176.7849057,-59.96203569,181.080604,,-1.602074191,0.145687718,1.956761982
1.41339E+12,-1.395279,-0.014505,1.979463,-178.3139587,-58.06114048,-178.3154313,0.395455457,0.367026092,0.34934104,-179.1666995,-54.95155397,-3.365575082,-1.401042429,-0.031953708,1.973163523,-176.5574258,-55.41329418,180.2212468,,-1.622291571,0.159977708,1.973163523
1.41339E+12,-1.39559,-0.026816,1.983746,-177.5351019,-55.24250115,-179.1769574,0.393982397,0.3789849,0.356396154,-178.3438604,-52.16264287,-4.190725671,-1.399569369,-0.043912516,1.980218637,-175.7345867,-52.62438308,179.3960962,,-1.623764631,0.171936515,1.980218637
1.41339E+12,-1.421978,-0.039127,1.985696,-175.9731668,-57.85589128,179.1932308,0.41831526,0.387912559,0.360132653,-176.7424557,-54.94807006,-5.559820458,-1.423902232,-0.052840175,1.983955136,-174.133182,-55.40981027,178.0270014,,-1.599431769,0.180864174,1.983955136
1.41339E+12,-1.472043,-0.050058,1.981965,-171.7400436,-63.66344467,175.0360821,0.469999369,0.393345189,0.358853584,-172.8965931,-61.14193372,-9.094765546,-1.475586341,-0.058272805,1.982676067,-170.2873194,-61.60367392,174.4920564,,-1.54774766,0.186296804,1.982676067
1.41339E+12,-1.535681,-0.05678,1.971147,-165.023156,-70.37107012,168.4528535,0.537135976,0.393727239,0.351882511,-167.1369644,-68.33033125,-15.04034505,-1.542722948,-0.058654855,1.975704994,-164.5276907,-68.79207146,168.5464769,,-1.480611053,0.186678854,1.975704994
1.41339E+12,-1.598698,-0.056977,1.955329,-156.1004934,-76.60249144,159.7874387,0.607372989,0.38300081,0.342252001,-160.1981194,-75.29173254,-23.93501649,-1.612959961,-0.047928426,1.966074484,-157.5888458,-75.75347274,159.6518054,,-1.410374039,0.175952425,1.966074484
1.41339E+12,-1.648729,-0.048921,1.938469,-146.1298726,-81.41335628,149.8850604,0.665194263,0.357444197,0.331849448,-155.3986269,-80.42883343,-31.56547947,-1.670781235,-0.022371813,1.955671931,-152.7893532,-80.89057364,152.0213424,,-1.352552765,0.150395812,1.955671931
1.41339E+12,-1.677894,-0.033342,1.923605,-142.1237535,-84.62804347,145.8939608,0.692928991,0.321031035,0.312406481,-163.5977865,-84.76670921,-27.18948741,-1.698515963,0.014041349,1.936228963,-160.9885128,-85.22844942,156.3973345,,-1.324818037,0.11398265,1.936228963
1.41339E+12,-1.68224,-0.012403,1.908371,-163.3423989,-83.79688196,167.1554592,0.692404628,0.292006169,0.295295003,175.7523357,-83.49344842,-7.548235965,-1.6979916,0.043066215,1.919117486,178.3616094,-83.95518863,176.0385859,,-1.3253424,0.084957784,1.919117486
1.41339E+12,-1.665305,0.011661,1.890622,-173.5678289,-77.42317171,177.5663367,0.668545196,0.269557422,0.27547456,174.8485068,-76.83090697,-7.078071949,-1.674132168,0.065514962,1.899297043,177.4577805,-77.29264718,176.50875,,-1.349201833,0.062509038,1.899297043
1.41339E+12,-1.638096,0.036683,1.874582,-177.5713955,-69.3552827,-178.4450429,0.630802597,0.251891032,0.256193969,174.9473868,-68.59109394,-7.564246884,-1.636389569,0.083181352,1.880016452,177.5566605,-69.05283415,176.022575,,-1.386944431,0.044842648,1.880016452
1.41339E+12,-1.614695,0.061243,1.862252,-178.9142575,-62.84237867,-177.1361387,0.59689768,0.236010575,0.242162304,175.1995418,-61.89515399,-8.081168849,-1.602484652,0.099061809,1.865984786,177.8088155,-62.3568942,175.5056531,,-1.420849349,0.028962191,1.865984786
1.41339E+12,-1.607207,0.084091,1.853153,-179.1045302,-58.69766342,-176.9938568,0.578174696,0.218708308,0.231806011,175.6617197,-57.67620211,-8.742057777,-1.583761668,0.116364076,1.855628494,178.2709934,-58.13794232,174.8447641,,-1.439572332,0.011659923,1.855628494
1.41339E+12,-1.623774,0.104246,1.84667,-179.6175098,-56.9079339,-176.5448474,0.585053488,0.194647898,0.225013043,175.345537,-55.74250216,-8.675452993,-1.59064046,0.140424486,1.848835526,177.9548107,-56.20424236,174.9113689,,-1.43269354,-0.012400486,1.848835526
1.41339E+12,-1.667803,0.121032,1.846913,178.863576,-58.56042912,-175.0971736,0.61778027,0.166609301,0.226116708,173.4867406,-57.16049245,-7.392130225,-1.623367242,0.168463083,1.849939191,176.0960143,-57.62223266,176.1946917,,-1.399966758,-0.040439083,1.849939191
1.41339E+12,-1.735131,0.133138,1.852582,178.0774075,-62.72987491,-174.2852743,0.671020938,0.1340762,0.232434396,171.4655763,-61.12808985,-6.47420232,-1.67660791,0.200996184,1.856256879,174.07485,-61.58983006,177.1126196,,-1.34672609,-0.072972184,1.856256879
1.41339E+12,-1.817016,0.140658,1.859705,176.5591141,-66.90869353,-172.7635726,0.739113151,0.098674577,0.238501799,168.8777839,-65.16354459,-4.744892592,-1.744700123,0.236397807,1.862324282,171.4870576,-65.6252848,178.8419293,,-1.278633877,-0.108373807,1.862324282
1.41339E+12,-1.905102,0.143773,1.866044,175.2081252,-69.46031792,-171.319337,0.811833709,0.062451984,0.24356602,166.4588447,-67.58354782,-3.673791874,-1.817420681,0.2726204,1.867388502,169.0681184,-68.04528802,179.91303,,-1.205913319,-0.1445964,1.867388502
1.41339E+12,-1.994436,0.142314,1.874359,174.6763798,-70.58679932,-170.6210909,0.878443725,0.009134376,0.255474385,164.7843214,-68.32165545,-4.443068768,-1.884030697,0.325938008,1.879296868,167.3935951,-68.78339566,179.1437531,,-1.139303303,-0.197914009,1.879296868
1.41339E+12,-2.082833,0.135702,1.896918,172.4465073,-73.19581084,-168.2977369,0.964558582,-0.010596132,0.272568662,160.9027943,-70.92426777,-1.051654936,-1.970145554,0.345668516,1.896391144,163.512068,-71.38600798,182.535167,,-1.053188447,-0.217644517,1.896391144
1.41339E+12,-2.166244,0.123234,1.930794,169.6470312,-76.37056155,-165.3499409,1.046768102,-0.032370587,0.303886969,155.9715127,-73.88328964,3.88589552,-2.052355074,0.367442971,1.927709452,158.5807864,-74.34502984,187.4727174,,-0.970978927,-0.239418972,1.927709452
1.41339E+12,-2.239154,0.104479,1.966235,167.3883263,-78.53552301,-162.1903054,1.134333406,-0.017557424,0.324319113,155.6662624,-76.61197181,7.278699005,-2.139920378,0.352629808,1.948141596,158.2755361,-77.07371202,190.8655209,,-0.883413622,-0.224605808,1.948141596
1.41339E+12,-2.297761,0.07926,2.000854,165.3366665,-79.11732767,-158.2271293,1.186967291,-0.040795791,0.372836651,148.8921087,-76.19829728,13.71749358,-2.192554263,0.375868175,1.996659134,151.5013824,-76.66003749,197.3043155,,-0.830779737,-0.247844175,1.996659134
1.41339E+12,-2.342824,0.048433,2.031601,165.0528801,-79.23122801,-155.1373811,1.247340264,-0.03337225,0.402576012,148.9035231,-75.9851028,16.33215643,-2.252927236,0.368444634,2.026398495,151.5127968,-76.44684301,199.9189783,,-0.770406764,-0.240420635,2.026398495
